Time,Frequency,A0
1,300,544
2,300,586
3,300,521
4,300,500
5,300,563
6,300,533
7,300,474
8,300,534
9,300,547
10,300,478
11,300,506
12,300,558
13,300,496
14,300,480
15,300,546
16,300,515
17,300,460
18,300,522
19,300,535
20,300,468
21,300,499
22,300,550
23,300,488
24,300,475
25,300,542
26,300,509
27,300,456
28,300,520
29,300,531
30,300,464
31,300,497
32,300,547
33,300,485
34,300,475
35,300,541
36,300,507
37,300,456
38,300,520
39,300,529
40,300,462
41,300,498
42,300,546
43,300,483
44,300,475
45,300,541
46,300,505
47,300,456
48,300,520
49,300,527
50,300,461
51,300,498
52,300,544
53,300,482
54,300,476
55,300,543
56,300,504
57,300,457
58,300,522
59,300,526
60,300,460
61,300,499
62,300,544
63,300,481
64,300,477
65,300,543
66,300,503
67,300,457
68,300,523
69,300,525
70,300,459
71,300,500
72,300,543
73,300,480
74,300,478
75,300,544
76,300,502
77,300,458
78,300,523
79,300,524
80,300,458
81,300,501
82,300,543
83,300,478
84,300,479
85,300,545
86,300,501
87,300,459
88,300,524
89,300,523
90,300,456
91,300,502
92,300,542
93,300,478
94,300,480
95,300,547
96,300,499
97,300,460
98,300,526
99,300,522
100,299,442
101,299,483
102,299,469
103,299,414
104,299,479
105,299,507
106,299,444
107,299,466
108,299,528
109,299,475
110,299,450
111,299,519
112,299,503
113,299,441
114,299,500
115,299,529
116,299,464
117,299,480
118,299,542
119,299,489
120,299,459
121,299,526
122,299,514
123,299,449
124,299,505
125,299,536
126,299,471
127,299,482
128,299,546
129,299,495
130,299,461
131,299,527
132,299,519
133,299,453
134,299,505
135,299,539
136,299,475
137,299,481
138,299,546
139,299,498
140,299,460
141,299,526
142,299,521
143,299,455
144,299,503
145,299,541
146,299,477
147,299,479
148,299,546
149,299,500
150,299,459
151,299,524
152,299,524
153,299,458
154,299,501
155,299,543
156,299,479
157,299,477
158,299,544
159,299,503
160,299,457
161,299,521
162,299,526
163,299,460
164,299,498
165,299,544
166,299,482
167,299,475
168,299,542
169,299,505
170,299,455
171,299,519
172,299,528
173,299,462
174,299,497
175,299,546
176,299,484
177,299,474
178,299,540
179,299,507
180,299,455
181,299,518
182,299,530
183,299,463
184,299,495
185,299,546
186,299,486
187,299,471
188,299,538
189,299,509
190,299,454
191,299,515
192,299,532
193,299,465
194,299,492
195,299,547
196,299,488
197,299,469
198,299,536
199,299,511
200,298,445
201,298,488
202,298,447
203,298,416
204,298,488
205,298,487
