Time,Frequency,A0
1,40,513
2,40,527
3,40,542
4,40,556
5,40,569
6,40,582
7,40,594
8,40,607
9,40,618
10,40,630
11,40,640
12,40,651
13,40,656
14,40,637
15,40,617
16,40,599
17,40,581
18,40,563
19,40,547
20,40,531
21,40,516
22,40,501
23,40,486
24,40,473
25,40,459
26,40,465
27,40,483
28,40,499
29,40,515
30,40,530
31,40,544
32,40,558
33,40,571
34,40,584
35,40,596
36,40,608
37,40,620
38,40,625
39,40,607
40,40,588
41,40,570
42,40,554
43,40,537
44,40,521
45,40,506
46,40,492
47,40,478
48,40,464
49,40,450
50,40,438
51,40,445
52,40,464
53,40,481
54,40,497
55,40,512
56,40,527
57,40,542
58,40,555
59,40,568
60,40,582
61,40,594
62,40,606
63,40,610
64,40,592
65,40,574
66,40,557
67,40,540
68,40,524
69,40,509
70,40,494
71,40,480
72,40,466
73,40,453
74,40,440
75,40,427
76,40,437
77,40,455
78,40,472
79,40,488
80,40,504
81,40,519
82,40,533
83,40,548
84,40,561
85,40,574
86,40,587
87,40,599
88,40,603
89,40,585
90,40,567
91,40,550
92,40,534
93,40,518
94,40,503
95,40,488
96,40,474
97,40,460
98,40,447
99,40,434
100,41,418
101,41,427
102,41,446
103,41,463
104,41,480
105,41,496
106,41,511
107,41,526
108,41,541
109,41,554
110,41,567
111,41,580
112,41,592
113,41,579
114,41,560
115,41,543
116,41,527
117,41,512
118,41,496
119,41,482
120,41,468
121,41,455
122,41,442
123,41,429
124,41,417
125,41,426
126,41,445
127,41,462
128,41,479
129,41,494
130,41,510
131,41,524
132,41,539
133,41,552
134,41,566
135,41,579
136,41,591
137,41,587
138,41,569
139,41,551
140,41,535
141,41,518
142,41,503
143,41,488
144,41,475
145,41,461
146,41,448
147,41,435
148,41,422
149,41,422
150,41,440
151,41,458
152,41,475
153,41,491
154,41,506
155,41,521
156,41,535
157,41,549
158,41,563
159,41,576
160,41,588
161,41,593
162,41,576
163,41,557
164,41,541
165,41,525
166,41,509
167,41,494
168,41,480
169,41,466
170,41,452
171,41,439
172,41,427
173,41,418
174,41,434
175,41,453
176,41,470
177,41,487
178,41,502
179,41,517
180,41,531
181,41,546
182,41,559
183,41,572
184,41,585
185,41,596
186,41,582
187,41,564
188,41,546
189,41,530
190,41,514
191,41,499
192,41,485
193,41,471
194,41,457
195,41,444
196,41,431
197,41,419
198,41,429
199,41,447
200,42,465
201,42,474
202,42,474
203,42,459
204,42,446
205,42,433
206,42,420
207,42,408
208,42,396
209,42,385
210,42,373
211,42,363
212,42,352
213,42,343
214,42,351
215,42,372
216,42,392
217,42,411
218,42,428
219,42,446
220,42,462
221,42,478
222,42,494
223,42,509
224,42,523
225,42,538
226,42,530
227,42,513
228,42,497
229,42,482
230,42,467
231,42,453
232,42,440
233,42,427
234,42,416
235,42,404
236,42,392
237,42,381
238,42,394
239,42,414
240,42,432
241,42,449
242,42,466
243,42,482
244,42,497
245,42,513
246,42,527
247,42,541
248,42,554
249,42,566
250,42,553
251,42,536
252,42,519
253,42,503
254,42,489
255,42,474
256,42,460
257,42,447
258,42,434
259,42,421
260,42,409
261,42,400
262,42,417
263,42,436
264,42,453
265,42,470
266,42,486
267,42,501
268,42,516
269,42,531
270,42,544
271,42,558
272,42,571
273,42,579
274,42,563
275,42,545
276,42,528
277,42,513
278,42,497
279,42,483
280,42,469
281,42,455
282,42,442
283,42,429
284,42,417
285,42,411
286,42,429
287,42,448
288,42,465
289,42,481
290,42,497
291,42,512
292,42,527
293,42,541
294,42,554
295,42,568
296,42,580
297,42,583
298,42,566
299,42,548
300,43,527
301,43,534
302,43,549
303,43,563
304,43,576
305,43,589
306,43,601
307,43,613
308,43,625
309,43,636
310,43,640
311,43,622
312,43,603
313,43,584
314,43,566
315,43,550
316,43,534
317,43,519
318,43,503
319,43,489
320,43,475
321,43,462
322,43,466
323,43,483
324,43,499
325,43,515
326,43,530
327,43,544
328,43,558
329,43,571
330,43,584
331,43,596
332,43,608
333,43,617
334,43,601
335,43,582
336,43,565
337,43,548
338,43,532
339,43,516
340,43,501
341,43,486
342,43,473
343,43,459
344,43,446
345,43,446
346,43,464
347,43,481
348,43,496
349,43,512
350,43,527
351,43,541
352,43,556
353,43,568
354,43,581
355,43,594
356,43,606
357,43,592
358,43,574
359,43,557
360,43,540
361,43,524
362,43,508
363,43,493
364,43,479
365,43,465
366,43,452
367,43,439
368,43,434
369,43,452
370,43,469
371,43,486
372,43,502
373,43,517
374,43,532
375,43,546
376,43,560
377,43,573
378,43,585
379,43,597
380,43,589
381,43,570
382,43,553
383,43,536
384,43,520
385,43,506
386,43,491
387,43,476
388,43,463
389,43,450
390,43,436
391,43,428
392,43,445
393,43,463
394,43,479
395,43,496
396,43,510
397,43,526
398,43,540
399,43,553
400,44,565
401,44,572
