⸮Time,Frequency,A0
1,200,517
2,200,531
3,200,540
4,200,525
5,200,509
6,200,512
7,200,528
8,200,538
9,200,522
10,200,506
11,200,510
12,200,526
13,200,535
14,200,520
15,200,504
16,200,509
17,200,525
18,200,534
19,200,519
20,200,502
21,200,508
22,200,523
23,200,532
24,200,517
25,200,501
26,200,507
27,200,522
28,200,531
29,200,516
30,200,500
31,200,506
32,200,522
33,200,531
34,200,515
35,200,499
36,200,504
37,200,521
38,200,529
39,200,514
40,200,498
41,200,504
42,200,520
43,200,528
44,200,513
45,200,497
46,200,504
47,200,520
48,200,528
49,200,513
50,200,497
51,200,503
52,200,520
53,200,527
54,200,512
55,200,496
56,200,503
57,200,519
58,200,527
59,200,511
60,200,495
61,200,503
62,200,519
63,200,527
64,200,511
65,200,495
66,200,502
67,200,518
68,200,526
69,200,511
70,200,494
71,200,502
72,200,518
73,200,526
74,200,510
75,200,494
76,200,502
77,200,518
78,200,525
79,200,510
80,200,494
81,200,502
82,200,518
83,200,525
84,200,509
85,200,494
86,200,502
87,200,518
88,200,525
89,200,509
90,200,493
91,200,502
92,200,518
93,200,524
94,200,509
95,200,493
96,200,502
97,200,518
98,200,524
99,200,508
100,199,489
101,199,496
102,199,491
103,199,477
104,199,468
105,199,485
106,199,501
107,199,496
108,199,481
109,199,472
110,199,487
111,199,504
112,199,500
113,199,484
114,199,475
115,199,490
116,199,506
117,199,503
118,199,487
119,199,477
120,199,492
121,199,508
122,199,505
123,199,489
124,199,479
125,199,494
126,199,510
127,199,507
128,199,491
129,199,480
130,199,495
131,199,511
132,199,509
133,199,494
134,199,481
135,199,495
136,199,512
137,199,511
138,199,495
139,199,482
140,199,496
141,199,513
142,199,513
143,199,497
144,199,483
145,199,497
146,199,514
147,199,514
148,199,498
149,199,484
150,199,498
151,199,514
152,199,515
153,199,499
154,199,485
155,199,498
156,199,514
157,199,516
158,199,500
159,199,486
160,199,498
161,199,514
162,199,517
163,199,501
164,199,486
165,199,499
166,199,515
167,199,518
168,199,502
169,199,487
170,199,498
171,199,515
172,199,519
173,199,503
174,199,487
175,199,498
176,199,515
177,199,520
178,199,504
179,199,488
180,199,498
181,199,515
182,199,520
183,199,505
184,199,489
185,199,498
186,199,515
187,199,520
188,199,505
189,199,490
190,199,498
191,199,515
192,199,521
193,199,506
194,199,490
195,199,499
196,199,514
197,199,521
198,199,506
199,199,491
200,198,498
201,198,507
202,198,523
203,198,531
204,198,516
205,198,500
206,198,505
207,198,521
