Time,Frequency,A0
1,50,476
2,50,491
3,50,507
4,50,522
5,50,536
6,50,550
7,50,563
8,50,576
9,50,588
10,50,600
11,50,593
12,50,575
13,50,557
14,50,540
15,50,524
16,50,509
17,50,494
18,50,480
19,50,466
20,50,452
21,50,459
22,50,476
23,50,492
24,50,509
25,50,523
26,50,538
27,50,551
28,50,565
29,50,577
30,50,590
31,50,583
32,50,565
33,50,547
34,50,531
35,50,515
36,50,500
37,50,486
38,50,472
39,50,458
40,50,445
41,50,452
42,50,470
43,50,486
44,50,503
45,50,518
46,50,532
47,50,546
48,50,560
49,50,573
50,50,585
51,50,577
52,50,559
53,50,542
54,50,526
55,50,510
56,50,495
57,50,480
58,50,467
59,50,454
60,50,440
61,50,449
62,50,467
63,50,484
64,50,500
65,50,514
66,50,530
67,50,544
68,50,557
69,50,571
70,50,583
71,50,574
72,50,556
73,50,539
74,50,523
75,50,507
76,50,493
77,50,478
78,50,464
79,50,451
80,50,438
81,50,448
82,50,465
83,50,482
84,50,498
85,50,513
86,50,528
87,50,542
88,50,556
89,50,569
90,50,582
91,50,571
92,50,554
93,50,537
94,50,521
95,50,505
96,50,491
97,50,476
98,50,463
99,50,449
100,50,433
101,50,442
102,50,460
103,50,477
104,50,493
105,50,509
106,50,519
107,50,505
108,50,490
109,50,475
110,50,461
111,50,447
112,50,434
113,50,422
114,50,410
115,50,398
116,50,391
117,50,409
118,50,427
119,50,445
120,50,462
121,50,479
122,50,494
123,50,509
124,50,524
125,50,538
126,50,547
127,50,531
128,50,515
129,50,499
130,50,485
131,50,470
132,50,456
133,50,443
134,50,430
135,50,418
136,50,410
137,50,428
138,50,446
139,50,463
140,50,479
141,50,495
142,50,511
143,50,525
144,50,539
145,50,553
146,50,561
147,50,545
148,50,528
149,50,512
150,50,496
151,50,482
152,50,468
153,50,454
154,50,441
155,50,428
156,50,421
157,50,439
158,50,457
159,50,474
160,50,490
161,50,505
162,50,520
163,50,534
164,50,548
165,50,561
166,50,568
167,50,552
168,50,535
169,50,518
170,50,503
171,50,488
172,50,474
173,50,460
174,50,447
175,50,434
176,50,428
177,50,445
178,50,463
179,50,479
180,50,496
181,50,511
182,50,525
183,50,540
184,50,553
185,50,567
186,50,572
187,50,555
188,50,538
189,50,522
190,50,507
191,50,491
192,50,477
193,50,463
194,50,450
195,50,437
196,50,431
197,50,449
198,50,466
199,50,483
200,50,498
201,50,507
202,50,522
203,50,536
204,50,550
205,50,562
206,50,547
207,50,531
208,50,515
209,50,499
210,50,484
211,50,470
212,50,456
213,50,443
214,50,430
215,50,419
216,50,435
217,50,453
218,50,470
219,50,486
220,50,502
221,50,517
222,50,531
223,50,546
224,50,559
225,50,570
226,50,555
227,50,538
228,50,522
229,50,506
230,50,491
231,50,477
232,50,463
233,50,449
234,50,436
235,50,426
236,50,441
237,50,460
238,50,476
239,50,492
240,50,508
241,50,522
242,50,537
243,50,551
244,50,564
245,50,574
246,50,559
247,50,542
248,50,525
249,50,510
250,50,495
251,50,480
252,50,466
253,50,453
254,50,439
255,50,429
256,50,445
257,50,463
258,50,480
259,50,496
260,50,511
261,50,526
262,50,540
263,50,554
264,50,567
265,50,577
266,50,562
267,50,544
268,50,527
269,50,511
270,50,496
271,50,481
272,50,468
273,50,454
274,50,441
275,50,432
276,50,448
277,50,465
278,50,482
279,50,498
280,50,513
281,50,528
282,50,542
283,50,556
284,50,569
285,50,578
286,50,562
287,50,544
288,50,528
289,50,512
290,50,497
291,50,482
292,50,469
293,50,455
294,50,442
295,50,433
296,50,450
297,50,467
298,50,484
299,50,499
300,50,514
301,50,522
302,50,536
303,50,550
304,50,563
305,50,576
306,50,589
307,50,601
308,50,610
309,50,593
310,50,574
311,50,558
312,50,540
313,50,525
314,50,510
315,50,495
316,50,480
317,50,466
318,50,456
319,50,472
320,50,489
321,50,504
322,50,520
323,50,534
324,50,548
325,50,562
326,50,575
327,50,587
328,50,596
329,50,580
330,50,562
331,50,545
332,50,529
333,50,513
334,50,498
335,50,483
336,50,470
337,50,456
338,50,446
339,50,463
340,50,480
341,50,496
342,50,512
343,50,527
344,50,541
345,50,554
346,50,568
347,50,581
348,50,589
349,50,572
350,50,554
351,50,538
352,50,522
353,50,506
354,50,492
355,50,477
356,50,464
357,50,450
358,50,442
359,50,458
360,50,475
361,50,492
362,50,508
363,50,523
364,50,537
365,50,551
366,50,564
367,50,577
368,50,585
369,50,568
370,50,550
371,50,534
372,50,517
373,50,502
374,50,488
375,50,474
376,50,460
377,50,447
378,50,439
379,50,456
380,50,473
381,50,490
382,50,506
383,50,520
384,50,535
385,50,549
386,50,562
387,50,575
388,50,582
389,50,565
390,50,547
391,50,531
392,50,516
393,50,500
394,50,486
395,50,472
396,50,459
397,50,445
398,50,437
399,50,455
400,50,472
401,50,481
402,50,497
403,50,512
404,50,527
405,50,542
406,50,555
407,50,568
408,50,554
409,50,537
410,50,521
411,50,505
412,50,490
413,50,476
414,50,462
415,50,449
416,50,436
417,50,423
418,50,438
419,50,456
420,50,474
421,50,490
422,50,505
423,50,521
424,50,535
425,50,549
426,50,562
427,50,574
428,50,560
429,50,542
430,50,526
431,50,510
432,50,495
433,50,481
434,50,467
435,50,453
436,50,440
437,50,428
438,50,443
439,50,461
440,50,478
441,50,494
442,50,509
443,50,524
444,50,538
445,50,552
446,50,565
447,50,577
448,50,562
449,50,545
450,50,528
451,50,512
452,50,497
453,50,482
454,50,469
455,50,455
456,50,442
457,50,430
458,50,446
459,50,464
460,50,481
461,50,496
462,50,512
463,50,527
464,50,541
465,50,555
466,50,568
467,50,578
468,50,563
469,50,545
470,50,529
471,50,513
472,50,498
473,50,484
474,50,470
475,50,456
476,50,443
477,50,432
478,50,448
479,50,466
480,50,483
481,50,498
482,50,513
483,50,528
484,50,542
485,50,556
486,50,569
487,50,579
488,50,563
489,50,546
490,50,529
491,50,513
492,50,499
493,50,484
494,50,470
495,50,456
496,50,443
497,50,433
498,50,449
499,50,467
500,50,483
501,50,492
502,50,507
503,50,522
504,50,536
505,50,550
506,50,564
507,50,556
508,50,539
509,50,522
510,50,506
511,50,491
512,50,477
513,50,463
514,50,450
515,50,437
516,50,424
517,50,433
518,50,452
519,50,469
520,50,485
521,50,501
522,50,516
523,50,530
524,50,544
525,50,558
526,50,571
527,50,562
528,50,545
529,50,528
530,50,512
531,50,497
532,50,482
533,50,468
534,50,455
535,50,441
536,50,429
537,50,439
538,50,457
539,50,474
540,50,490
541,50,506
542,50,520
