Time,Frequency,A0
1,35,156
2,35,281
3,35,387
4,35,467
5,35,524
6,35,564
7,35,591
8,35,611
9,35,624
10,35,634
11,35,641
12,35,646
13,35,649
14,35,652
15,35,486
16,35,274
17,35,148
18,35,81
19,35,45
20,35,26
21,35,15
22,35,9
23,35,5
24,35,3
25,35,1
26,35,1
27,35,0
28,35,0
29,35,52
30,35,213
31,35,336
32,35,429
33,35,497
34,35,545
35,35,579
36,35,602
37,35,619
38,35,630
39,35,639
40,35,644
41,35,648
42,35,651
43,35,653
44,35,377
45,35,208
46,35,113
47,35,62
48,35,35
49,35,19
50,35,12
51,35,7
52,35,4
53,35,2
54,35,1
55,35,0
56,35,0
57,35,0
58,35,131
59,35,273
60,35,381
61,35,463
62,35,521
63,35,562
64,35,590
65,35,611
66,35,625
67,35,635
68,35,641
69,35,646
70,35,649
71,35,652
72,35,510
73,35,289
74,35,157
75,35,86
76,35,48
77,35,27
78,35,15
79,35,9
80,35,5
81,35,3
82,35,2
83,35,1
84,35,0
85,35,0
86,35,35
87,35,200
88,35,327
89,35,422
90,35,492
91,35,542
92,35,577
93,35,601
94,35,618
95,35,629
96,35,638
97,35,643
98,35,648
99,35,651
100,36,574
101,36,603
102,36,623
103,36,635
104,36,642
105,36,647
106,36,503
107,36,286
108,36,155
109,36,85
110,36,47
111,36,27
112,36,16
113,36,10
114,36,6
115,36,4
116,36,2
117,36,1
118,36,1
119,36,0
120,36,106
121,36,255
122,36,367
123,36,453
124,36,514
125,36,558
126,36,587
127,36,608
128,36,623
129,36,634
130,36,641
131,36,646
132,36,649
133,36,652
134,36,447
135,36,251
136,36,136
137,36,75
138,36,41
139,36,24
140,36,14
141,36,8
142,36,4
143,36,3
144,36,2
145,36,1
146,36,1
147,36,0
148,36,143
149,36,283
150,36,389
151,36,468
152,36,525
153,36,565
154,36,593
155,36,611
156,36,626
157,36,635
158,36,642
159,36,646
160,36,650
161,36,652
162,36,396
163,36,218
164,36,119
165,36,65
166,36,37
167,36,21
168,36,12
169,36,7
170,36,5
171,36,2
172,36,2
173,36,1
174,36,0
175,36,0
176,36,178
177,36,309
178,36,409
179,36,483
180,36,535
181,36,572
182,36,597
183,36,616
184,36,628
185,36,637
186,36,643
187,36,648
188,36,651
189,36,601
190,36,347
191,36,191
192,36,104
193,36,57
194,36,33
195,36,19
196,36,10
197,36,7
198,36,4
199,36,1
200,37,16
201,37,14
202,37,7
203,37,3
204,37,1
205,37,0
206,37,0
207,37,0
208,37,0
209,37,0
210,37,0
211,37,0
212,37,0
213,37,0
214,37,34
215,37,199
216,37,324
217,37,421
218,37,491
219,37,541
220,37,575
221,37,599
222,37,617
223,37,629
224,37,638
225,37,644
226,37,647
227,37,651
228,37,451
229,37,253
230,37,137
231,37,76
232,37,42
233,37,23
234,37,14
235,37,8
236,37,4
237,37,3
238,37,2
239,37,1
240,37,0
241,37,34
242,37,199
243,37,324
244,37,421
245,37,491
246,37,542
247,37,576
248,37,600
249,37,618
250,37,629
251,37,638
252,37,644
253,37,648
254,37,651
255,37,453
256,37,254
257,37,138
258,37,76
259,37,43
260,37,24
261,37,14
262,37,8
263,37,4
264,37,3
265,37,2
266,37,1
267,37,0
268,37,30
269,37,197
270,37,325
271,37,420
272,37,491
273,37,541
274,37,576
275,37,600
276,37,618
277,37,629
278,37,638
279,37,644
280,37,648
281,37,651
282,37,455
283,37,256
284,37,139
285,37,77
286,37,42
287,37,24
288,37,14
289,37,8
290,37,5
291,37,3
292,37,1
293,37,1
294,37,0
295,37,29
296,37,195
297,37,324
298,37,419
299,37,491
300,38,466
301,38,516
302,38,561
303,38,591
304,38,612
305,38,625
306,38,346
307,38,189
308,38,102
309,38,56
310,38,31
311,38,18
312,38,10
313,38,6
314,38,3
315,38,2
316,38,1
317,38,0
318,38,0
319,38,162
320,38,297
321,38,400
322,38,476
323,38,530
324,38,569
325,38,595
326,38,613
327,38,627
328,38,636
329,38,643
330,38,647
331,38,651
332,38,419
333,38,233
334,38,126
335,38,70
336,38,39
337,38,23
338,38,13
339,38,8
340,38,5
341,38,3
342,38,1
343,38,0
344,38,0
345,38,124
346,38,268
347,38,378
348,38,460
349,38,519
350,38,561
351,38,590
352,38,610
353,38,624
354,38,634
355,38,641
356,38,646
357,38,650
358,38,479
359,38,270
360,38,146
361,38,80
362,38,45
363,38,26
364,38,15
365,38,9
366,38,5
367,38,3
368,38,1
369,38,1
370,38,0
371,38,82
372,38,236
373,38,354
374,38,442
375,38,507
376,38,552
377,38,584
378,38,606
379,38,621
380,38,632
381,38,639
382,38,645
383,38,649
384,38,542
385,38,311
386,38,170
387,38,93
388,38,52
389,38,29
390,38,17
391,38,10
392,38,6
393,38,4
394,38,2
395,38,1
396,38,0
397,38,38
398,38,203
399,38,329
400,39,361
401,39,432
402,39,501
403,39,549
404,39,582
405,39,605
406,39,620
407,39,631
408,39,640
409,39,491
410,39,277
411,39,150
412,39,82
413,39,46
414,39,26
415,39,15
416,39,9
417,39,6
418,39,3
419,39,2
420,39,1
421,39,0
422,39,124
423,39,269
424,39,378
425,39,461
426,39,519
427,39,561
428,39,590
429,39,610
430,39,624
431,39,634
432,39,641
433,39,646
434,39,649
435,39,398
436,39,220
437,39,121
438,39,66
439,39,37
440,39,21
441,39,13
442,39,7
443,39,5
444,39,3
445,39,1
446,39,1
447,39,16
448,39,186
449,39,317
450,39,414
451,39,487
452,39,538
453,39,574
454,39,599
455,39,616
456,39,629
457,39,637
458,39,643
459,39,648
460,39,554
461,39,317
462,39,173
463,39,94
464,39,52
465,39,30
466,39,17
467,39,10
468,39,6
469,39,3
470,39,2
471,39,1
472,39,0
473,39,91
474,39,243
475,39,359
476,39,446
477,39,509
478,39,554
479,39,585
480,39,607
481,39,622
482,39,633
483,39,640
484,39,645
485,39,649
486,39,446
487,39,250
488,39,135
