Time,Frequency,A0
1,50,114
2,50,107
3,50,97
4,50,88
5,50,80
6,50,73
7,50,66
8,50,60
9,50,55
10,50,49
11,50,0
12,50,0
13,50,0
14,50,0
15,50,0
16,50,0
17,50,0
18,50,0
19,50,0
20,50,0
21,50,134
22,50,126
23,50,115
24,50,103
25,50,94
26,50,85
27,50,78
28,50,70
29,50,64
30,50,58
31,50,0
32,50,0
33,50,0
34,50,0
35,50,0
36,50,0
37,50,0
38,50,0
39,50,0
40,50,0
41,50,138
42,50,128
43,50,116
44,50,105
45,50,96
46,50,87
47,50,79
48,50,71
49,50,64
50,50,59
51,50,0
52,50,0
53,50,0
54,50,0
55,50,0
56,50,0
57,50,0
58,50,0
59,50,0
60,50,0
61,50,139
62,50,128
63,50,116
64,50,105
65,50,95
66,50,86
67,50,79
68,50,71
69,50,65
70,50,59
71,50,0
72,50,0
73,50,0
74,50,0
75,50,0
76,50,0
77,50,0
78,50,0
79,50,0
80,50,0
81,50,139
82,50,127
83,50,116
84,50,105
85,50,95
86,50,87
87,50,79
88,50,72
89,50,65
90,50,59
91,50,0
92,50,0
93,50,0
94,50,0
95,50,0
96,50,0
97,50,0
98,50,0
99,50,0
100,55,0
101,55,138
102,55,130
103,55,118
104,55,107
105,55,0
106,55,0
107,55,0
108,55,0
109,55,0
110,55,0
111,55,0
112,55,0
113,55,0
114,55,89
115,55,146
116,55,132
117,55,120
118,55,109
119,55,99
120,55,90
121,55,82
122,55,74
123,55,0
124,55,0
125,55,0
126,55,0
127,55,0
128,55,0
129,55,0
130,55,0
131,55,0
132,55,0
133,55,137
134,55,126
135,55,114
136,55,103
137,55,93
138,55,85
139,55,77
140,55,70
141,55,63
142,55,0
143,55,0
144,55,0
145,55,0
146,55,0
147,55,0
148,55,0
149,55,0
150,55,0
151,55,136
152,55,125
153,55,113
154,55,103
155,55,93
156,55,85
157,55,77
158,55,70
159,55,64
160,55,0
161,55,0
162,55,0
163,55,0
164,55,0
165,55,0
166,55,0
167,55,0
168,55,0
169,55,133
170,55,127
171,55,115
172,55,105
173,55,95
174,55,86
175,55,78
176,55,71
177,55,64
178,55,0
179,55,0
180,55,0
181,55,0
182,55,0
183,55,0
184,55,0
185,55,0
186,55,0
187,55,125
188,55,129
189,55,118
190,55,106
191,55,96
192,55,88
193,55,80
194,55,72
195,55,66
196,55,0
197,55,0
198,55,0
199,55,0
200,60,0
201,60,104
202,60,100
203,60,90
204,60,81
205,60,74
206,60,67
207,60,61
208,60,55
209,60,50
210,60,45
211,60,41
212,60,37
213,60,34
214,60,30
215,60,28
216,60,25
217,60,0
218,60,0
219,60,0
220,60,0
221,60,0
222,60,0
223,60,0
224,60,0
225,60,78
226,60,113
227,60,104
228,60,93
229,60,84
230,60,77
231,60,69
232,60,63
233,60,58
234,60,0
235,60,0
236,60,0
237,60,0
238,60,0
239,60,0
240,60,0
241,60,0
242,60,126
243,60,122
244,60,110
245,60,100
246,60,90
247,60,82
248,60,74
249,60,67
250,60,0
251,60,0
252,60,0
253,60,0
254,60,0
255,60,0
256,60,0
257,60,0
258,60,0
259,60,131
260,60,119
261,60,108
262,60,98
263,60,89
264,60,81
265,60,74
266,60,66
267,60,0
268,60,0
269,60,0
270,60,0
271,60,0
272,60,0
273,60,0
274,60,0
275,60,108
276,60,127
277,60,116
278,60,105
279,60,96
280,60,86
281,60,79
282,60,71
283,60,0
284,60,0
285,60,0
286,60,0
287,60,0
288,60,0
289,60,0
290,60,0
291,60,0
292,60,131
293,60,124
294,60,112
295,60,102
296,60,92
297,60,84
298,60,76
299,60,69
300,65,0
301,65,64
302,65,63
303,65,57
304,65,52
305,65,47
306,65,43
307,65,39
308,65,0
309,65,0
310,65,0
311,65,0
312,65,0
313,65,0
314,65,0
315,65,0
316,65,97
317,65,113
318,65,101
319,65,92
320,65,83
321,65,76
322,65,68
323,65,62
324,65,0
325,65,0
