Time,Frequency,A0
1,40,158
2,40,283
3,40,389
4,40,468
5,40,525
6,40,565
7,40,593
8,40,612
9,40,626
10,40,635
11,40,642
12,40,647
13,40,539
14,40,305
15,40,165
16,40,89
17,40,49
18,40,28
19,40,15
20,40,9
21,40,6
22,40,3
23,40,1
24,40,1
25,40,0
26,40,151
27,40,290
28,40,396
29,40,473
30,40,529
31,40,568
32,40,595
33,40,614
34,40,627
35,40,636
36,40,643
37,40,647
38,40,528
39,40,298
40,40,162
41,40,88
42,40,49
43,40,27
44,40,16
45,40,9
46,40,5
47,40,3
48,40,1
49,40,1
50,40,0
51,40,158
52,40,295
53,40,399
54,40,476
55,40,531
56,40,569
57,40,596
58,40,615
59,40,627
60,40,637
61,40,643
62,40,648
63,40,517
64,40,291
65,40,158
66,40,86
67,40,48
68,40,27
69,40,15
70,40,9
71,40,5
72,40,3
73,40,2
74,40,1
75,40,0
76,40,164
77,40,300
78,40,402
79,40,479
80,40,533
81,40,571
82,40,598
83,40,616
84,40,628
85,40,637
86,40,644
87,40,647
88,40,506
89,40,284
90,40,154
91,40,84
92,40,47
93,40,26
94,40,15
95,40,9
96,40,5
97,40,3
98,40,2
99,40,1
100,41,14
101,41,143
102,41,285
103,41,391
104,41,470
105,41,527
106,41,566
107,41,594
108,41,613
109,41,627
110,41,636
111,41,643
112,41,621
113,41,358
114,41,194
115,41,105
116,41,58
117,41,32
118,41,19
119,41,11
120,41,6
121,41,3
122,41,2
123,41,1
124,41,0
125,41,161
126,41,297
127,41,400
128,41,478
129,41,532
130,41,570
131,41,597
132,41,615
133,41,628
134,41,637
135,41,643
136,41,648
137,41,431
138,41,237
139,41,128
140,41,70
141,41,39
142,41,22
143,41,13
144,41,7
145,41,4
146,41,2
147,41,1
148,41,0
149,41,108
150,41,257
151,41,369
152,41,456
153,41,516
154,41,560
155,41,589
156,41,610
157,41,624
158,41,634
159,41,642
160,41,647
161,41,512
162,41,288
163,41,156
164,41,85
165,41,47
166,41,27
167,41,16
168,41,9
169,41,5
170,41,3
171,41,2
172,41,1
173,41,53
174,41,214
175,41,338
176,41,431
177,41,499
178,41,547
179,41,581
180,41,604
181,41,620
182,41,632
183,41,640
184,41,645
185,41,608
186,41,350
187,41,190
188,41,104
189,41,57
190,41,32
191,41,18
192,41,11
193,41,7
194,41,4
195,41,2
196,41,1
197,41,1
198,41,166
199,41,302
200,42,343
201,42,418
202,42,274
203,42,143
204,42,75
205,42,40
206,42,22
207,42,11
208,42,7
209,42,3
210,42,2
211,42,1
212,42,0
213,42,0
214,42,146
215,42,285
216,42,390
217,42,471
218,42,526
219,42,566
220,42,594
221,42,614
222,42,626
223,42,636
224,42,642
225,42,647
226,42,389
227,42,214
228,42,116
229,42,64
230,42,35
231,42,20
232,42,12
233,42,7
234,42,4
235,42,2
236,42,1
237,42,0
238,42,177
239,42,308
240,42,409
241,42,484
242,42,536
243,42,574
244,42,598
245,42,617
246,42,629
247,42,638
248,42,644
249,42,608
250,42,350
251,42,190
252,42,104
253,42,56
254,42,32
255,42,18
256,42,10
257,42,6
258,42,4
259,42,2
260,42,1
261,42,41
262,42,205
263,42,331
264,42,426
265,42,495
266,42,545
267,42,579
268,42,602
269,42,620
270,42,631
271,42,639
272,42,645
273,42,550
274,42,311
275,42,170
276,42,91
277,42,51
278,42,28
279,42,17
280,42,9
281,42,6
282,42,4
283,42,2
284,42,1
285,42,75
286,42,232
287,42,350
288,42,441
289,42,506
290,42,552
291,42,584
292,42,606
293,42,622
294,42,633
295,42,640
296,42,646
297,42,494
298,42,278
299,42,148
300,43,86
301,43,210
302,43,339
303,43,435
304,43,504
305,43,552
306,43,585
307,43,607
308,43,623
309,43,634
310,43,519
311,43,292
312,43,158
313,43,86
314,43,48
315,43,27
316,43,16
317,43,9
318,43,5
319,43,3
320,43,2
321,43,1
322,43,142
323,43,283
324,43,389
325,43,470
326,43,527
327,43,567
328,43,594
329,43,613
330,43,627
331,43,636
332,43,643
333,43,576
334,43,330
335,43,178
336,43,97
337,43,53
338,43,30
339,43,17
340,43,10
341,43,6
342,43,3
343,43,2
344,43,1
345,43,115
346,43,262
347,43,373
348,43,457
349,43,518
350,43,560
351,43,590
352,43,610
353,43,625
354,43,635
355,43,642
356,43,646
357,43,362
358,43,198
359,43,107
360,43,59
361,43,33
362,43,18
363,43,11
364,43,6
365,43,4
366,43,2
367,43,1
368,43,84
369,43,240
370,43,356
371,43,445
372,43,509
373,43,555
374,43,586
375,43,607
376,43,623
377,43,634
378,43,641
379,43,646
380,43,400
381,43,221
382,43,119
383,43,65
384,43,36
385,43,21
386,43,12
387,43,7
388,43,4
389,43,2
390,43,2
391,43,54
392,43,215
393,43,340
394,43,432
395,43,500
396,43,548
397,43,581
398,43,604
399,43,620
400,44,553
401,44,586
402,44,610
403,44,626
404,44,637
405,44,643
406,44,380
407,44,209
408,44,112
409,44,62
410,44,35
411,44,20
412,44,11
413,44,7
414,44,4
415,44,3
416,44,2
417,44,115
418,44,261
419,44,374
420,44,457
421,44,518
422,44,561
423,44,590
424,44,611
425,44,625
426,44,635
427,44,642
428,44,549
429,44,312
430,44,169
431,44,91
432,44,51
433,44,28
434,44,17
435,44,10
