Time,Frequency,A0
1,50,258
2,50,237
3,50,219
4,50,206
5,50,196
6,50,189
7,50,184
8,50,180
9,50,178
10,50,175
11,50,0
12,50,0
13,50,0
14,50,0
15,50,0
16,50,0
17,50,0
18,50,0
19,50,0
20,50,0
21,50,257
22,50,233
23,50,216
24,50,203
25,50,195
26,50,187
27,50,183
28,50,179
29,50,177
30,50,175
31,50,0
32,50,0
33,50,0
34,50,0
35,50,0
36,50,0
37,50,0
38,50,0
39,50,0
40,50,0
41,50,256
42,50,232
43,50,216
44,50,203
45,50,194
46,50,188
47,50,183
48,50,179
49,50,176
50,50,175
51,50,0
52,50,0
53,50,0
54,50,0
55,50,0
56,50,0
57,50,0
58,50,0
59,50,0
60,50,0
61,50,254
62,50,231
63,50,215
64,50,203
65,50,194
66,50,187
67,50,182
68,50,179
69,50,176
70,50,175
71,50,0
72,50,0
73,50,0
74,50,0
75,50,0
76,50,0
77,50,0
78,50,0
79,50,0
80,50,0
81,50,253
82,50,230
83,50,214
84,50,202
85,50,194
86,50,187
87,50,182
88,50,179
89,50,176
90,50,175
91,50,0
92,50,0
93,50,0
94,50,0
95,50,0
96,50,0
97,50,0
98,50,0
99,50,0
100,55,280
101,55,257
102,55,234
103,55,217
104,55,204
105,55,0
106,55,0
107,55,0
108,55,0
109,55,0
110,55,0
111,55,0
112,55,0
113,55,0
114,55,273
115,55,244
116,55,225
117,55,210
118,55,199
119,55,192
120,55,186
121,55,182
122,55,179
123,55,0
124,55,0
125,55,0
126,55,0
127,55,0
128,55,0
129,55,0
130,55,0
131,55,0
132,55,277
133,55,248
134,55,227
135,55,212
136,55,201
137,55,192
138,55,186
139,55,182
140,55,178
141,55,187
142,55,0
143,55,0
144,55,0
145,55,0
146,55,0
147,55,0
148,55,0
149,55,0
150,55,0
151,55,253
152,55,230
153,55,215
154,55,202
155,55,194
156,55,187
157,55,182
158,55,179
159,55,176
160,55,0
161,55,0
162,55,0
163,55,0
164,55,0
165,55,0
166,55,0
167,55,0
168,55,0
169,55,258
170,55,234
171,55,216
172,55,205
173,55,195
174,55,188
175,55,183
176,55,179
177,55,176
178,55,0
179,55,0
180,55,0
181,55,0
182,55,0
183,55,0
184,55,0
185,55,0
186,55,0
187,55,263
188,55,238
189,55,219
190,55,206
191,55,197
192,55,189
193,55,183
194,55,179
195,55,177
196,55,0
197,55,0
198,55,0
199,55,0
200,60,264
201,60,244
202,60,223
203,60,208
204,60,199
205,60,190
206,60,184
207,60,181
208,60,177
209,60,175
210,60,174
