Time,Frequency,A0
1,40,123
2,40,183
3,40,216
4,40,232
5,40,240
6,40,245
7,40,247
8,40,249
9,40,249
10,40,250
11,40,250
12,40,250
13,40,164
14,40,51
15,40,17
16,40,6
17,40,2
18,40,0
19,40,0
20,40,0
21,40,0
22,40,0
23,40,0
24,40,0
25,40,0
26,40,118
27,40,185
28,40,217
29,40,233
30,40,241
31,40,245
32,40,247
33,40,249
34,40,249
35,40,250
36,40,250
37,40,250
38,40,158
39,40,48
40,40,16
41,40,6
42,40,2
43,40,1
44,40,0
45,40,0
46,40,0
47,40,0
48,40,0
49,40,0
50,40,0
51,40,122
52,40,186
53,40,218
54,40,233
55,40,241
56,40,245
57,40,247
58,40,249
59,40,249
60,40,250
61,40,250
62,40,250
63,40,150
64,40,47
65,40,16
66,40,5
67,40,2
68,40,0
69,40,0
70,40,0
71,40,0
72,40,0
73,40,0
74,40,0
75,40,0
76,40,125
77,40,189
78,40,219
79,40,233
80,40,241
81,40,245
82,40,247
83,40,248
84,40,250
85,40,250
86,40,250
87,40,250
88,40,143
89,40,45
90,40,15
91,40,5
92,40,2
93,40,0
94,40,0
95,40,0
96,40,0
97,40,0
98,40,0
99,40,0
100,41,12
101,41,113
102,41,183
103,41,216
104,41,233
105,41,241
106,41,245
107,41,247
108,41,248
109,41,250
110,41,249
111,41,250
112,41,226
113,41,69
114,41,23
115,41,8
116,41,3
117,41,0
118,41,0
119,41,0
120,41,0
121,41,0
122,41,0
123,41,0
124,41,0
125,41,123
126,41,187
127,41,218
128,41,233
129,41,241
130,41,245
131,41,248
132,41,249
133,41,250
134,41,250
135,41,250
136,41,250
137,41,100
138,41,32
139,41,11
140,41,4
141,41,1
142,41,0
143,41,0
144,41,0
145,41,0
146,41,0
147,41,0
148,41,0
149,41,89
150,41,172
151,41,210
152,41,229
153,41,239
154,41,244
155,41,246
156,41,248
157,41,249
158,41,249
159,41,250
160,41,251
161,41,146
162,41,46
163,41,15
164,41,6
165,41,1
166,41,0
167,41,0
168,41,0
169,41,0
170,41,0
171,41,0
172,41,0
173,41,46
174,41,153
175,41,201
176,41,224
177,41,236
178,41,243
179,41,245
180,41,247
181,41,249
182,41,249
183,41,249
184,41,250
185,41,216
186,41,66
187,41,22
188,41,8
189,41,3
190,41,1
191,41,0
192,41,0
193,41,0
194,41,0
195,41,0
196,41,0
197,41,0
198,41,127
199,41,189
200,42,162
201,42,201
202,42,85
203,42,26
204,42,9
205,42,2
206,42,1
207,42,0
208,42,0
209,42,0
210,42,0
211,42,0
212,42,0
213,42,0
214,42,115
215,42,183
216,42,216
217,42,232
218,42,240
219,42,245
220,42,247
221,42,248
222,42,249
223,42,250
224,42,250
225,42,250
226,42,82
227,42,27
228,42,9
229,42,3
230,42,1
231,42,0
232,42,0
233,42,0
234,42,0
235,42,0
236,42,0
237,42,0
238,42,132
239,42,192
240,42,220
241,42,234
242,42,241
243,42,245
244,42,248
245,42,249
246,42,249
247,42,250
248,42,250
249,42,216
250,42,66
251,42,22
252,42,8
253,42,2
254,42,1
255,42,0
256,42,0
257,42,0
258,42,0
259,42,0
260,42,0
261,42,35
262,42,147
263,42,199
264,42,223
265,42,236
266,42,242
267,42,245
268,42,248
269,42,249
270,42,249
271,42,250
272,42,250
273,42,171
274,42,53
275,42,17
276,42,6
277,42,1
278,42,0
279,42,0
280,42,0
281,42,0
282,42,0
283,42,0
284,42,0
285,42,64
286,42,161
287,42,205
288,42,226
289,42,237
290,42,243
291,42,246
292,42,247
293,42,249
294,42,249
295,42,249
296,42,250
297,42,136
298,42,43
299,42,14
300,43,17
301,43,117
302,43,186
303,43,217
304,43,233
305,43,241
306,43,245
307,43,247
308,43,249
309,43,249
310,43,156
311,43,49
312,43,16
313,43,6
314,43,2
315,43,1
316,43,0
317,43,0
318,43,0
319,43,0
320,43,0
321,43,0
322,43,111
323,43,182
324,43,215
325,43,232
326,43,240
327,43,245
328,43,247
329,43,248
330,43,249
331,43,249
332,43,250
333,43,192
334,43,59
335,43,19
336,43,6
337,43,2
338,43,0
339,43,0
340,43,0
341,43,0
342,43,0
343,43,0
344,43,0
345,43,93
346,43,173
347,43,211
348,43,230
349,43,239
350,43,244
351,43,247
352,43,248
353,43,249
354,43,250
355,43,250
356,43,253
357,43,72
358,43,23
359,43,8
360,43,2
361,43,1
362,43,0
363,43,0
364,43,0
365,43,0
366,43,0
367,43,0
368,43,72
369,43,164
370,43,206
371,43,227
372,43,238
373,43,243
374,43,246
375,43,247
376,43,249
377,43,250
378,43,250
379,43,250
380,43,87
381,43,28
382,43,10
383,43,4
384,43,0
385,43,0
386,43,0
387,43,0
388,43,0
389,43,0
390,43,0
391,43,48
392,43,153
393,43,201
394,43,224
395,43,236
396,43,242
397,43,245
398,43,247
399,43,249
400,44,185
401,44,216
402,44,234
403,44,242
404,44,246
405,44,248
406,44,78
407,44,26
408,44,9
409,44,3
410,44,1
411,44,0
412,44,0
413,44,0
414,44,0
415,44,0
416,44,0
417,44,93
418,44,173
419,44,211
420,44,229
421,44,239
422,44,243
423,44,247
424,44,248
425,44,249
426,44,249
427,44,249
428,44,173
429,44,53
430,44,18
431,44,6
432,44,2
433,44,0
434,44,0
435,44,0
436,44,0
437,44,0
438,44,0
439,44,0
440,44,128
441,44,190
442,44,219
443,44,233
444,44,241
445,44,245
446,44,247
447,44,248
448,44,249
449,44,249
450,44,250
451,44,115
452,44,36
453,44,13
454,44,4
455,44,1
456,44,0
457,44,0
458,44,0
459,44,0
460,44,0
461,44,0
462,44,52
463,44,155
464,44,202
465,44,225
466,44,237
467,44,242
468,44,245
469,44,248
470,44,248
471,44,249
472,44,249
473,44,249
474,44,77
475,44,24
476,44,9
477,44,3
478,44,0
479,44,0
480,44,0
481,44,0
482,44,0
483,44,0
484,44,0
485,44,96
486,44,175
487,44,211
488,44,230
489,44,239
490,44,244
491,44,247
492,44,248
493,44,249
494,44,249
495,44,250
496,44,166
497,44,51
498,44,17
499,44,6
500,45,13
501,45,116
502,45,184
503,45,121
504,45,37
505,45,11
506,45,3
507,45,1
508,45,0
509,45,0
510,45,0
511,45,0
512,45,0
513,45,0
514,45,56
515,45,157
516,45,203
517,45,225
518,45,237
519,45,243
520,45,246
521,45,248
522,45,249
523,45,249
524,45,249
525,45,177
526,45,55
527,45,18
528,45,7
529,45,2
530,45,1
531,45,0
532,45,0
533,45,0
534,45,0
535,45,0
536,45,34
537,45,147
538,45,198
539,45,223
540,45,235
541,45,242
542,45,246
543,45,247
544,45,248
545,45,249
546,45,250
547,45,213
548,45,65
549,45,21
550,45,7
551,45,3
552,45,0
553,45,0
554,45,0
555,45,0
556,45,0
557,45,0
558,45,3
559,45,136
560,45,193
561,45,221
562,45,234
563,45,241
564,45,245
565,45,247
566,45,248
567,45,249
568,45,249
569,45,251
570,45,76
571,45,25
572,45,8
573,45,3
574,45,1
575,45,0
576,45,0
577,45,0
578,45,0
579,45,0
580,45,0
581,45,123
582,45,187
583,45,218
584,45,233
585,45,240
586,45,244
587,45,247
588,45,248
589,45,249
590,45,249
591,45,250
592,45,90
593,45,29
594,45,10
595,45,3
596,45,1
597,45,0
598,45,0
599,45,0
600,46,11
601,46,113
602,46,183
603,46,216
604,46,232
605,46,240
606,46,244
607,46,246
608,46,248
609,46,107
610,46,34
611,46,12
612,46,4
613,46,1
614,46,0
615,46,0
616,46,0
617,46,0
618,46,0
619,46,0
620,46,119
621,46,185
622,46,216
623,46,232
624,46,240
625,46,244
626,46,247
627,46,248
628,46,248
629,46,249
630,46,238
631,46,71
632,46,23
633,46,8
634,46,3
635,46,1
636,46,0
637,46,0
638,46,0
639,46,0
640,46,0
641,46,40
642,46,150
643,46,199
644,46,224
645,46,235
646,46,242
647,46,245
648,46,247
649,46,248
650,46,249
651,46,249
652,46,148
653,46,46
654,46,15
655,46,5
656,46,2
657,46,1
658,46,0
659,46,0
660,46,0
661,46,0
662,46,0
663,46,91
664,46,173
665,46,210
666,46,229
667,46,239
668,46,243
669,46,246
670,46,248
671,46,248
672,46,249
673,46,250
674,46,96
675,46,30
676,46,10
677,46,4
678,46,1
679,46,0
680,46,0
681,46,0
682,46,0
683,46,0
684,46,0
685,46,129
686,46,190
687,46,219
688,46,233
689,46,241
690,46,245
691,46,247
692,46,248
693,46,249
694,46,249
695,46,204
696,46,63
697,46,20
698,46,7
699,46,2
700,47,13
701,47,115
702,47,184
703,47,121
704,47,36
705,47,11
706,47,4
707,47,1
708,47,0
