Time,Frequency,A0
1,10,506
2,10,498
3,10,506
4,10,501
5,10,502
6,10,506
7,10,499
8,10,507
9,10,502
10,10,503
11,10,507
12,10,499
13,10,507
14,10,502
15,10,503
16,10,508
17,10,500
18,10,507
19,10,503
20,10,504
21,10,508
22,10,501
23,10,508
24,10,504
25,10,504
26,10,509
27,10,501
28,10,509
29,10,505
30,10,505
31,10,509
32,10,501
33,10,509
34,10,505
35,10,505
36,10,510
37,10,502
38,10,509
39,10,505
40,10,505
41,10,510
42,10,502
43,10,509
44,10,506
45,10,505
46,10,510
47,10,503
48,10,509
49,10,506
50,10,505
51,10,510
52,10,503
53,10,510
54,10,507
55,10,506
56,10,511
57,10,503
58,10,509
59,10,507
60,10,506
61,10,511
62,10,503
63,10,510
64,10,507
65,10,505
66,10,511
67,10,504
68,10,510
69,10,507
70,10,505
71,10,511
72,10,504
73,10,510
74,10,508
75,10,506
76,10,512
77,10,504
78,10,510
79,10,508
80,10,506
81,10,512
82,10,504
83,10,510
84,10,508
85,10,506
86,10,512
87,10,504
88,10,510
89,10,508
90,10,506
91,10,512
92,10,504
93,10,510
94,10,509
95,10,505
96,10,512
97,10,505
98,10,510
99,10,509
100,11,501
101,11,509
102,11,524
103,11,539
104,11,553
105,11,567
106,11,580
107,11,593
108,11,605
109,11,617
110,11,628
111,11,639
112,11,650
113,11,647
114,11,627
115,11,607
116,11,589
117,11,571
118,11,555
119,11,539
120,11,523
121,11,508
122,11,493
123,11,479
124,11,465
125,11,451
126,11,461
127,11,479
128,11,496
129,11,511
130,11,526
131,11,540
132,11,554
133,11,568
134,11,581
135,11,593
136,11,605
137,11,617
138,11,625
139,11,607
140,11,589
141,11,570
142,11,553
143,11,537
144,11,521
145,11,506
146,11,491
147,11,477
148,11,463
149,11,450
150,11,437
151,11,437
152,11,455
153,11,472
154,11,489
155,11,505
156,11,520
157,11,534
158,11,549
159,11,562
160,11,575
161,11,588
162,11,600
163,11,612
164,11,602
165,11,583
166,11,565
167,11,548
168,11,531
169,11,516
170,11,500
171,11,486
172,11,472
173,11,458
174,11,445
175,11,432
176,11,423
177,11,440
178,11,458
179,11,475
180,11,492
181,11,507
182,11,522
183,11,537
184,11,550
185,11,564
186,11,577
187,11,590
188,11,602
189,11,602
190,11,583
191,11,565
192,11,548
193,11,532
194,11,516
195,11,501
196,11,486
197,11,471
198,11,458
199,11,445
200,12,429
201,12,438
202,12,456
203,12,473
204,12,490
205,12,506
206,12,521
207,12,535
208,12,549
209,12,563
210,12,576
211,12,589
212,12,601
213,12,613
214,12,624
215,12,635
216,12,641
217,12,623
218,12,603
219,12,585
220,12,567
221,12,551
222,12,534
223,12,519
224,12,504
225,12,496
226,12,512
227,12,528
228,12,542
229,12,557
230,12,571
231,12,583
232,12,596
233,12,608
234,12,610
235,12,591
236,12,573
237,12,556
238,12,539
239,12,523
240,12,508
241,12,493
242,12,479
243,12,478
244,12,495
245,12,511
246,12,526
247,12,541
248,12,556
249,12,569
250,12,582
251,12,594
252,12,590
253,12,572
254,12,554
255,12,537
256,12,522
257,12,506
258,12,491
259,12,477
260,12,463
261,12,469
262,12,487
263,12,503
264,12,518
265,12,534
266,12,547
267,12,561
268,12,574
269,12,587
270,12,577
271,12,559
272,12,542
273,12,526
274,12,510
275,12,495
276,12,481
277,12,466
278,12,453
279,12,466
280,12,483
281,12,499
282,12,515
283,12,530
284,12,544
285,12,558
286,12,571
287,12,582
288,12,568
289,12,550
290,12,533
291,12,517
292,12,502
293,12,487
294,12,472
295,12,459
296,12,449
297,12,465
298,12,482
299,12,499
300,13,513
301,13,521
302,13,536
303,13,550
304,13,563
305,13,577
306,13,589
307,13,602
308,13,613
309,13,625
310,13,637
311,13,647
312,13,657
313,13,667
314,13,678
315,13,687
316,13,689
317,13,668
318,13,648
319,13,628
320,13,609
321,13,591
322,13,591
323,13,605
324,13,618
325,13,630
326,13,641
327,13,650
328,13,634
329,13,614
330,13,595
331,13,578
332,13,561
333,13,555
334,13,569
335,13,583
336,13,596
337,13,609
338,13,621
339,13,611
340,13,592
341,13,574
342,13,557
343,13,541
344,13,528
345,13,541
346,13,557
347,13,571
348,13,584
349,13,597
350,13,596
351,13,578
352,13,560
353,13,543
354,13,527
355,13,512
356,13,521
357,13,537
358,13,552
359,13,566
360,13,579
361,13,586
362,13,569
363,13,551
364,13,534
365,13,519
366,13,503
367,13,505
368,13,521
369,13,537
370,13,551
371,13,565
372,13,577
373,13,564
374,13,546
375,13,529
376,13,514
377,13,499
378,13,492
379,13,508
380,13,524
381,13,539
382,13,553
383,13,567
384,13,561
385,13,544
386,13,527
387,13,511
388,13,496
389,13,483
390,13,498
391,13,514
392,13,530
393,13,544
394,13,558
395,13,560
396,13,543
397,13,526
398,13,510
399,13,495
400,14,477
401,14,485
402,14,501
403,14,517
404,14,533
405,14,547
406,14,561
407,14,574
408,14,586
409,14,599
410,14,611
411,14,623
412,14,634
413,14,645
414,14,656
415,14,666
416,14,670
417,14,650
418,14,630
419,14,617
420,14,629
421,14,641
422,14,644
423,14,624
424,14,605
425,14,598
426,14,611
427,14,623
428,14,623
429,14,604
430,14,585
431,14,582
432,14,595
433,14,609
434,14,605
435,14,587
436,14,569
437,14,569
438,14,583
439,14,597
440,14,590
441,14,572
442,14,554
443,14,560
444,14,574
445,14,588
446,14,577
447,14,559
448,14,543
449,14,551
450,14,565
451,14,579
452,14,567
453,14,549
454,14,533
455,14,544
456,14,559
457,14,571
458,14,557
459,14,540
460,14,526
461,14,539
462,14,554
463,14,564
464,14,549
465,14,532
466,14,521
467,14,535
468,14,550
469,14,558
470,14,542
471,14,525
472,14,517
473,14,532
474,14,547
475,14,552
476,14,535
477,14,518
478,14,514
479,14,530
480,14,545
481,14,546
482,14,529
483,14,513
484,14,513
485,14,528
486,14,543
487,14,541
488,14,525
489,14,508
490,14,511
491,14,527
492,14,542
493,14,536
494,14,520
495,14,504
496,14,510
497,14,526
498,14,541
499,14,532
500,15,512
501,15,518
502,15,534
503,15,549
504,15,563
505,15,576
506,15,589
507,15,601
508,15,613
509,15,625
510,15,636
511,15,647
512,15,657
513,15,668
514,15,677
515,15,677
516,15,672
517,15,667
518,15,662
519,15,658
520,15,653
521,15,649
522,15,645
523,15,641
524,15,637
525,15,634
526,15,630
527,15,627
528,15,624
529,15,620
530,15,617
531,15,614
532,15,611
533,15,608
534,15,605
535,15,603
536,15,600
537,15,596
538,15,594
539,15,591
540,15,588
541,15,586
542,15,584
543,15,581
544,15,579
545,15,577
546,15,574
547,15,573
548,15,570
549,15,569
550,15,566
551,15,565
552,15,563
553,15,562
554,15,560
555,15,559
556,15,558
557,15,557
558,15,556
559,15,555
560,15,554
561,15,553
562,15,552
563,15,551
564,15,550
565,15,549
566,15,548
567,15,547
568,15,547
569,15,545
570,15,544
571,15,544
572,15,543
573,15,543
574,15,542
575,15,540
576,15,540
577,15,539
578,15,538
579,15,537
580,15,536
581,15,535
582,15,533
583,15,533
584,15,532
585,15,531
586,15,530
587,15,529
588,15,529
589,15,528
590,15,527
591,15,527
592,15,526
593,15,525
594,15,525
595,15,524
596,15,524
597,15,523
598,15,524
599,15,523
600,16,519
601,16,526
602,16,541
603,16,555
604,16,569
605,16,582
606,16,595
607,16,607
608,16,619
609,16,631
610,16,642
611,16,653
612,16,663
613,16,673
614,16,682
615,16,686
616,16,666
617,16,646
618,16,626
619,16,607
620,16,589
621,16,572
622,16,555
623,16,539
624,16,523
625,16,508
626,16,494
627,16,480
628,16,466
629,16,452
630,16,449
631,16,466
632,16,484
633,16,500
634,16,516
635,16,531
636,16,545
637,16,559
638,16,572
639,16,585
640,16,598
641,16,609
642,16,621
643,16,632
644,16,643
645,16,640
646,16,621
647,16,601
648,16,583
649,16,565
650,16,549
651,16,533
652,16,517
653,16,502
654,16,488
655,16,474
656,16,460
657,16,447
658,16,434
659,16,422
660,16,428
661,16,447
662,16,465
663,16,481
664,16,497
665,16,513
666,16,528
667,16,542
668,16,556
669,16,569
670,16,582
671,16,594
672,16,606
673,16,618
674,16,629
675,16,618
676,16,598
677,16,580
678,16,562
679,16,545
680,16,530
681,16,514
682,16,499
683,16,484
684,16,471
685,16,457
686,16,444
687,16,431
688,16,419
689,16,407
690,16,422
691,16,442
