Time,Frequency,A0
1,10,493
2,10,485
3,10,493
4,10,489
5,10,491
6,10,495
7,10,488
8,10,496
9,10,491
10,10,493
11,10,497
12,10,490
13,10,497
14,10,494
15,10,494
16,10,499
17,10,492
18,10,499
19,10,495
20,10,496
21,10,501
22,10,493
23,10,501
24,10,497
25,10,497
26,10,502
27,10,494
28,10,502
29,10,498
30,10,498
31,10,504
32,10,496
33,10,503
34,10,500
35,10,500
36,10,505
37,10,497
38,10,504
39,10,501
40,10,501
41,10,506
42,10,498
43,10,505
44,10,502
45,10,501
46,10,506
47,10,499
48,10,505
49,10,502
50,10,502
51,10,507
52,10,500
53,10,506
54,10,503
55,10,502
56,10,508
57,10,500
58,10,507
59,10,504
60,10,503
61,10,509
62,10,501
63,10,507
64,10,505
65,10,503
66,10,509
67,10,501
68,10,507
69,10,505
70,10,503
71,10,510
72,10,502
73,10,508
74,10,506
75,10,504
76,10,510
77,10,502
78,10,509
79,10,506
80,10,504
81,10,510
82,10,503
83,10,508
84,10,507
85,10,505
86,10,511
87,10,503
88,10,509
89,10,507
90,10,504
91,10,511
92,10,503
93,10,508
94,10,507
95,10,504
96,10,511
97,10,503
98,10,509
99,10,508
100,11,501
101,11,508
102,11,523
103,11,538
104,11,552
105,11,566
106,11,579
107,11,592
108,11,604
109,11,616
110,11,627
111,11,638
112,11,649
113,11,647
114,11,626
115,11,607
116,11,588
117,11,571
118,11,554
119,11,539
120,11,522
121,11,507
122,11,492
123,11,478
124,11,464
125,11,451
126,11,460
127,11,478
128,11,495
129,11,510
130,11,526
131,11,540
132,11,554
133,11,567
134,11,580
135,11,593
136,11,605
137,11,617
138,11,624
139,11,607
140,11,588
141,11,570
142,11,553
143,11,537
144,11,520
145,11,505
146,11,491
147,11,476
148,11,463
149,11,449
150,11,437
151,11,436
152,11,454
153,11,472
154,11,489
155,11,504
156,11,519
157,11,534
158,11,548
159,11,562
160,11,575
161,11,587
162,11,600
163,11,612
164,11,601
165,11,582
166,11,564
167,11,547
168,11,531
169,11,516
170,11,500
171,11,486
172,11,472
173,11,458
174,11,445
175,11,432
176,11,423
177,11,440
178,11,458
179,11,475
180,11,491
181,11,507
182,11,522
183,11,536
184,11,550
185,11,564
186,11,576
187,11,589
188,11,601
189,11,602
190,11,583
191,11,565
192,11,547
193,11,531
194,11,516
195,11,500
196,11,486
197,11,472
198,11,458
199,11,445
200,12,428
201,12,438
202,12,456
203,12,474
204,12,490
205,12,505
206,12,521
207,12,535
208,12,549
209,12,563
210,12,576
211,12,588
212,12,601
213,12,613
214,12,624
215,12,635
216,12,641
217,12,623
218,12,603
219,12,585
220,12,567
221,12,551
222,12,534
223,12,518
224,12,503
225,12,496
226,12,512
227,12,528
228,12,543
229,12,557
230,12,570
231,12,583
232,12,596
233,12,608
234,12,610
235,12,591
236,12,573
237,12,555
238,12,539
239,12,523
