Time,Frequency,A0
1,10,510
2,10,502
3,10,510
4,10,505
5,10,506
6,10,510
7,10,503
8,10,510
9,10,506
10,10,507
11,10,510
12,10,502
13,10,510
14,10,506
15,10,507
16,10,511
17,10,503
18,10,511
19,10,506
20,10,507
21,10,511
22,10,503
23,10,511
24,10,506
25,10,506
26,10,511
27,10,503
28,10,511
29,10,507
30,10,507
31,10,512
32,10,504
33,10,511
34,10,507
35,10,507
36,10,512
37,10,504
38,10,511
39,10,507
40,10,507
41,10,512
42,10,504
43,10,511
44,10,507
45,10,506
46,10,512
47,10,504
48,10,511
49,10,507
50,10,507
51,10,512
52,10,504
53,10,511
54,10,507
55,10,506
56,10,512
57,10,504
58,10,511
59,10,507
60,10,506
61,10,512
62,10,504
63,10,511
64,10,507
65,10,507
66,10,512
67,10,504
68,10,511
69,10,508
70,10,507
71,10,513
72,10,504
73,10,511
74,10,508
75,10,506
76,10,512
77,10,505
78,10,510
79,10,508
80,10,506
81,10,512
82,10,505
83,10,511
84,10,508
85,10,506
86,10,512
87,10,505
88,10,511
89,10,509
90,10,506
91,10,513
92,10,505
93,10,511
94,10,508
95,10,506
96,10,512
97,10,505
98,10,511
99,10,509
100,11,502
101,11,509
102,11,526
103,11,541
104,11,556
105,11,571
106,11,584
107,11,597
108,11,610
109,11,623
110,11,634
111,11,646
112,11,658
113,11,655
114,11,634
115,11,613
116,11,593
117,11,574
118,11,556
119,11,539
120,11,522
121,11,506
122,11,490
123,11,475
124,11,460
125,11,446
126,11,456
127,11,475
128,11,493
129,11,509
130,11,526
131,11,541
132,11,556
133,11,570
134,11,584
135,11,597
136,11,610
137,11,622
138,11,631
139,11,612
140,11,591
141,11,572
142,11,554
143,11,537
144,11,520
145,11,504
146,11,489
147,11,473
148,11,459
149,11,444
150,11,431
151,11,430
152,11,449
153,11,468
154,11,486
155,11,503
156,11,519
157,11,535
158,11,550
159,11,564
160,11,578
161,11,591
162,11,604
163,11,617
164,11,606
165,11,585
166,11,567
167,11,549
168,11,531
169,11,514
170,11,498
171,11,483
172,11,468
173,11,454
174,11,440
175,11,426
176,11,416
177,11,434
178,11,454
179,11,472
180,11,489
181,11,506
182,11,522
183,11,537
184,11,552
185,11,567
186,11,580
187,11,593
188,11,607
189,11,607
190,11,587
191,11,567
192,11,549
193,11,532
194,11,515
195,11,499
196,11,483
197,11,468
198,11,454
199,11,440
200,12,423
201,12,433
202,12,452
203,12,471
204,12,488
205,12,505
206,12,521
207,12,536
208,12,551
209,12,565
210,12,579
211,12,593
212,12,605
213,12,618
214,12,630
215,12,642
216,12,648
217,12,628
218,12,608
219,12,588
220,12,569
221,12,551
222,12,534
223,12,517
224,12,501
225,12,493
226,12,510
227,12,527
228,12,543
229,12,558
230,12,572
231,12,586
232,12,599
233,12,612
234,12,614
235,12,594
236,12,574
237,12,556
238,12,538
239,12,522
240,12,505
241,12,490
242,12,474
243,12,474
244,12,492
245,12,509
246,12,525
247,12,541
248,12,556
249,12,570
250,12,584
251,12,597
252,12,593
253,12,574
254,12,555
255,12,537
256,12,520
257,12,504
258,12,488
259,12,473
260,12,458
261,12,465
262,12,483
263,12,501
264,12,517
265,12,533
266,12,548
267,12,562
268,12,576
269,12,590
270,12,580
271,12,560
272,12,542
273,12,524
274,12,508
275,12,492
276,12,477
277,12,462
278,12,448
279,12,461
280,12,480
281,12,497
282,12,514
283,12,530
284,12,545
285,12,560
286,12,574
287,12,585
288,12,570
289,12,551
290,12,533
291,12,516
292,12,500
293,12,484
294,12,469
295,12,455
296,12,444
297,12,461
298,12,479
299,12,497
300,13,512
301,13,521
302,13,537
303,13,552
304,13,566
305,13,580
306,13,593
307,13,606
308,13,618
309,13,631
310,13,642
311,13,654
312,13,665
313,13,676
314,13,686
315,13,695
316,13,697
317,13,675
318,13,653
319,13,632
320,13,612
321,13,592
322,13,593
323,13,607
324,13,620
325,13,633
326,13,645
327,13,655
328,13,638
329,13,617
330,13,597
331,13,578
332,13,560
333,13,553
334,13,568
335,13,583
336,13,597
337,13,610
338,13,623
339,13,614
340,13,593
341,13,574
342,13,556
343,13,538
344,13,525
345,13,539
346,13,555
347,13,570
348,13,584
349,13,598
350,13,597
351,13,578
352,13,559
353,13,541
354,13,524
355,13,508
356,13,517
357,13,534
358,13,550
359,13,565
360,13,579
361,13,587
362,13,569
363,13,550
364,13,532
365,13,516
366,13,500
367,13,501
368,13,518
369,13,535
370,13,550
371,13,565
372,13,578
373,13,564
374,13,545
375,13,528
376,13,511
377,13,495
378,13,488
379,13,505
380,13,522
381,13,538
382,13,553
383,13,568
384,13,562
385,13,543
386,13,526
387,13,509
388,13,492
389,13,479
390,13,494
391,13,512
392,13,528
393,13,544
394,13,559
395,13,561
396,13,543
397,13,526
398,13,508
399,13,492
400,14,473
401,14,481
402,14,498
403,14,516
404,14,532
405,14,547
406,14,562
407,14,576
408,14,590
409,14,602
410,14,615
411,14,627
412,14,639
413,14,651
414,14,662
415,14,673
416,14,676
417,14,656
418,14,634
419,14,621
420,14,633
421,14,646
422,14,648
423,14,628
424,14,607
425,14,599
426,14,612
427,14,626
428,14,625
429,14,605
430,14,586
431,14,582
432,14,596
433,14,610
434,14,606
435,14,587
436,14,568
437,14,568
438,14,583
439,14,597
440,14,590
441,14,572
442,14,553
443,14,558
444,14,573
445,14,587
446,14,577
447,14,559
448,14,541
449,14,549
450,14,564
451,14,579
452,14,566
453,14,548
454,14,530
455,14,542
456,14,558
457,14,571
458,14,556
459,14,538
460,14,523
461,14,537
462,14,553
463,14,564
464,14,547
465,14,530
466,14,518
467,14,533
468,14,549
469,14,557
470,14,540
471,14,522
472,14,514
473,14,530
474,14,546
475,14,551
476,14,534
477,14,516
478,14,511
479,14,527
480,14,544
481,14,546
482,14,528
483,14,511
484,14,509
485,14,526
486,14,542
487,14,541
488,14,523
489,14,506
490,14,508
491,14,525
492,14,541
493,14,536
494,14,519
495,14,502
496,14,508
497,14,525
498,14,541
499,14,532
500,15,510
501,15,517
502,15,533
503,15,549
504,15,564
505,15,579
506,15,592
507,15,605
508,15,617
509,15,629
510,15,641
511,15,652
512,15,664
513,15,675
514,15,685
515,15,685
516,15,679
517,15,673
518,15,668
519,15,663
520,15,658
521,15,654
522,15,649
523,15,645
524,15,641
525,15,637
526,15,633
527,15,629
528,15,625
529,15,622
530,15,619
531,15,616
532,15,612
533,15,609
534,15,606
535,15,603
536,15,599
537,15,596
538,15,594
539,15,591
540,15,588
541,15,585
542,15,583
543,15,580
544,15,578
545,15,575
546,15,573
547,15,571
548,15,570
549,15,567
550,15,565
551,15,563
552,15,561
553,15,560
554,15,558
555,15,557
556,15,556
557,15,555
558,15,554
559,15,553
560,15,552
561,15,551
562,15,550
563,15,549
564,15,548
565,15,548
566,15,546
567,15,546
568,15,544
569,15,544
570,15,543
571,15,543
572,15,541
573,15,541
574,15,540
575,15,539
576,15,538
577,15,537
578,15,536
579,15,535
580,15,534
581,15,533
582,15,532
583,15,531
584,15,530
585,15,529
586,15,528
587,15,528
588,15,527
589,15,526
590,15,526
591,15,525
592,15,524
593,15,524
594,15,523
595,15,523
596,15,522
597,15,522
598,15,522
599,15,522
600,16,518
601,16,525
602,16,540
603,16,556
604,16,571
605,16,584
606,16,598
607,16,610
608,16,623
609,16,635
610,16,647
611,16,658
612,16,669
613,16,680
614,16,690
615,16,694
616,16,673
617,16,650
618,16,629
619,16,609
620,16,590
621,16,572
622,16,554
623,16,537
624,16,520
625,16,504
626,16,488
627,16,473
628,16,459
629,16,445
630,16,441
631,16,460
632,16,479
633,16,496
634,16,513
635,16,529
636,16,544
637,16,559
638,16,573
639,16,587
640,16,600
641,16,613
642,16,625
643,16,637
644,16,649
645,16,646
646,16,624
647,16,603
648,16,584
649,16,565
650,16,548
651,16,531
652,16,514
653,16,498
654,16,483
655,16,468
656,16,454
657,16,440
658,16,427
659,16,414
660,16,420
661,16,440
662,16,459
663,16,478
664,16,494
665,16,511
666,16,527
667,16,542
668,16,557
669,16,571
670,16,584
671,16,598
672,16,610
673,16,623
674,16,635
675,16,622
676,16,602
677,16,582
678,16,563
679,16,545
680,16,528
681,16,512
682,16,496
683,16,480
684,16,466
685,16,451
686,16,438
687,16,424
688,16,411
689,16,400
690,16,415
691,16,435
692,16,455
693,16,473
694,16,490
695,16,506
696,16,522
697,16,538
698,16,553
699,16,567
700,17,578
701,17,586
702,17,599
703,17,612
704,17,624
705,17,636
706,17,647
707,17,659
708,17,670
709,17,680
710,17,690
711,17,699
712,17,709
713,17,718
714,17,727
715,17,736
716,17,744
717,17,744
718,17,720
719,17,697
720,17,674
721,17,652
722,17,632
723,17,612
724,17,593
725,17,575
726,17,557
727,17,540
728,17,524
729,17,508
730,17,500
731,17,517
732,17,534
733,17,550
734,17,565
735,17,579
736,17,592
737,17,606
738,17,619
739,17,631
740,17,643
741,17,655
742,17,665
743,17,668
744,17,646
745,17,625
746,17,604
747,17,585
748,17,567
749,17,550
750,17,533
751,17,516
