Time,Frequency,A0,A1
1,40,798,53
2,40,821,48
3,40,841,44
4,40,858,39
5,40,873,35
6,40,887,32
7,40,899,29
8,40,910,26
9,40,920,23
10,40,929,21
11,40,937,19
12,40,945,17
13,40,785,0
14,40,671,0
15,40,593,0
16,40,529,0
17,40,474,0
18,40,426,0
19,40,385,0
20,40,348,0
21,40,315,0
22,40,285,0
23,40,259,0
24,40,235,0
25,40,213,96
26,40,459,135
27,40,521,122
28,40,570,111
29,40,613,100
30,40,651,91
31,40,686,82
32,40,717,76
33,40,745,67
34,40,770,62
35,40,793,56
36,40,814,50
37,40,832,46
38,40,668,0
39,40,561,0
40,40,499,0
41,40,447,0
42,40,402,0
43,40,361,0
44,40,327,0
45,40,296,0
46,40,268,0
47,40,243,0
48,40,220,0
49,40,200,0
50,40,180,114
51,40,432,142
52,40,496,128
53,40,546,116
54,40,592,105
55,40,632,96
56,40,668,87
57,40,701,79
58,40,730,71
59,40,756,65
60,40,781,59
61,40,802,53
62,40,822,48
63,40,648,0
64,40,548,0
65,40,487,0
66,40,436,0
67,40,392,0
68,40,354,0
69,40,320,0
70,40,289,0
71,40,261,0
72,40,237,0
73,40,214,0
74,40,194,0
75,40,176,120
76,40,433,142
77,40,495,128
78,40,545,117
79,40,590,105
80,40,631,96
81,40,667,87
82,40,700,79
83,40,729,72
84,40,756,65
85,40,780,59
86,40,802,54
87,40,821,49
88,40,638,0
89,40,544,0
90,40,484,0
91,40,433,0
92,40,390,0
93,40,351,0
94,40,318,0
95,40,287,0
96,40,260,0
97,40,235,0
98,40,213,0
99,40,192,0
100,41,194,139
101,41,426,143
102,41,485,130
103,41,537,118
104,41,583,107
105,41,624,97
106,41,661,88
107,41,694,80
108,41,724,73
109,41,751,66
110,41,775,60
111,41,798,55
112,41,788,0
113,41,556,0
114,41,493,0
115,41,440,0
116,41,396,0
117,41,357,0
118,41,322,0
119,41,291,0
120,41,263,0
121,41,238,0
122,41,215,0
123,41,195,0
124,41,176,124
125,41,431,142
126,41,493,128
127,41,544,117
128,41,590,106
129,41,630,96
130,41,667,87
131,41,699,79
132,41,729,71
133,41,755,65
134,41,779,59
135,41,801,54
136,41,820,0
137,41,592,0
138,41,520,0
139,41,464,0
140,41,416,0
141,41,374,0
142,41,338,0
143,41,305,0
144,41,275,0
145,41,250,0
146,41,225,0
147,41,204,0
148,41,186,20
149,41,398,145
150,41,478,132
151,41,531,119
152,41,578,108
153,41,619,99
154,41,657,89
155,41,690,80
156,41,721,73
157,41,748,67
158,41,773,61
159,41,795,55
160,41,815,51
161,41,638,0
162,41,540,0
163,41,481,0
164,41,431,0
165,41,387,0
166,41,349,0
167,41,315,0
168,41,285,0
169,41,258,0
170,41,234,0
171,41,211,0
172,41,191,0
173,41,320,144
174,41,458,137
175,41,515,124
176,41,563,111
177,41,606,101
178,41,645,92
179,41,680,83
