Time,Frequency,A0
1,50,340
2,50,340
3,50,340
4,50,340
5,50,339
6,50,339
7,50,339
8,50,339
9,50,340
10,50,339
11,50,0
12,50,0
13,50,0
14,50,0
15,50,0
16,50,0
17,50,0
18,50,0
19,50,0
20,50,0
21,50,340
22,50,339
23,50,340
24,50,339
25,50,339
26,50,339
27,50,339
28,50,339
29,50,339
30,50,339
31,50,0
32,50,0
33,50,0
34,50,0
35,50,0
36,50,0
37,50,0
38,50,0
39,50,0
40,50,0
41,50,340
42,50,340
43,50,339
44,50,339
45,50,340
46,50,339
47,50,339
48,50,339
49,50,339
50,50,339
51,50,0
52,50,0
53,50,0
54,50,0
55,50,0
56,50,0
57,50,0
58,50,0
59,50,0
60,50,0
61,50,339
62,50,340
63,50,339
64,50,339
65,50,339
66,50,339
67,50,339
68,50,339
69,50,339
70,50,339
71,50,0
72,50,0
73,50,0
74,50,0
75,50,0
76,50,0
77,50,0
78,50,0
79,50,0
80,50,0
81,50,340
82,50,340
83,50,339
84,50,339
85,50,339
86,50,339
87,50,339
88,50,339
89,50,340
90,50,339
91,50,0
92,50,0
93,50,0
94,50,0
95,50,0
96,50,0
97,50,0
98,50,0
99,50,0
100,60,342
101,60,340
102,60,339
103,60,339
104,60,339
105,60,339
106,60,0
107,60,0
108,60,0
109,60,0
110,60,0
111,60,0
112,60,0
113,60,0
114,60,340
115,60,340
116,60,339
117,60,339
118,60,339
119,60,339
120,60,340
121,60,339
122,60,0
123,60,0
124,60,0
125,60,0
126,60,0
127,60,0
128,60,0
129,60,0
130,60,0
131,60,339
132,60,339
133,60,339
134,60,340
135,60,339
136,60,339
137,60,339
138,60,339
139,60,0
140,60,0
141,60,0
142,60,0
143,60,0
144,60,0
145,60,0
146,60,0
147,60,340
148,60,340
149,60,340
150,60,339
151,60,339
152,60,339
153,60,339
154,60,340
155,60,0
156,60,0
157,60,0
158,60,0
159,60,0
160,60,0
161,60,0
162,60,0
163,60,0
164,60,340
165,60,339
166,60,340
167,60,339
168,60,340
169,60,339
170,60,339
171,60,340
172,60,0
173,60,0
174,60,0
175,60,0
176,60,0
177,60,0
178,60,0
179,60,0
180,60,341
181,60,340
182,60,339
183,60,340
184,60,340
185,60,339
186,60,338
187,60,340
188,60,339
189,60,0
190,60,0
191,60,0
192,60,0
193,60,0
194,60,0
195,60,0
196,60,0
197,60,340
198,60,339
199,60,340
200,70,341
201,70,339
202,70,339
203,70,338
204,70,339
205,70,339
206,70,339
207,70,0
208,70,0
209,70,0
210,70,0
211,70,0
212,70,0
213,70,0
214,70,340
215,70,340
216,70,340
217,70,339
218,70,339
219,70,338
220,70,339
221,70,339
222,70,0
223,70,0
224,70,0
