Time,Frequency,A0
1,1000,431
2,1000,268
3,1000,164
4,1000,92
5,1000,59
6,1000,35
7,1000,23
8,1000,14
9,1000,9
10,1000,6
11,1000,4
12,1000,3
13,1000,2
14,1000,2
15,1000,2
16,1000,1
17,1000,0
18,1000,0
19,1000,1
20,1000,0
21,1000,0
22,1000,0
23,1000,0
24,1000,0
25,1000,0
26,1000,0
27,1000,0
28,1000,0
29,1000,0
30,1000,0
31,1000,0
32,1000,0
33,1000,0
34,1000,0
35,1000,0
36,1000,0
37,1000,0
38,1000,0
39,1000,0
40,1000,0
41,1000,0
42,1000,0
43,1000,0
44,1000,0
45,1000,0
46,1000,0
47,1000,0
48,1000,54
49,1000,238
50,1000,367
51,1000,470
52,1000,562
53,1000,619
54,1000,660
55,1000,690
56,1000,715
57,1000,729
58,1000,739
59,1000,747
60,1000,752
61,1000,756
62,1000,759
63,1000,761
64,1000,762
65,1000,764
66,1000,764
67,1000,765
68,1000,766
69,1000,766
70,1000,766
71,1000,766
72,1000,767
73,1000,767
74,1000,767
75,1000,767
76,1000,767
77,1000,767
78,1000,767
79,1000,767
80,1000,767
81,1000,768
82,1000,768
83,1000,767
84,1000,768
85,1000,768
86,1000,768
87,1000,768
88,1000,768
89,1000,768
90,1000,768
91,1000,768
92,1000,768
93,1000,768
94,1000,768
95,1000,768
96,1000,768
97,1000,768
98,1000,768
99,1000,768
100,1000,768
101,1000,768
102,1000,768
103,1000,768
104,1000,768
105,1000,768
106,1000,768
107,1000,768
108,1000,768
109,1000,768
110,1000,768
111,1000,768
112,1000,768
113,1000,768
114,1000,768
115,1000,768
116,1000,768
117,1000,768
118,1000,768
119,1000,768
120,1000,768
121,1000,768
122,1000,768
123,1000,768
124,1000,768
125,1000,768
126,1000,768
127,1000,768
128,1000,768
129,1000,768
130,1000,769
131,1000,768
132,1000,769
133,1000,768
134,1000,768
135,1000,768
136,1000,768
137,1000,768
138,1000,768
139,1000,768
140,1000,768
141,1000,768
142,1000,768
143,1000,768
144,1000,768
145,1000,768
146,1000,769
147,1000,768
148,1000,768
149,1000,768
150,1000,768
151,1000,768
152,1000,768
153,1000,768
154,1000,768
155,1000,768
156,1000,768
157,1000,768
158,1000,768
159,1000,768
160,1000,768
161,1000,768
162,1000,768
163,1000,768
164,1000,768
165,1000,768
166,1000,768
167,1000,768
168,1000,768
169,1000,768
170,1000,768
171,1000,769
172,1000,768
173,1000,769
174,1000,768
175,1000,768
176,1000,768
177,1000,768
178,1000,768
179,1000,768
180,1000,768
181,1000,768
182,1000,768
183,1000,768
184,1000,768
185,1000,769
186,1000,768
187,1000,768
188,1000,768
189,1000,769
190,1000,768
191,1000,768
192,1000,768
193,1000,768
194,1000,769
195,1000,768
196,1000,768
197,1000,768
198,1000,768
199,1000,768
200,1000,768
201,1000,769
202,1000,768
203,1000,768
204,1000,768
205,1000,768
206,1000,769
207,1000,769
208,1000,769
209,1000,768
210,1000,768
211,1000,768
212,1000,769
213,1000,768
214,1000,768
215,1000,769
216,1000,769
217,1000,768
218,1000,769
219,1000,768
220,1000,768
221,1000,769
222,1000,768
223,1000,768
224,1000,769
225,1000,768
226,1000,769
227,1000,768
228,1000,768
229,1000,768
230,1000,768
231,1000,769
232,1000,768
233,1000,768
234,1000,769
235,1000,769
236,1000,768
237,1000,768
238,1000,768
239,1000,768
240,1000,768
241,1000,768
242,1000,768
243,1000,769
244,1000,768
245,1000,768
246,1000,769
247,1000,768
248,1000,769
249,1000,768
250,1000,768
251,1000,768
252,1000,768
253,1000,768
254,1000,768
255,1000,768
256,1000,769
257,1000,769
258,1000,768
259,1000,768
260,1000,768
261,1000,769
262,1000,769
263,1000,768
264,1000,768
265,1000,768
266,1000,769
267,1000,768
268,1000,769
269,1000,768
270,1000,768
271,1000,769
272,1000,768
273,1000,768
274,1000,769
275,1000,768
276,1000,768
277,1000,768
278,1000,768
279,1000,768
280,1000,768
281,1000,768
282,1000,769
283,1000,768
284,1000,768
285,1000,768
286,1000,769
287,1000,768
288,1000,769
289,1000,768
290,1000,768
291,1000,768
292,1000,768
293,1000,769
294,1000,768
295,1000,769
296,1000,768
297,1000,768
298,1000,768
299,1000,768
300,1000,768
301,1000,768
302,1000,768
303,1000,768
304,1000,768
305,1000,769
306,1000,769
307,1000,768
308,1000,769
309,1000,768
310,1000,768
311,1000,769
312,1000,768
313,1000,768
314,1000,769
315,1000,768
316,1000,769
317,1000,769
318,1000,768
319,1000,768
320,1000,768
321,1000,768
322,1000,768
323,1000,768
324,1000,768
325,1000,768
326,1000,768
327,1000,768
328,1000,768
329,1000,768
330,1000,768
331,1000,768
332,1000,768
333,1000,769
334,1000,769
335,1000,769
336,1000,769
337,1000,768
338,1000,768
339,1000,768
340,1000,768
341,1000,768
342,1000,769
343,1000,769
344,1000,768
345,1000,769
346,1000,768
347,1000,769
348,1000,769
349,1000,769
350,1000,768
351,1000,768
352,1000,769
353,1000,768
354,1000,769
355,1000,768
356,1000,768
357,1000,768
358,1000,768
359,1000,768
360,1000,768
361,1000,768
362,1000,768
363,1000,769
364,1000,768
365,1000,769
366,1000,769
367,1000,768
368,1000,768
369,1000,768
370,1000,769
371,1000,768
372,1000,768
373,1000,768
374,1000,768
375,1000,769
376,1000,768
377,1000,769
378,1000,769
379,1000,769
380,1000,768
381,1000,769
382,1000,768
383,1000,768
384,1000,769
385,1000,768
386,1000,768
387,1000,768
388,1000,769
389,1000,768
390,1000,768
391,1000,768
392,1000,769
393,1000,769
394,1000,768
395,1000,768
396,1000,769
397,1000,768
398,1000,768
399,1000,768
400,1000,768
401,1000,769
402,1000,768
403,1000,769
404,1000,768
405,1000,768
406,1000,769
407,1000,768
408,1000,769
409,1000,769
410,1000,769
411,1000,768
412,1000,768
413,1000,768
414,1000,768
415,1000,768
416,1000,768
417,1000,769
418,1000,768
419,1000,769
420,1000,768
421,1000,769
422,1000,768
423,1000,768
424,1000,768
425,1000,769
426,1000,768
427,1000,769
428,1000,768
429,1000,769
430,1000,768
431,1000,768
432,1000,769
433,1000,769
434,1000,769
435,1000,768
436,1000,768
437,1000,769
438,1000,768
439,1000,769
440,1000,768
441,1000,769
442,1000,768
443,1000,768
444,1000,769
445,1000,768
446,1000,768
447,1000,769
448,1000,769
449,1000,768
450,1000,768
451,1000,768
452,1000,768
453,1000,768
454,1000,768
455,1000,769
456,1000,768
457,1000,769
458,1000,768
459,1000,769
460,1000,768
461,1000,768
462,1000,768
463,1000,768
464,1000,768
465,1000,768
466,1000,769
467,1000,768
468,1000,768
469,1000,768
470,1000,768
471,1000,768
472,1000,769
473,1000,768
474,1000,769
475,1000,768
476,1000,768
477,1000,674
478,1000,424
479,1000,252
480,1000,147
481,1000,86
482,1000,52
483,1000,33
484,1000,21
485,1000,13
486,1000,9
487,1000,6
488,1000,4
489,1000,3
490,1000,2
491,1000,2
492,1000,1
493,1000,1
494,1000,0
495,1000,1
496,1000,0
497,1000,0
498,1000,0
499,1000,0
500,1000,0
501,1000,0
502,1000,0
503,1000,0
504,1000,0
505,1000,0
506,1000,0
507,1000,0
508,1000,0
509,1000,0
510,1000,0
511,1000,0
512,1000,0
513,1000,0
514,1000,0
515,1000,0
516,1000,0
517,1000,0
518,1000,0
519,1000,0
520,1000,0
521,1000,0
522,1000,0
523,1000,0
524,1000,0
525,1000,0
526,1000,0
527,1000,0
528,1000,0
529,1000,0
530,1000,0
531,1000,0
532,1000,0
533,1000,0
534,1000,0
535,1000,0
536,1000,0
537,1000,0
538,1000,0
539,1000,0
540,1000,0
541,1000,0
542,1000,0
543,1000,0
544,1000,0
545,1000,0
546,1000,0
547,1000,0
548,1000,0
549,1000,0
550,1000,0
551,1000,0
552,1000,0
553,1000,0
554,1000,0
555,1000,0
556,1000,0
557,1000,0
558,1000,0
559,1000,0
560,1000,0
561,1000,0
562,1000,0
563,1000,0
564,1000,0
565,1000,0
566,1000,0
567,1000,0
568,1000,0
569,1000,0
570,1000,0
571,1000,0
572,1000,0
573,1000,0
574,1000,0
575,1000,0
576,1000,0
577,1000,0
578,1000,0
579,1000,0
580,1000,0
581,1000,0
582,1000,0
583,1000,0
584,1000,0
585,1000,0
586,1000,0
587,1000,0
588,1000,0
589,1000,0
590,1000,0
591,1000,0
592,1000,0
593,1000,0
594,1000,0
595,1000,0
596,1000,0
597,1000,0
598,1000,0
599,1000,0
600,1000,0
601,1000,0
602,1000,0
603,1000,0
604,1000,0
605,1000,0
606,1000,0
607,1000,0
608,1000,0
609,1000,0
610,1000,0
611,1000,0
612,1000,0
613,1000,0
614,1000,0
615,1000,0
616,1000,0
617,1000,0
618,1000,0
619,1000,0
620,1000,0
621,1000,0
622,1000,0
623,1000,0
624,1000,0
625,1000,0
626,1000,0
627,1000,0
628,1000,0
629,1000,0
630,1000,0
631,1000,0
632,1000,0
633,1000,0
634,1000,0
635,1000,0
636,1000,0
637,1000,0
638,1000,0
639,1000,0
640,1000,0
641,1000,0
642,1000,0
643,1000,0
644,1000,0
645,1000,0
646,1000,0
647,1000,0
648,1000,0
649,1000,0
650,1000,0
651,1000,0
652,1000,0
653,1000,0
654,1000,0
655,1000,0
656,1000,0
657,1000,0
658,1000,0
659,1000,0
660,1000,0
661,1000,0
662,1000,0
663,1000,0
664,1000,0
665,1000,0
666,1000,0
667,1000,0
668,1000,0
669,1000,0
670,1000,0
671,1000,0
672,1000,0
673,1000,0
674,1000,0
675,1000,0
676,1000,0
677,1000,0
678,1000,0
679,1000,0
680,1000,0
681,1000,0
682,1000,0
683,1000,0
684,1000,0
685,1000,0
686,1000,0
687,1000,0
688,1000,0
689,1000,0
690,1000,0
691,1000,0
692,1000,0
693,1000,0
694,1000,0
695,1000,0
696,1000,0
697,1000,0
698,1000,0
699,1000,0
700,1000,0
701,1000,0
702,1000,0
703,1000,0
704,1000,0
705,1000,0
706,1000,0
707,1000,0
708,1000,0
709,1000,0
710,1000,0
711,1000,0
712,1000,0
713,1000,0
714,1000,0
715,1000,0
716,1000,0
717,1000,0
718,1000,0
719,1000,0
720,1000,0
721,1000,0
722,1000,0
723,1000,0
724,1000,0
