Time,Frequency,A0
1,32,572
2,32,585
3,32,599
4,32,612
5,32,625
6,32,637
7,32,649
8,32,660
9,32,671
10,32,681
11,32,692
12,32,701
13,32,711
14,32,720
15,32,728
16,32,735
17,32,715
18,32,691
19,32,669
20,32,647
21,32,627
22,32,607
23,32,588
24,32,570
25,32,553
26,32,536
27,32,519
28,32,504
29,32,488
30,32,473
31,32,459
32,32,457
33,32,475
34,32,493
35,32,510
36,32,527
37,32,542
38,32,557
39,32,571
40,32,585
41,32,599
42,32,611
43,32,624
44,32,636
45,32,647
46,32,659
47,32,670
48,32,656
49,32,635
50,32,613
51,32,594
52,32,575
53,32,558
54,32,541
55,32,523
56,32,507
57,32,491
58,32,476
59,32,462
60,32,448
61,32,434
62,32,421
63,32,414
64,32,432
65,32,452
66,32,470
67,32,488
68,32,504
69,32,521
70,32,536
71,32,551
72,32,566
73,32,579
74,32,593
75,32,606
76,32,618
77,32,631
78,32,642
79,32,637
80,32,616
81,32,596
82,32,576
83,32,558
84,32,541
85,32,524
86,32,507
87,32,492
88,32,476
89,32,462
90,32,448
91,32,434
92,32,421
93,32,408
94,32,396
95,32,412
96,32,433
97,32,452
98,32,470
99,32,487
100,33,503
101,33,512
102,33,527
103,33,543
104,33,557
105,33,557
106,33,538
107,33,521
108,33,503
109,33,488
110,33,472
111,33,458
112,33,443
113,33,429
114,33,416
115,33,404
116,33,391
117,33,380
118,33,368
119,33,357
120,33,357
121,33,379
122,33,401
123,33,420
124,33,439
125,33,457
126,33,475
127,33,492
128,33,508
129,33,523
130,33,539
131,33,553
132,33,567
133,33,581
134,33,594
135,33,598
136,33,579
137,33,560
138,33,542
139,33,524
140,33,508
141,33,492
142,33,476
143,33,461
144,33,447
145,33,434
146,33,420
147,33,407
148,33,395
149,33,383
150,33,377
151,33,397
152,33,417
153,33,436
154,33,455
155,33,473
156,33,490
157,33,506
158,33,522
159,33,538
160,33,552
161,33,566
162,33,580
163,33,593
164,33,606
165,33,615
166,33,597
167,33,577
168,33,558
169,33,540
170,33,523
171,33,506
172,33,490
173,33,476
174,33,461
175,33,446
176,33,433
177,33,419
178,33,407
179,33,394
180,33,384
181,33,401
182,33,421
183,33,441
184,33,459
185,33,477
186,33,494
187,33,510
188,33,526
189,33,541
190,33,555
191,33,570
192,33,583
193,33,596
194,33,610
195,33,621
196,33,606
197,33,586
198,33,567
199,33,549
200,34,527
201,34,533
202,34,550
203,34,565
204,34,579
205,34,593
206,34,606
207,34,619
208,34,631
209,34,643
210,34,654
211,34,665
212,34,676
213,34,679
214,34,658
215,34,636
216,34,615
217,34,596
218,34,577
219,34,559
220,34,542
221,34,525
222,34,509
223,34,493
224,34,478
225,34,463
226,34,449
227,34,436
228,34,439
229,34,458
230,34,477
231,34,494
232,34,511
233,34,527
234,34,542
235,34,557
