Time,Frequency,A0
1,35,520
2,35,535
3,35,550
4,35,565
5,35,579
6,35,592
7,35,605
8,35,617
9,35,630
10,35,641
11,35,653
12,35,664
13,35,674
14,35,685
15,35,684
16,35,662
17,35,640
18,35,619
19,35,599
20,35,581
21,35,563
22,35,545
23,35,529
24,35,512
25,35,497
26,35,482
27,35,467
28,35,452
29,35,442
30,35,459
31,35,478
32,35,495
33,35,512
34,35,528
35,35,543
36,35,558
37,35,572
38,35,586
39,35,598
40,35,611
41,35,624
42,35,636
43,35,647
44,35,634
45,35,613
46,35,592
47,35,574
48,35,556
49,35,538
50,35,521
51,35,505
52,35,490
53,35,475
54,35,460
55,35,446
56,35,433
57,35,420
58,35,423
59,35,443
60,35,462
61,35,480
62,35,497
63,35,513
64,35,528
65,35,544
66,35,558
67,35,572
68,35,586
69,35,599
70,35,612
71,35,624
72,35,627
73,35,607
74,35,588
75,35,569
76,35,550
77,35,533
78,35,517
79,35,500
80,35,485
81,35,470
82,35,456
83,35,442
84,35,428
85,35,416
86,35,405
87,35,421
88,35,442
89,35,460
90,35,478
91,35,495
92,35,511
93,35,527
94,35,542
95,35,557
96,35,570
97,35,584
98,35,597
99,35,610
100,35,622
101,35,612
102,35,592
103,35,572
104,35,554
105,35,536
106,35,520
107,35,503
108,35,488
109,35,473
110,35,458
111,35,445
112,35,431
113,35,418
114,35,405
115,35,406
116,35,426
117,35,446
118,35,464
119,35,482
120,35,498
121,35,514
122,35,530
123,35,545
124,35,560
125,35,573
126,35,587
127,35,600
128,35,612
129,35,619
130,35,600
131,35,580
132,35,561
133,35,543
134,35,526
135,35,510
136,35,494
137,35,478
138,35,464
139,35,449
140,35,436
141,35,423
142,35,410
143,35,398
144,35,414
145,35,433
146,35,452
147,35,470
148,35,487
149,35,504
150,35,520
151,35,535
152,35,550
153,35,564
154,35,578
155,35,591
156,35,604
157,35,617
158,35,609
159,35,589
160,35,570
161,35,551
162,35,534
163,35,517
164,35,501
165,35,486
166,35,471
167,35,456
168,35,443
169,35,429
170,35,416
171,35,403
172,35,402
173,35,421
174,35,441
175,35,460
176,35,477
177,35,494
178,35,511
179,35,526
180,35,541
181,35,556
182,35,570
183,35,583
184,35,597
185,35,609
186,35,617
187,35,600
188,35,580
189,35,561
190,35,543
191,35,526
192,35,509
193,35,493
194,35,478
195,35,464
196,35,450
197,35,436
198,35,423
199,35,410
200,35,397
201,35,411
202,35,430
203,35,449
204,35,468
205,35,485
206,35,502
207,35,518
208,35,533
209,35,548
210,35,562
211,35,576
212,35,589
213,35,602
214,35,615
215,35,610
216,35,590
217,35,571
218,35,552
219,35,535
220,35,518
221,35,502
222,35,487
223,35,472
224,35,457
225,35,443
226,35,429
227,35,416
228,35,404
229,35,399
230,35,419
231,35,439
232,35,458
233,35,476
234,35,493
235,35,509
236,35,524
237,35,539
238,35,554
239,35,568
240,35,582
241,35,595
242,35,608
243,35,618
244,35,601
245,35,581
246,35,562
247,35,544
248,35,527
249,35,510
250,35,495
251,35,480
252,35,465
253,35,450
254,35,436
255,35,423
256,35,410
257,35,398
258,35,408
259,35,428
260,35,447
261,35,466
262,35,483
263,35,500
264,35,516
265,35,531
266,35,546
267,35,561
268,35,574
269,35,588
270,35,600
271,35,613
272,35,612
273,35,592
274,35,572
275,35,554
276,35,536
277,35,520
278,35,504
279,35,487
280,35,472
281,35,458
282,35,444
283,35,430
284,35,417
285,35,405
286,35,398
287,35,417
288,35,437
289,35,456
290,35,474
291,35,491
292,35,507
293,35,523
294,35,538
295,35,553
296,35,567
297,35,580
298,35,593
299,35,606
300,35,618
301,35,603
302,35,583
303,35,563
304,35,546
305,35,529
306,35,512
307,35,496
308,35,481
309,35,466
310,35,452
311,35,438
312,35,424
313,35,412
314,35,399
315,35,406
316,35,427
317,35,446
318,35,464
319,35,481
320,35,498
321,35,514
322,35,529
323,35,545
324,35,559
325,35,573
326,35,586
327,35,600
328,35,612
329,35,613
330,35,593
331,35,574
332,35,556
333,35,538
334,35,521
335,35,504
336,35,489
337,35,473
338,35,459
339,35,445
340,35,432
341,35,418
342,35,406
343,35,397
344,35,416
345,35,435
346,35,454
347,35,472
348,35,489
349,35,505
350,35,522
351,35,537
352,35,552
353,35,566
354,35,579
355,35,593
356,35,606
357,35,618
358,35,604
359,35,585
360,35,565
361,35,547
362,35,530
363,35,514
364,35,497
365,35,482
366,35,467
367,35,453
368,35,438
369,35,426
370,35,412
371,35,400
372,35,405
373,35,425
374,35,444
375,35,462
376,35,480
377,35,497
378,35,513
379,35,529
380,35,544
381,35,558
382,35,572
383,35,585
384,35,598
385,35,611
386,35,615
387,35,595
388,35,575
389,35,557
390,35,539
391,35,522
392,35,506
393,35,491
394,35,475
395,35,461
396,35,446
397,35,433
398,35,420
399,35,407
400,35,396
401,35,413
402,35,434
403,35,452
404,35,471
405,35,488
406,35,504
407,35,520
408,35,535
409,35,550
410,35,564
411,35,578
412,35,592
413,35,604
414,35,617
415,35,606
416,35,586
417,35,567
418,35,549
419,35,532
420,35,515
421,35,499
422,35,483
423,35,468
424,35,454
425,35,440
426,35,426
427,35,414
428,35,401
429,35,403
430,35,423
431,35,443
432,35,461
433,35,479
434,35,495
435,35,511
436,35,527
437,35,542
438,35,557
439,35,571
440,35,584
441,35,598
442,35,610
443,35,616
444,35,597
445,35,577
446,35,558
447,35,541
448,35,524
449,35,507
450,35,492
451,35,476
452,35,461
453,35,448
454,35,434
455,35,421
456,35,408
457,35,396
458,35,412
459,35,432
460,35,451
461,35,469
462,35,486
463,35,502
464,35,519
465,35,534
466,35,549
467,35,563
468,35,577
469,35,591
470,35,602
471,35,616
472,35,608
473,35,588
474,35,569
475,35,550
476,35,533
477,35,516
