Time,A0
1,1023
2,1023
3,1023
4,1023
5,1023
6,1023
7,1023
8,1023
9,1023
10,1023
11,1023
12,1023
13,1023
14,1023
15,1023
16,1023
17,1023
18,1023
19,1023
20,1023
21,1023
22,1023
23,1023
24,1023
25,1023
26,1023
27,1023
28,1023
29,1023
30,1023
31,1023
32,1023
33,1023
34,1023
35,1023
36,1023
37,1023
38,1023
39,1023
40,1023
41,1023
42,1023
43,1023
44,1023
45,1023
46,1023
47,1023
48,1023
49,1023
50,1023
51,1023
52,1023
53,1023
54,1023
55,1023
56,1023
57,1023
58,1023
59,1023
60,1023
61,1023
62,1023
63,1023
64,1023
65,1023
66,1023
67,1023
68,1023
69,1023
70,1023
71,1023
72,1023
73,1023
74,1023
75,1023
76,1023
77,1023
78,1023
79,1023
80,1023
81,1023
82,1023
83,1023
84,1023
85,1023
86,1023
87,1023
88,1023
89,1023
90,1023
91,1023
92,1023
93,1023
94,1023
95,1023
96,1023
97,1023
98,1023
99,1023
100,1023
101,1023
102,1023
103,1023
104,1023
105,1023
106,1023
107,1023
108,1023
109,1023
110,1023
111,1023
112,1023
113,1023
114,1023
115,1023
116,1023
117,1023
118,1023
119,1023
120,1023
121,1023
122,1023
123,1023
124,1023
125,1023
126,1023
127,1023
128,1023
129,1023
130,1023
131,1023
132,1023
133,1023
134,1023
135,1023
136,1023
137,1023
138,1023
139,1023
140,1023
141,1023
142,1023
143,1023
144,1023
145,1023
146,1023
147,1023
148,1023
149,1023
150,1023
151,1023
152,1023
153,1023
154,1023
155,1023
156,1023
157,1023
158,1023
159,1023
160,1023
161,1023
162,1023
163,1023
164,1023
165,1023
166,1023
167,1023
168,1023
169,1023
170,1023
171,1023
172,1023
173,1023
174,1023
175,1023
176,1023
177,1023
178,1023
179,1023
180,1023
181,1023
182,1023
183,1023
184,1023
185,1023
186,1023
187,1023
188,1023
189,1023
190,1023
191,1023
192,1023
193,1023
194,1023
195,1023
196,1023
197,1023
198,1023
199,1023
200,1023
201,1023
202,1023
203,1023
204,1023
205,1023
206,1023
207,1023
208,1023
209,1023
210,1023
211,1023
212,1023
213,1023
214,1023
215,1023
216,1023
217,1023
218,1023
219,1023
220,1023
221,1023
222,1023
223,1023
