Time,A0,PotValue
1,987,0
2,960,0
3,932,0
4,905,0
5,878,0
6,852,0
7,828,0
8,805,0
9,784,0
10,761,0
11,738,0
12,719,0
13,699,0
14,678,0
15,660,0
16,642,0
17,625,0
18,606,0
19,590,0
20,575,0
21,558,0
22,543,0
23,529,0
24,514,0
25,499,0
26,486,0
27,473,0
28,459,0
29,448,0
30,436,0
31,423,0
32,412,0
33,401,0
34,390,0
35,380,0
36,369,0
37,359,0
38,350,0
39,341,0
40,331,0
41,323,0
42,313,0
43,305,0
44,298,0
45,290,0
46,282,0
47,274,0
48,267,0
49,260,0
50,254,0
51,247,0
52,241,0
53,234,0
54,227,0
55,222,0
56,216,0
57,210,0
58,205,0
59,199,0
60,194,0
61,189,0
62,184,0
63,179,0
64,174,0
65,170,0
66,166,0
67,161,0
68,157,0
69,153,0
70,149,0
71,146,0
72,142,0
73,138,0
74,134,0
75,131,0
76,128,0
77,125,0
78,122,0
79,118,0
80,115,0
81,113,0
82,109,0
83,107,0
84,105,0
85,102,0
86,99,0
87,97,0
88,94,0
89,92,0
90,90,0
91,87,0
92,85,0
93,83,0
94,81,0
95,79,0
96,77,0
97,75,0
98,73,0
99,71,0
100,70,255
101,85,255
102,114,255
103,141,255
104,167,255
105,191,255
106,216,255
107,239,255
108,261,255
109,283,255
110,303,255
111,323,255
112,343,255
113,363,255
114,380,255
115,399,255
116,416,255
117,433,255
118,450,255
119,464,255
120,480,255
121,494,255
122,509,255
123,523,255
124,536,255
125,549,255
126,563,255
127,575,255
128,587,255
129,599,255
130,611,255
131,622,255
132,633,255
133,643,255
134,653,255
135,663,255
136,673,255
137,683,255
138,692,255
139,701,255
140,709,255
141,718,255
142,726,255
143,734,255
144,741,255
145,748,255
146,756,255
147,763,255
148,770,255
149,777,255
150,783,255
151,790,255
152,796,255
153,802,255
154,808,255
155,814,255
156,819,255
157,824,255
158,830,255
159,834,255
160,839,255
161,844,255
162,849,255
163,853,255
164,857,255
165,861,255
166,866,255
167,869,255
168,874,255
169,878,255
170,882,255
171,885,255
172,888,255
173,892,255
174,895,255
175,899,255
176,902,255
