Time,A0
0,238
100,237
200,237
301,238
401,238
501,237
602,238
702,238
802,238
903,238
1003,238
1103,237
1205,238
1305,237
1405,237
1506,237
1606,238
1707,238
1807,238
1907,238
2008,238
2109,238
2209,238
2310,238
2410,237
2510,238
2611,237
2711,238
2811,237
2912,238
3013,238
3113,238
3214,238
3314,238
3415,237
3515,238
3615,238
3716,238
3816,238
3917,238
4018,238
4118,238
4218,237
4319,238
4419,238
4519,238
4620,238
4720,238
4822,237
4922,238
5022,237
5123,237
5223,238
5323,237
5424,237
5524,237
5624,238
5726,238
5826,238
5926,238
6027,237
6127,237
6227,238
6328,238
6428,238
6529,239
6630,241
6730,242
6831,244
6931,246
7031,248
7132,249
7232,251
7332,252
7433,253
7534,255
7634,256
7735,256
7835,257
7936,258
8036,259
8136,260
8237,261
8337,262
8438,263
8539,263
8639,263
8739,264
8840,265
8940,266
9040,266
9141,266
9241,266
9342,267
9443,267
9543,268
9644,268
9744,268
9844,269
9945,269
10045,269
10146,269
10247,270
10347,270
10447,271
10548,271
10648,271
10748,272
10850,272
10950,271
11051,272
11151,273
11251,273
11352,273
11453,273
11553,273
11654,273
11754,273
11854,274
11955,274
12055,274
12156,274
12257,274
12357,274
12457,275
12558,275
12658,276
12760,275
12860,276
12960,276
13061,276
13161,276
13261,276
13362,276
13463,276
13563,277
13664,277
13764,277
13864,277
13965,277
14066,277
14167,277
14267,278
14367,278
14468,277
14568,278
14668,279
14770,278
14870,278
14970,279
15071,278
15171,278
15271,278
15373,279
15473,279
15574,279
15674,279
15774,279
15875,279
15975,279
16076,279
16177,280
16277,280
16377,280
16478,280
16578,280
16679,280
16780,280
16880,281
16980,281
17081,281
17181,281
17282,281
17383,281
17483,281
17584,281
17684,282
17784,282
17885,282
17986,282
18086,282
18187,281
18287,282
18387,282
18488,282
18588,282
18690,282
18790,282
18890,282
18991,282
19091,282
19191,282
19293,282
19393,282
19493,283
19594,283
19694,283
19794,283
19895,283
19996,284
20097,284
20197,284
20297,284
20398,284
20498,284
20599,284
20700,284
20800,285
20900,284
21001,284
21101,285
21201,285
21303,285
21403,285
21504,285
21604,285
21704,285
21805,285
21906,285
22006,286
22107,285
22207,285
22307,285
22408,285
22508,285
22609,285
22710,286
22810,285
22910,285
23011,286
23111,286
23213,286
23313,286
23413,286
23514,286
23614,286
23714,286
23816,285
23916,286
24016,286
24117,286
24217,286
24317,286
24418,286
24519,286
24620,286
24720,287
24820,286
24921,286
25021,286
25122,286
25223,286
25323,286
25423,287
25524,287
25624,287
25724,287
25826,286
25926,287
26027,287
26127,287
26227,287
26328,287
26429,287
26529,287
26630,287
26730,287
26830,287
26931,287
27031,288
27132,287
27233,288
27333,287
27433,287
27534,288
27634,288
27736,287
27836,287
27936,288
28037,288
28137,288
28237,288
28338,288
28439,288
28539,288
28640,288
28740,288
28840,288
28941,288
29042,288
29143,288
29243,288
29343,288
29444,288
29544,289
29645,288
29746,288
29846,288
29946,288
30047,288
30147,288
30247,288
30349,288
30449,288
30550,288
30650,288
30750,288
30851,288
30952,288
31052,289
31153,289
31253,288
31353,288
31454,288
31554,288
31655,288
31756,289
31856,289
31956,288
32057,288
32157,289
32259,289
32359,289
32459,289
32560,289
32660,289
32760,288
32861,289
32962,289
33062,289
33163,289
33263,289
33363,289
33464,289
33565,289
33666,289
33766,289
33866,289
33967,289
34067,289
34167,289
34269,289
34369,289
34469,289
34570,289
34670,289
34770,289
34872,289
34972,289
35073,289
35173,289
35273,289
35374,290
35475,289
35575,289
35676,289
35776,289
35876,289
35977,289
36077,290
36178,289
36279,289
36379,289
36480,290
36580,290
36680,290
36782,289
36882,290
36982,290
37083,290
37183,289
37283,290
37384,290
37485,290
37585,290
37686,290
37786,290
37886,290
37987,290
38088,290
38189,290
38289,290
38389,290
38490,290
38590,290
38691,290
38792,290
38892,290
38992,290
39093,290
39193,290
39293,290
39395,290
39495,290
39596,290
39696,290
39796,291
39897,291
39998,290
40098,290
40199,290
40299,290
40399,290
40500,290
40600,291
40701,290
40802,291
40902,290
41003,290
41103,290
41203,290
41305,290
41405,290
41505,291
41606,290
41706,290
41806,290
41908,291
42008,290
42108,291
42209,290
42309,290
42409,291
42510,290
42611,291
42712,290
42812,290
42912,290
43013,291
43113,290
43214,290
43315,291
43415,290
43515,291
43616,291
43716,290
43816,291
43918,291
44018,290
44119,290
44219,291
44319,291
44420,291
44521,291
44621,290
44722,291
44822,291
44922,291
45023,291
45123,291
45224,291
45325,291
45425,291
45526,290
45626,291
45726,291
45828,291
45928,291
46028,291
46129,291
46229,291
46329,291
46431,291
46531,291
46631,291
46732,291
46832,290
46932,290
47033,289
47134,288
47235,288
47335,287
47435,286
47536,286
47636,285
47737,285
47838,284
47938,284
48038,284
48139,283
48239,283
48339,283
48441,283
48541,282
48642,282
48742,282
48842,281
48943,281
49044,280
49144,281
49245,280
49345,280
49445,280
49546,280
49647,279
49747,279
49848,278
49948,278
50049,278
50149,278
50249,278
50351,277
50451,277
50551,277
50652,277
50752,276
50852,276
50954,277
51054,276
51154,276
51255,276
51355,275
51456,275
51556,275
51657,275
51758,275
51858,275
51958,274
52059,274
52159,275
52260,274
52361,274
52461,273
52561,273
52662,273
52762,273
52864,273
52964,273
53064,273
53165,273
53265,272
53365,272
53466,273
53567,272
53667,272
53768,272
53868,272
53968,272
54069,272
54170,271
54270,271
54371,271
54471,271
54572,271
54672,271
54772,271
54874,271
54974,271
55074,271
55175,271
55275,270
55375,270
55477,271
55577,270
55677,270
55778,271
55878,270
55979,270
56079,270
56180,270
56281,270
56381,269
56481,269
56582,269
56682,269
56783,270
56884,269
56984,269
57084,269
57185,268
57285,268
57387,268
57487,268
57587,268
57688,268
57788,268
57888,268
57989,267
58090,267
58190,268
58291,267
58391,267
58491,267
58592,267
58693,267
58793,267
58894,266
58994,267
59095,267
59195,266
59295,266
59397,266
59497,266
59597,266
59698,266
59798,266
59898,266
60000,266
60100,265
60200,266
60301,265
60401,265
60502,265
60603,265
60703,266
