Time,A0
0,232
100,233
0,233
100,233
200,233
301,233
401,234
501,234
602,236
702,239
802,243
903,247
1003,250
1103,253
1205,255
1305,257
1405,260
1506,261
1606,262
1707,264
1807,265
1907,266
2008,267
2109,267
2209,268
2310,269
2410,270
2510,270
2611,271
2711,271
2811,272
2912,272
3013,273
3113,273
3214,274
3314,274
3415,274
3515,275
3615,275
3716,275
3816,275
3917,276
4018,276
4118,276
4218,277
4319,277
4419,278
4519,277
4620,277
4720,278
4822,278
4922,278
5022,278
5123,278
5223,279
5323,279
5424,279
5524,279
5624,279
5726,280
5826,279
5926,280
6027,280
6127,280
6227,280
6328,280
6428,281
6529,280
6630,281
6730,281
6831,281
6931,281
7031,281
7132,281
7232,281
7332,281
7433,282
7534,282
7634,282
7735,282
7835,282
7936,282
8036,282
8136,282
8237,282
8337,282
8438,283
8539,283
8639,283
8739,283
8840,283
8940,283
9040,283
9141,283
9241,283
9342,283
9443,283
9543,283
9644,283
9744,283
9844,283
9945,284
10045,284
10146,284
10247,284
10347,284
10447,284
10548,284
10648,285
10748,284
10850,284
10950,284
11051,284
11151,285
11251,285
11352,284
11452,284
11553,284
11654,284
11754,284
11854,284
11955,284
12055,284
12156,284
12257,284
12357,284
12457,284
12558,284
12658,285
12759,284
12860,284
12960,284
13061,284
13161,284
13261,284
13362,285
13463,284
13563,285
13664,284
13764,285
13864,284
13965,285
14065,285
14167,285
14267,285
14367,285
14468,285
14568,285
14668,285
14770,285
14870,285
14970,285
15071,285
15171,285
15271,285
15372,285
15473,285
15574,285
15674,285
15774,285
15875,285
15975,286
16076,286
16177,285
16277,286
16377,286
16478,286
16578,286
16678,286
16780,286
16880,286
16980,286
17081,286
17181,286
17282,286
17383,286
17483,286
17584,286
17684,287
17784,286
17885,286
17985,286
18086,286
18187,287
18287,286
18387,286
18488,287
18588,286
18690,286
18790,286
18890,286
18991,287
19091,287
19191,286
19292,286
19393,286
19493,287
19594,287
19694,286
19794,287
19895,286
19996,287
20097,287
20197,287
20297,287
20398,287
20498,287
20599,287
20700,287
20800,286
20900,287
21001,287
21101,287
21201,287
21303,287
21403,287
21504,287
21604,287
21704,287
21805,287
21905,287
22006,288
22107,287
22207,287
22307,287
22408,287
22508,287
22609,287
22710,288
22810,287
22910,287
23011,287
23111,288
23212,288
23313,288
23413,288
23514,288
23614,287
23714,288
23815,287
23916,287
24016,288
24117,288
24217,288
24317,288
24418,287
24519,288
24620,288
24720,288
24820,288
24921,288
25021,288
25121,288
25223,288
25323,288
25423,288
25524,288
25624,288
25724,288
25826,288
25926,288
26027,288
26127,289
26227,288
26328,288
26428,288
26529,288
26630,288
26730,288
26830,288
26931,288
27031,288
27132,288
27233,288
27333,289
27433,288
27534,288
27634,288
27735,288
27836,288
27936,288
28037,288
28137,289
28237,290
28338,290
28439,290
28539,290
28640,290
28740,290
28840,290
28941,290
29042,290
29143,290
29243,290
29343,290
29444,290
29544,290
29644,290
29746,290
29846,290
29946,291
30047,290
30147,290
30247,290
30349,290
30449,291
30550,290
30650,291
30750,290
30851,291
30951,290
31052,290
31153,290
31253,291
31353,291
31454,290
31554,291
31655,291
31756,291
31856,291
31956,291
32057,291
32157,291
32259,291
32359,290
32459,291
32560,291
32660,291
32760,291
32861,291
32962,291
33062,291
33163,291
33263,291
33363,291
33464,291
33565,291
33666,291
33766,290
33866,291
33967,291
34067,290
34167,291
34269,291
34369,291
34469,290
34570,291
34670,291
34770,291
34872,291
34972,290
35073,291
35173,291
35273,291
35374,291
35475,291
35575,291
35676,291
35776,291
35876,291
35977,291
36077,291
36178,291
36279,291
36379,291
36480,291
36580,291
36680,291
36782,291
36882,291
36982,291
37083,291
37183,291
37283,291
37384,291
37485,291
37585,291
37686,291
37786,291
37886,291
37987,291
38088,291
38189,291
38289,291
38389,291
38490,291
38590,291
38690,291
38792,292
38892,291
38992,291
39093,291
39193,291
39293,292
39395,291
39495,291
39596,291
39696,292
39796,291
39897,291
39998,291
40098,292
40199,291
40299,292
40399,291
40500,292
40600,292
40701,292
40802,292
40902,291
41003,292
41103,292
41203,291
41305,292
41405,292
41505,292
41606,292
41706,292
41806,292
41907,292
42008,292
42108,292
42209,292
42309,292
42409,292
42510,291
42611,292
42712,291
42812,291
42912,292
43013,292
43113,292
43213,292
43315,292
43415,291
43515,292
43616,292
43716,291
43816,292
43918,292
44018,292
44119,292
44219,292
44319,291
44420,292
44521,292
44621,292
44722,292
44822,292
44922,292
45023,292
45123,292
45224,291
45325,292
45425,292
45526,291
45626,291
45726,291
45828,292
45928,292
46028,292
46129,291
46229,292
46329,292
46430,291
46531,292
46631,292
46732,292
46832,292
46932,291
47033,292
47134,291
47235,291
47335,292
47435,292
47536,292
47636,291
47737,292
47838,292
47938,291
48038,291
48139,292
48239,292
48339,292
48441,292
48541,291
48642,291
48742,291
48842,291
48943,291
49044,290
49144,290
49245,290
49345,290
49445,290
49546,290
49646,290
49747,290
49848,290
49948,290
50049,290
50149,290
50249,290
50351,290
50451,290
50551,290
50652,290
50752,290
50852,290
50954,290
51054,290
51154,292
51255,292
51355,291
51456,291
51556,292
51657,291
51758,291
51858,291
51958,291
52059,291
52159,291
52260,291
