Time,potValue,thermValue
0,0,225
200,0,224
401,0,224
602,0,224
802,0,225
1002,0,225
1203,0,224
1403,0,224
1604,0,224
1805,0,224
2006,0,224
2206,0,224
2407,0,224
2608,0,224
2808,0,225
3009,0,224
3210,0,224
3410,0,224
3611,0,224
3812,0,224
4013,0,224
4213,0,224
4414,0,224
4615,0,225
4815,0,224
5016,0,224
5217,0,224
5417,9,225
5618,17,224
5819,46,224
6020,84,224
6220,84,224
6421,85,225
6622,101,224
6822,156,225
7023,210,224
7224,251,225
7426,283,226
7626,314,224
7827,348,225
8028,379,225
8228,406,224
8429,437,225
8630,475,225
8830,515,225
9031,539,225
9232,540,225
9433,540,225
9633,540,224
9834,539,225
10035,540,225
10236,540,225
10437,539,225
10638,539,226
10839,540,225
11039,540,226
11240,548,226
11441,573,226
11641,605,226
11842,629,226
12044,647,226
12244,664,226
12445,677,226
12646,691,226
12847,708,226
13047,720,227
13248,728,226
13449,738,227
13649,756,227
13850,775,227
14052,793,227
14253,806,227
14453,817,228
14654,827,227
14855,843,227
15055,857,227
15256,865,229
15457,875,229
15657,885,228
15859,895,229
16060,908,229
16261,923,229
16461,939,229
16662,955,229
16863,977,229
17063,996,229
17264,1007,230
17466,1014,229
17667,1018,230
17867,1023,230
18068,1023,230
18269,1023,230
18469,1023,230
18670,1023,230
18872,1023,230
19073,1023,231
19273,1023,231
19474,1023,231
19675,1023,231
19875,1023,231
20077,1023,231
20278,1023,231
20478,1023,232
20679,1023,232
20880,1023,232
21081,1023,232
21282,1023,232
21483,1023,232
21684,1023,233
21884,1023,233
22085,1023,233
22286,1023,233
22487,1023,233
22688,1023,234
22889,1023,233
23090,1023,233
23290,1023,234
23491,1023,234
23692,1023,234
23894,1023,234
24094,1023,234
24295,1023,234
24496,1023,234
24696,1023,235
24897,1023,235
25099,1023,234
25299,1023,235
25500,1023,235
25701,1023,235
25902,1023,235
26102,1023,235
26303,1023,236
26505,1023,236
26705,1023,236
26906,1023,236
27107,1023,236
27308,1023,236
27508,1023,236
27710,1023,236
27911,1023,236
28111,1023,236
28312,1023,236
28513,1023,237
28713,1023,236
28914,1023,237
29116,1023,237
29317,1023,237
29517,1023,237
29718,1023,238
29919,1023,237
30119,1023,237
30321,1023,238
30522,1023,238
30723,1023,237
30923,1023,238
31124,1023,238
31325,1023,238
31526,1023,238
31727,1023,238
31928,1023,237
32129,1023,238
32329,1023,238
32530,1023,238
32732,1023,238
32932,1023,239
33133,1023,239
33334,1023,239
33534,1023,239
33735,1023,239
33936,1023,238
34138,1023,239
34338,1023,238
34539,1023,239
34740,1023,239
34940,1023,239
35141,1023,239
35343,1023,240
35544,1023,239
35744,1023,239
35945,1023,239
36146,1023,239
36346,1023,240
36548,1023,239
36749,1023,240
36950,1023,239
37150,1023,240
37351,1023,240
37552,1023,240
37752,1023,240
37954,1023,240
38155,1023,240
38355,1023,240
38556,1023,240
38757,1023,241
38958,1023,240
39159,1023,240
39360,1023,240
39561,1023,240
39761,1023,241
39962,1023,240
40163,1023,240
40365,1023,241
40565,1023,240
40766,1023,240
40967,1023,241
41167,1023,241
41368,1023,241
41569,1023,241
41771,1023,241
41971,1023,241
42172,1023,241
42373,1023,241
42573,1023,241
42774,1023,241
42976,1023,241
43176,1023,241
43377,1023,241
43578,1023,241
43779,1023,241
43979,1023,241
44181,1023,241
44382,1023,241
44582,1023,241
44783,1023,241
44984,1023,241
45185,1023,241
45385,1023,241
45587,1023,241
45788,1023,241
45988,1023,241
46189,1023,241
46390,1023,241
46590,1023,241
46792,1023,241
46993,1023,241
47194,1023,242
47394,1023,242
47595,1023,241
47796,1023,242
47997,1023,242
48198,1023,242
48399,1023,242
48600,1023,242
48800,1023,242
49001,1023,241
49202,1023,242
49403,1023,242
49604,1023,242
49805,1023,242
50006,1023,242
50206,1023,242
50407,1023,242
50609,1023,242
50809,1023,242
51010,1023,242
51211,1023,242
51411,1023,242
51612,1023,242
51814,1023,242
52015,1023,242
52215,1023,242
52416,1023,242
52617,1023,242
52817,1023,243
53018,1023,242
53220,1023,242
53421,1023,243
53621,1023,242
53822,1023,243
54023,1023,243
54223,1023,242
54425,1023,243
54626,1023,243
54827,1023,243
55027,1023,243
55228,1023,243
55429,1023,242
55630,1023,243
55831,1023,242
56032,1023,243
56232,1023,242
56433,1023,242
56634,1023,242
56835,1023,242
57036,1023,243
57237,1023,243
