Time,A0
1,341
2,340
3,339
4,339
5,338
6,337
7,336
8,335
9,335
10,335
11,334
12,333
13,334
14,333
15,332
16,331
17,328
18,325
19,323
20,321
21,319
22,316
23,314
24,311
25,309
26,308
27,305
28,304
29,302
30,301
31,300
32,299
33,298
34,296
35,295
36,294
37,293
38,293
39,292
40,291
41,290
42,290
43,289
44,289
45,288
46,287
47,287
48,287
49,285
50,283
51,280
52,278
53,276
54,273
55,272
56,271
57,268
58,267
59,265
60,265
61,263
62,262
63,261
64,261
65,260
66,259
67,258
68,258
69,257
70,256
71,256
72,255
73,256
74,255
75,255
76,254
77,254
78,254
79,253
80,254
81,254
82,253
83,254
84,254
85,254
86,254
87,256
88,256
89,257
90,258
91,258
92,259
93,260
94,260
95,261
96,262
97,266
98,264
99,265
100,265
101,265
102,266
103,266
104,267
105,267
106,268
107,269
108,269
109,269
110,270
111,270
112,270
113,271
114,272
115,272
116,274
117,276
118,278
119,280
120,283
121,285
122,288
123,290
124,293
125,295
126,298
127,299
128,302
129,304
130,306
131,307
132,309
133,311
134,312
135,314
136,315
137,316
138,317
139,318
140,320
141,321
142,321
143,322
144,324
145,324
146,325
147,325
148,326
149,324
150,322
151,319
152,315
153,312
154,309
155,305
156,302
157,300
158,296
159,295
160,292
161,290
162,288
163,286
164,284
165,283
166,282
167,280
168,279
169,278
170,277
171,276
172,274
173,274
174,272
175,272
176,272
177,271
178,270
179,269
180,269
181,269
182,269
183,268
184,268
185,268
186,267
187,267
188,268
189,267
190,267
191,267
192,267
193,267
194,267
195,267
196,267
197,267
198,267
199,267
200,267
201,267
202,267
203,267
204,267
205,266
206,266
207,266
208,267
209,267
210,266
211,267
212,267
213,267
214,266
215,267
216,269
217,271
218,274
219,277
220,280
221,284
222,287
223,291
224,293
225,297
226,300
227,303
228,305
229,308
230,310
231,312
232,315
233,316
234,319
235,321
236,322
237,324
238,326
239,328
240,329
241,331
242,331
243,333
244,334
245,335
246,335
247,336
248,337
249,338
250,338
251,339
252,339
253,340
254,340
255,341
256,341
257,341
258,341
259,341
260,342
261,342
262,342
263,342
264,342
265,343
266,343
267,343
268,343
269,343
270,343
271,343
272,344
273,344
274,344
275,344
276,344
277,344
278,344
279,344
280,344
281,344
282,346
283,349
284,352
285,355
286,358
287,362
288,365
289,369
290,371
291,374
292,377
293,379
294,381
295,383
296,386
297,388
298,390
299,391
300,392
301,394
302,395
303,397
304,397
305,399
306,400
307,400
308,401
309,402
310,404
311,403
312,404
313,405
314,405
315,409
316,417
317,427
318,435
319,445
320,453
321,460
322,467
323,473
324,479
325,482
326,487
327,490
328,493
329,496
330,499
331,501
332,504
333,505
334,507
335,509
336,509
337,511
338,512
339,513
340,514
341,515
342,516
343,516
344,517
345,518
346,518
347,518
348,518
349,516
350,513
351,508
352,503
353,497
354,492
355,486
356,481
357,476
358,471
359,466
360,461
361,457
362,452
363,449
364,445
365,443
366,439
367,436
368,433
369,430
370,428
371,425
372,423
373,421
374,420
375,418
376,416
377,415
378,413
379,413
