Time,A0
0,112
5,118
11,124
16,129
21,124
27,124
32,128
38,129
44,123
50,126
55,132
60,128
66,125
71,129
77,130
82,126
880,118
5,124
11,129
16,134
21,130
27,129
32,134
38,134
44,128
50,132
55,138
60,134
66,131
71,134
77,136
82,132
88,133
94,139
99,135
105,131
110,134
116,139
121,135
131,137
140,136
149,135
158,139
167,132
178,142
187,137
196,137
205,139
215,134
224,141
233,136
243,139
252,139
262,135
271,141
280,135
289,140
299,138
309,137
318,140
327,134
336,143
346,137
355,137
364,139
374,134
384,141
393,135
402,137
411,137
420,134
430,139
440,131
449,137
458,135
467,133
477,138
486,131
495,136
505,132
515,132
524,135
533,130
542,136
551,128
561,131
571,132
580,129
589,135
599,128
608,130
617,129
626,128
636,132
646,126
655,129
664,124
673,128
683,130
692,126
702,129
711,125
720,127
730,128
739,126
748,129
757,125
766,127
777,125
786,126
795,130
804,126
814,128
823,124
832,127
842,130
851,126
861,129
870,125
879,128
888,129
898,127
908,131
917,126
926,129
935,129
945,128
954,133
963,128
973,132
983,128
992,130
1001,134
1011,137
1021,136
1032,133
1043,133
1053,132
1063,131
1074,131
1084,132
1094,135
1105,137
1116,139
1126,141
1136,139
1146,137
1157,136
1168,135
1178,134
1188,136
1199,139
1209,140
1219,142
1229,143
1241,143
1251,141
1261,139
1271,137
1282,136
1292,138
1303,140
1313,141
1324,143
1334,144
1344,145
1354,142
1364,140
1376,138
1386,136
1396,137
1406,139
1417,140
1427,141
1438,142
1448,143
1459,140
1469,138
1479,136
1489,135
1501,133
1511,136
1521,137
1531,138
1542,139
1552,139
1562,137
1573,135
1584,133
1594,132
1604,131
1614,130
1625,133
1636,134
1646,136
1656,134
1667,133
1677,131
1687,130
1697,129
1709,128
1719,127
1729,128
1739,130
1750,133
1760,131
1771,129
1781,128
1792,128
1802,127
1812,127
1822,126
1833,125
1844,129
1854,131
1864,130
1874,129
1885,128
1895,128
1906,128
1916,127
1927,127
1937,126
1947,130
1957,132
1969,133
1979,132
1989,131
1999,131
2010,130
2020,130
2030,129
2041,130
2052,133
2062,135
2072,138
2082,137
2093,136
2104,135
2114,134
2124,133
2135,133
2145,134
2155,137
2166,139
2177,141
2187,143
2197,141
2207,139
2217,138
2228,137
2239,136
2249,138
2259,140
2270,142
2280,143
2290,144
2301,145
2312,142
2322,140
2332,139
2342,137
2353,140
2363,142
2374,143
2384,143
2395,144
2405,146
2415,142
2425,140
2437,139
2447,137
2457,138
2467,140
2478,142
2488,142
2499,143
2509,143
2520,141
2530,139
2540,137
2550,135
2561,133
2572,136
2582,138
2592,139
2603,140
2613,140
2623,137
2634,135
2644,133
2655,132
2665,132
2675,130
2685,134
2696,135
2707,137
2717,135
2727,133
2738,132
2748,131
2758,130
2769,129
2780,128
2790,129
2800,131
2810,135
2821,131
2832,130
2842,129
2852,129
2863,128
2873,128
2883,128
2893,126
2905,130
2915,133
2925,131
2935,130
2946,129
2956,129
2967,129
2977,128
2988,128
2998,128
3008,132
3018,134
3028,134
3040,133
3050,133
3060,132
3070,131
3081,131
3091,131
3102,131
3112,135
3123,137
3133,139
3143,139
3153,137
3165,136
3175,135
3185,134
3195,134
3206,136
3216,138
3226,140
3237,142
3248,143
3258,142
3268,140
3278,139
3289,138
3300,136
3310,139
3320,141
3331,143
3341,144
3351,145
3361,145
3373,143
3383,141
3393,140
3403,138
3414,141
3424,142
3435,144
3445,145
3456,145
3466,147
3476,143
3486,141
3497,140
3508,138
3518,138
3528,141
3538,142
3549,143
3559,144
3570,144
3580,141
3591,139
3601,137
3611,136
3621,134
3633,136
3643,138
3653,139
3663,140
3674,140
3684,137
3694,135
3705,134
3716,133
3726,131
3736,131
3746,134
3757,135
3768,138
3778,135
3788,134
3799,132
3809,131
3819,130
3830,129
3841,129
3851,129
3861,132
3871,135
3881,132
3892,131
3903,130
3913,129
3923,129
3934,129
3944,128
3954,128
3965,131
3976,134
3986,132
3996,132
4006,131
4017,130
4027,130
4038,129
4048,129
4059,128
4069,132
4079,135
4089,135
4101,134
4111,134
4121,133
4131,133
4142,132
4152,132
4163,132
4173,136
4184,138
4194,140
4204,140
4214,138
4225,137
4236,136
4246,135
4256,135
4267,137
4277,139
4287,142
4298,143
4308,145
4319,143
4329,141
4339,140
4349,139
4360,137
4371,140
4381,142
4391,144
4402,145
4412,145
4422,146
4433,144
4444,142
4454,140
4464,139
4474,141
4485,143
4496,144
4506,145
4516,146
4527,147
4537,143
4547,141
4557,140
4569,138
4579,139
4589,141
4599,142
4610,143
4620,144
4631,144
4641,141
4652,139
4662,137
4672,136
4682,135
4692,136
4704,138
4714,140
4724,141
4734,140
4745,137
4755,135
4766,135
4776,133
4787,132
4797,131
4807,133
4817,135
4829,138
4839,135
4849,133
4859,132
4870,131
4880,131
4890,130
4901,129
4912,129
4922,132
4932,135
4942,133
4953,131
4964,130
4974,130
4984,129
4995,129
5005,129
5015,128
5025,131
5037,135
5047,133
5057,132
5067,131
5078,131
5088,130
5099,130
5109,130
5120,129
5130,133
5140,136
5150,137
5161,135
5172,135
5182,133
5192,133
5202,133
5213,133
5223,134
5234,137
5244,139
5255,140
5265,141
5275,139
5285,138
5297,138
5307,136
5317,136
5327,138
5338,141
5348,142
5358,144
5369,145
5380,144
5390,142
5400,140
5410,139
5421,138
5432,141
5442,143
5452,144
5463,146
5473,146
5483,147
5494,144
5505,142
5515,140
5525,139
5535,141
5545,143
5556,144
5567,145
5577,146
5587,147
5598,144
5608,142
5618,140
5629,138
5640,139
5650,141
5660,142
5670,143
5681,144
5691,143
5702,141
5712,139
5723,137
5733,136
5743,135
5753,136
5765,138
5775,140
5785,141
5795,139
5806,137
5816,136
5827,135
5837,133
5848,133
5858,131
5868,134
5878,136
5889,138
5900,135
5910,134
5920,133
5931,132
5941,131
5951,131
5962,130
5972,130
5983,133
5993,136
6003,134
6013,133
6025,132
6035,132
6045,131
6055,131
6066,130
6076,129
6086,133
6097,136
6108,135
6118,134
6128,133
6138,132
6149,132
6160,132
6170,132
6180,131
6191,135
6201,137
6211,139
6221,137
6233,136
6243,136
6253,135
6263,134
6274,134
6284,135
6295,138
6305,140
6316,141
6326,141
6336,139
6346,138
6356,136
6368,136
6378,134
6388,136
6398,138
6409,139
6419,140
6430,140
6440,138
6451,136
6461,133
6471,131
6481,128
6493,130
6503,130
6513,130
6523,130
6534,130
6544,129
6554,125
6565,121
6576,119
6586,115
6596,117
6606,117
6617,117
6628,117
6638,117
6648,118
6659,114
6669,111
6679,109
6689,107
6701,108
6711,109
6721,110
6731,111
6742,112
6752,112
6763,109
6773,107
6784,105
6794,103
6804,102
6814,103
6825,105
6836,107
6846,107
6856,106
6866,104
6877,102
6887,100
6898,99
6907,103
6918,101
6928,100
6938,98
6947,103
6959,101
6969,99
6978,95
6987,98
6996,100
7007,99
7016,95
7026,97
7035,96
7045,96
7054,100
7064,98
7073,94
7083,97
7093,96
7102,96
7111,100
7121,97
7131,94
7140,96
7149,98
7159,96
7169,100
7179,98
7188,95
7197,98
7206,100
7217,102
7228,101
7238,100
7248,99
7258,101
7268,104
7278,103
7288,102
7300,101
7310,100
7320,99
7329,106
7340,105
7350,103
7361,103
7371,102
7382,101
7392,101
7402,104
7412,106
7422,108
7434,109
7444,109
7454,108
7464,105
7475,104
7485,103
7496,104
7506,106
7517,108
7527,109
7537,110
7547,111
7559,109
7569,106
7579,104
7589,103
7600,103
7610,105
7620,107
7631,107
7642,109
7652,109
7662,107
7672,105
7683,103
7694,100
7704,99
7713,106
7724,103
7734,101
7744,99
7753,105
7764,104
7775,101
7785,99
7794,102
7804,103
7815,101
7826,99
7835,98
7844,95
7854,100
7864,99
7873,92
7882,95
7892,96
7902,92
7911,97
7920,90
7929,93
7939,92
7948,91
7958,95
7967,89
7976,92
7986,88
7995,89
8004,93
8013,88
8024,91
8033,86
8042,89
8051,90
8060,88
8070,90
8079,86
8088,88
8098,87
8108,87
8117,90
8126,86
8135,88
8144,84
8154,87
8164,90
8173,86
8182,89
8192,85
8201,88
8210,90
8219,87
8229,90
8239,86
8248,89
8257,89
8266,88
8275,94
8285,88
8295,92
8304,89
8313,90
8323,94
8332,89
8341,95
8350,88
8360,93
8370,95
8379,91
8388,99
8397,90
8407,96
8416,96
8426,94
8435,99
8444,93
8454,99
8463,96
8472,97
8481,100
8493,101
8503,104
8513,100
8523,99
8532,101
8543,102
8553,104
8564,102
8574,100
8585,99
8594,103
8604,104
8614,104
8626,101
8636,99
8645,103
8655,104
8666,105
8676,102
8686,100
8697,98
8707,104
8717,105
8727,101
8737,99
8747,101
8758,102
8768,104
8778,100
8788,98
8798,100
8808,101
8818,103
8829,98
8839,96
8848,95
8857,98
8866,92
8876,97
8885,93
8895,94
8904,95
8913,90
8923,95
8932,87
8941,92
8950,92
8961,89
8970,95
8979,87
8988,90
8997,88
9007,87
9016,91
9026,85
9035,88
9044,83
9054,85
9063,88
9072,84
9081,87
9092,83
9101,84
9110,85
9119,83
9128,86
9138,82
9147,84
9157,82
9166,82
9176,87
9185,82
9194,84
9203,80
9212,83
9223,86
9232,82
9241,85
9250,82
9260,84
9269,85
9278,83
9288,87
9297,83
9307,86
9316,84
9325,85
9334,90
9344,84
9354,89
9363,85
9372,87
9381,90
9391,86
9400,92
9409,85
9419,90
9428,91
9438,88
9447,95
9456,88
9465,93
9475,92
9484,91
9494,96
9503,90
9512,97
9522,93
9531,94
9540,97
9549,92
9560,99
9569,94
9578,97
9587,97
9596,94
9606,100
9616,102
9627,99
9636,98
9646,96
9655,100
9665,101
9675,101
9687,98
9696,99
9705,95
9714,101
9724,103
9735,99
9744,99
9754,96
9763,100
9774,101
9784,99
9793,97
9802,96
9811,99
9822,93
9831,99
9840,95
9849,95
9859,97
9868,92
9877,99
9887,92
9896,95
9906,94
9915,91
9924,96
9933,88
9943,93
9953,91
9962,89
9971,94
9980,87
9990,91
9999,88
10008,89
10018,87
10030,86
10040,85
10050,84
10060,87
10071,90
10081,91
10092,90
10102,88
10113,88
10123,87
10133,87
10143,86
10155,87
10165,88
10175,91
10185,93
10195,91
10206,91
10216,90
10227,90
10237,90
10248,91
10258,91
10268,91
10278,95
10290,99
10300,98
10310,99
10320,98
10331,100
10342,105
10354,101
10365,105
10377,106
10388,107
10399,114
10411,109
10423,114
10434,116
10445,115
10457,123
10468,117
10479,122
10491,125
10503,123
10514,131
10525,126
10536,129
10548,133
10560,129
10571,137
10583,133
10594,135
10605,139
10616,134
10629,142
10640,140
10651,140
10662,145
10674,139
10686,146
10697,145
10708,143
10720,149
10731,144
10742,148
10755,148
10766,145
10777,151
10788,146
10800,148
10811,150
10823,144
10834,151
10846,147
10857,147
10868,149
10880,144
10892,149
10903,146
10914,144
10926,148
10937,142
10948,147
10960,145
10972,143
10983,147
10994,139
11005,143
11018,143
11029,140
11040,145
11052,138
11063,141
11074,142
11086,138
11098,141
11109,136
11120,138
11131,141
11143,136
11155,139
11166,134
11177,137
11189,140
11200,135
11211,137
11224,134
11235,135
11246,139
11257,134
11269,136
11280,135
11292,134
11303,138
11315,134
11326,136
11337,137
11348,135
11361,138
11372,134
11383,136
11395,139
11406,136
11418,139
11429,134
11441,138
11452,141
11463,137
11474,141
11487,138
11498,139
11509,144
11521,138
11532,142
11543,142
11555,141
11567,146
11578,139
11589,144
11600,145
11612,142
11624,148
11635,142
11646,146
11658,147
11669,143
11680,149
11693,145
11704,146
11715,149
11726,144
11738,151
11750,147
11761,147
11772,149
11784,143
11795,151
11806,148
11819,146
11830,150
11841,144
11852,149
11864,147
11875,145
11887,149
11898,144
11910,147
11921,147
11932,143
11943,149
11956,143
11967,145
11978,146
11990,141
12001,148
12012,142
12024,143
12036,144
12047,140
12058,143
12069,140
12081,140
12093,144
12104,138
12115,140
12127,139
12138,138
12150,143
12162,135
12173,138
12184,138
12195,136
12207,139
12219,134
12230,137
12241,137
12253,135
12264,137
12275,134
12288,135
12299,137
12310,134
12321,136
12333,133
12344,135
12356,139
12367,134
12379,137
12390,134
12401,135
12412,140
12425,134
12436,137
12447,137
12459,136
12470,141
12482,135
12493,139
12505,140
12516,138
12527,143
12538,136
12551,141
12562,143
12573,139
12584,145
12596,140
12607,142
12619,145
12631,141
12642,147
12653,144
12664,143
12676,147
12688,142
12699,147
12710,146
12722,144
12733,149
12744,144
12756,148
12768,148
12779,145
12790,150
12802,145
12813,148
12825,149
12836,145
12848,151
12859,147
12870,148
12882,149
12894,144
12905,151
12916,146
12928,146
12939,149
12951,143
12962,149
12974,146
12985,144
12996,148
13007,141
13020,146
13031,145
13042,142
13053,147
13065,139
13076,144
13088,144
13100,140
13111,146
13122,137
13133,142
13145,142
13157,138
13168,141
13179,136
13191,138
13202,141
13214,137
13225,139
13237,136
13248,137
13259,141
13271,135
13283,137
13294,135
13305,135
13317,138
13328,134
13339,136
13351,136
13363,135
13374,138
13385,134
13396,136
13408,137
13420,135
13431,138
13443,134
13454,136
13465,139
13476,136
13489,139
13500,134
13511,137
13522,141
13534,136
13545,140
13557,138
13569,138
13580,144
13591,138
13602,142
13615,142
13626,140
13637,146
13648,138
13660,144
13671,144
13683,141
13694,149
13706,143
13717,145
13728,147
13740,143
13752,150
13763,145
13774,146
13786,149
13797,144
13808,152
13820,147
13832,146
13843,150
13854,143
13865,151
13877,148
13889,146
13900,151
13912,145
13923,149
13934,148
13946,145
13958,150
13969,145
13980,148
13991,149
14003,144
14015,150
14026,144
14038,146
14049,147
14060,142
14071,148
14084,143
14095,143
14106,146
14117,140
14129,144
14140,142
14152,141
14163,144
14175,137
14186,141
14197,140
14209,138
14221,143
14232,136
14243,138
14255,139
14266,136
14277,140
14289,134
14301,136
14312,138
14323,134
14334,137
14347,133
14358,135
14369,138
14381,133
14392,136
14403,132
14415,134
14427,138
14438,133
14449,135
14460,134
14472,134
14484,138
14495,133
14507,136
14518,137
14529,135
14540,139
14553,135
14564,137
14575,140
14586,137
14598,141
14609,135
14621,139
14632,142
14644,138
14655,143
14666,140
14679,141
14690,144
14701,139
14712,145
14724,143
14735,143
14747,147
14758,140
14770,147
14781,146
14792,144
14803,149
14816,143
14827,148
14838,148
14850,144
14861,151
14872,146
14884,148
14896,149
14907,144
14918,151
14929,147
14941,147
14953,150
14964,144
14976,151
14987,147
14998,146
15009,149
15022,142
15033,149
15044,146
15055,144
15067,149
15079,142
15090,147
15101,145
15113,143
15124,148
15135,141
15148,144
15159,145
15170,141
15181,146
15193,139
15204,141
15216,144
15227,139
15239,143
15250,138
15261,138
15272,142
15285,137
15296,140
15307,137
15319,137
15330,143
15341,135
15353,137
15365,137
15376,135
15387,139
15398,134
15410,136
15422,137
15433,135
15444,137
15456,133
15467,136
15479,137
15491,134
15502,137
15513,134
15524,136
15536,139
15548,135
15559,138
15570,134
15582,137
15593,142
15604,135
15617,139
15628,138
15639,138
15650,144
15662,137
15673,141
15685,141
15696,140
15708,147
15719,138
15730,143
15741,144
15754,141
15765,149
15776,142
15788,145
15799,147
15811,143
15822,150
15834,146
15845,147
15856,150
15867,144
15880,151
15891,148
15902,148
15913,151
15925,146
15936,151
15948,150
15960,148
15971,152
15982,147
15993,151
16005,151
16017,147
16028,152
16039,148
16051,149
16062,150
16073,146
16086,152
16097,147
16108,146
16119,148
16131,142
16143,148
16154,143
16165,142
16177,145
16188,138
16199,142
16211,139
16223,136
16234,140
16245,132
16257,135
16268,133
16280,129
16291,133
16303,124
16314,125
16325,125
16336,120
16349,122
16360,116
16371,117
16382,117
16394,113
16405,116
16417,112
16429,113
16440,117
16451,111
16462,113
16474,110
16486,111
16497,115
16508,110
16520,113
16531,112
16543,112
16555,116
16566,112
16577,114
16588,115
16600,113
16612,117
16623,113
16634,116
16646,118
16657,115
16668,119
16680,115
16692,119
16703,122
16714,118
16726,123
16737,120
16749,121
16760,125
16772,120
16783,125
16794,123
16805,123
16818,127
16829,120
16840,126
16851,126
16863,123
16875,129
16886,123
16898,127
16909,128
16920,124
16931,131
16944,126
16955,128
16966,130
16977,126
16989,133
17000,129
17012,130
17024,133
17035,126
17046,135
17057,132
17069,130
17081,135
17092,129
