Time,A0
0,131
5,134
11,137
16,139
21,137
27,137
32,139
38,139
44,136
50,138
55,141
60,138
66,138
71,139
77,140
82,138
88,138
94,141
99,140
105,138
110,139
116,141
121,140
131,140
140,140
149,139
158,141
167,139
178,143
187,140
196,140
205,142
215,139
224,142
233,140
243,141
252,141
262,140
271,142
280,139
289,142
299,141
309,141
318,142
327,139
336,144
346,140
355,140
364,141
374,139
384,142
393,139
402,141
411,141
420,139
430,141
440,137
449,140
458,140
467,138
477,141
486,137
495,140
505,138
515,138
524,139
533,137
542,140
551,135
561,137
571,137
580,136
589,140
599,136
608,137
617,136
626,136
636,138
646,135
655,136
664,134
673,135
683,137
692,134
702,136
711,134
720,135
730,135
739,134
748,136
757,134
766,134
777,134
786,134
795,137
804,134
814,135
823,134
832,135
842,136
851,134
861,135
870,134
879,135
888,136
898,134
908,137
917,134
926,136
935,135
945,135
954,137
963,135
973,137
983,135
992,136
1001,137
1011,139
1021,139
1032,138
1043,137
1053,137
1063,136
1074,136
1084,137
1094,138
1105,140
1116,140
1126,141
1136,140
1146,140
1157,139
1168,139
1178,138
1188,139
1199,141
1209,141
1219,142
1229,142
1241,142
1251,141
1261,141
1271,140
1282,139
1292,140
1303,141
1313,141
1324,142
1334,142
1344,144
1354,142
1364,141
1376,140
1386,139
1396,140
1406,140
1417,141
1427,141
1438,142
1448,143
1459,141
1469,140
1479,139
1489,138
1501,137
1511,139
1521,140
1531,140
1542,141
1552,140
1562,139
1573,138
1584,138
1594,137
1604,136
1614,136
1625,137
1636,138
1646,139
1656,138
1667,137
1677,136
1687,136
1697,136
1709,135
1719,134
1729,135
1739,136
1750,138
1760,136
1771,135
1781,135
1792,134
1802,134
1812,134
1822,134
1833,133
1844,135
1854,137
1864,136
1874,135
1885,135
1895,135
1906,134
1916,134
1927,134
1937,133
1947,135
1957,137
1969,137
1979,137
1989,136
1999,136
2010,135
2020,135
2030,135
2041,135
2052,137
2062,138
2072,139
2082,139
2093,138
2104,138
2114,137
2124,137
2135,137
2145,138
2155,139
2166,140
2177,140
2187,142
2197,141
