Time,Width1,Width5,Width10
100,155,148,143
117,149,150,145
136,148,151,146
153,156,152,148
171,150,151,149
188,149,150,149
206,157,151,151
224,151,152,152
241,149,151,151
260,157,152,151
277,151,153,151
294,149,151,151
312,157,152,151
330,151,153,152
348,149,151,151
365,157,152,152
382,151,153,152
401,149,151,151
418,157,152,152
436,151,153,152
453,149,151,151
472,157,151,152
489,150,152,152
506,149,150,151
525,156,151,151
542,149,152,151
560,148,150,150
577,155,150,151
595,149,151,151
613,147,150,150
630,155,150,150
648,149,151,150
666,147,149,149
684,154,149,150
701,148,150,150
718,147,149,149
737,154,149,149
754,148,150,149
772,147,149,149
789,154,149,149
807,148,150,149
825,146,148,148
842,154,149,149
861,148,150,149
878,146,148,148
896,154,149,149
913,148,150,149
931,147,149,149
949,154,149,149
966,149,150,149
984,148,149,149
1002,155,150,149
1020,151,150,149
1039,148,149,148
1058,145,148,149
1077,151,150,149
1095,157,151,150
1114,154,151,150
1133,150,152,150
1152,148,152,149
1170,147,151,150
1188,154,151,151
1208,160,152,151
1226,154,152,152
1245,151,153,152
1264,148,152,151
1283,151,152,151
1301,156,152,152
1319,158,152,152
1339,153,153,153
1357,150,153,152
1376,146,152,152
1395,153,152,152
1414,158,152,152
1432,156,153,153
1451,152,153,153
1470,148,153,152
1488,148,152,151
1507,155,151,152
1526,159,152,152
1545,153,152,153
1563,149,152,152
1582,146,151,151
1601,150,150,151
1619,155,150,151
1638,155,151,152
1657,151,151,152
1676,147,151,151
1694,144,150,150
1713,150,149,150
1732,155,150,150
1751,152,150,151
1769,149,150,151
1787,146,150,150
1807,145,149,149
1825,151,148,149
1844,157,149,149
1863,151,149,150
1882,147,150,150
1900,144,149,149
1918,148,149,149
1938,153,149,149
1956,154,149,150
1975,150,150,150
1994,147,150,150
2013,144,149,149
2031,150,149,149
2050,156,150,150
2069,154,150,150
2087,150,151,150
2106,147,151,150
2125,147,151,149
2144,154,150,150
2162,159,151,150
2181,153,151,151
2200,150,152,151
2219,147,151,150
2237,151,151,150
2256,156,151,151
2275,158,152,152
2293,153,152,153
2312,149,153,152
2331,146,152,151
2350,153,152,152
2368,158,152,152
2386,156,153,153
2406,152,153,153
2424,149,153,152
2443,148,152,151
2462,155,152,152
2481,160,153,152
2499,154,153,153
2518,151,153,153
2537,147,152,152
2555,150,151,152
2574,156,151,152
2593,157,152,153
2612,152,152,153
2630,149,152,152
2649,145,151,151
2668,151,150,151
2686,156,151,152
2705,154,151,152
2724,149,151,152
2743,147,151,151
2761,145,150,150
2780,152,149,150
2799,157,150,151
2818,151,150,151
2836,147,150,150
2855,145,150,149
2874,147,149,149
2892,154,149,150
2911,154,149,150
2930,150,150,150
2949,147,150,150
2967,144,149,149
2985,150,149,149
3005,155,149,150
3023,153,150,150
3042,149,150,150
3061,146,151,149
3080,146,150,149
3098,153,149,149
3117,158,150,150
3136,152,151,150
3154,149,151,150
3173,146,150,149
3192,150,150,149
3211,155,150,150
3229,157,151,151
3248,152,151,152
3267,149,152,151
3286,146,151,151
3304,152,151,151
3323,158,152,152
3342,156,152,153
3360,152,153,153
3379,149,153,152
3398,148,152,151
3417,155,152,152
3435,160,152,152
3454,155,153,153
3473,151,153,153
3491,148,152,152
3510,151,152,152
3529,156,152,152
3548,158,152,153
3566,152,153,153
3585,149,153,153
3604,146,152,152
3622,152,151,152
3641,157,152,153
3660,155,152,153
3679,150,152,153
3697,147,152,152
3716,147,151,151
3735,153,150,151
3753,158,151,152
3772,152,151,152
3791,149,151,151
3810,145,150,150
3828,148,149,150
3847,154,149,150
3866,154,149,151
3885,150,149,151
3903,147,150,150
3922,144,149,149
3941,149,148,149
3959,155,149,150
3978,152,150,150
3997,149,150,150
4016,145,150,149
4034,145,149,149
4054,152,149,149
4072,157,149,150
4090,151,150,150
4109,148,150,150
4128,145,150,149
4147,149,149,149
4165,155,149,150
4184,155,150,150
4203,151,151,151
4221,148,151,150
