Time,Width1,Width5,Width10
129,142,139,118
146,135,138,127
163,142,139,130
181,142,140,132
199,136,139,134
217,142,138,135
234,143,140,136
251,136,139,137
270,142,139,137
287,143,141,139
305,136,139,138
322,142,139,138
340,143,141,139
358,136,140,139
375,142,139,139
394,143,141,139
411,136,139,139
429,143,139,139
446,143,141,139
464,135,139,139
482,142,139,139
499,142,140,139
517,135,139,139
535,142,138,139
552,141,140,139
570,135,139,139
587,141,138,139
606,141,140,139
623,134,138,139
641,141,138,139
659,141,139,138
676,134,138,138
694,140,137,138
711,141,139,138
730,134,138,138
747,140,137,138
764,140,139,138
782,134,138,138
800,140,137,138
818,141,139,138
835,134,138,137
852,140,137,137
871,141,139,137
888,134,137,137
906,140,137,137
924,141,139,138
942,134,138,138
959,140,137,138
976,141,139,138
995,135,138,138
1012,142,138,138
1031,137,138,137
1049,135,137,137
1069,137,136,137
1087,143,139,138
1105,145,139,138
1125,141,140,138
1143,137,140,138
1162,135,140,138
1180,141,139,138
1200,145,140,138
1218,145,140,139
1236,140,141,139
1255,137,141,138
1274,136,140,139
1293,143,140,140
1311,147,140,140
1331,143,141,141
1349,139,141,140
1368,136,141,140
1386,139,140,140
1405,144,140,140
1424,147,141,141
1442,142,141,141
1462,138,141,141
1480,135,140,140
1499,140,140,140
1517,145,140,141
1537,144,141,141
1555,140,141,141
1573,136,141,140
1593,134,140,140
1611,141,139,140
1630,146,139,141
1648,141,140,141
1668,138,140,140
1686,134,139,139
1704,136,139,139
1724,142,138,140
1742,144,139,140
1761,139,139,140
1779,136,139,139
1799,133,138,138
1817,138,137,138
1836,143,138,139
1854,142,138,139
1873,137,139,139
1892,135,139,138
1910,133,138,138
1930,140,137,138
1948,145,138,138
1967,140,138,139
1985,137,139,138
2004,135,139,138
2023,136,138,138
2041,143,138,138
2061,144,139,139
2079,140,139,139
2098,137,140,138
2116,135,139,138
2136,139,138,138
2154,145,139,139
2172,144,140,139
2192,140,141,139
2210,137,141,139
2229,135,140,139
2247,142,140,139
2267,147,140,140
2285,144,141,140
2304,139,141,140
2323,136,141,139
2341,138,140,139
2360,144,140,140
2378,146,141,141
2398,142,141,141
2416,138,141,140
2435,135,140,140
2453,140,140,140
2472,146,140,141
2491,145,141,141
2509,140,141,141
2529,137,141,140
2547,135,140,140
2566,143,140,140
2584,147,140,141
2604,142,141,141
2622,138,141,141
2640,135,140,140
2660,137,139,140
2678,143,139,140
2697,144,139,140
2715,140,139,140
2735,136,140,140
2753,134,138,139
2771,139,138,139
2791,144,138,139
2809,142,139,140
2828,138,139,139
2846,135,139,139
2866,133,138,138
2884,140,138,138
2903,145,138,139
2922,141,139,139
2940,137,139,139
2959,134,138,138
2977,136,138,138
2997,141,137,138
3015,144,138,139
3034,139,138,139
3052,136,139,138
3072,134,138,137
3090,138,137,138
3108,144,138,138
3128,143,139,139
3146,139,140,139
3165,136,140,138
3183,134,140,138
3203,142,139,138
3221,147,140,139
3239,142,140,139
3259,139,141,139
3277,136,140,139
3296,138,140,139
3314,144,140,139
3334,147,140,140
3352,142,141,140
3371,138,141,140
3390,135,140,139
3408,141,140,140
3427,146,140,140
3445,145,141,141
3465,140,141,141
3483,137,141,140
3502,136,140,140
3521,143,140,140
3539,147,141,141
3558,143,141,141
3576,139,142,141
3596,136,141,140
3614,138,140,140
3633,143,140,141
3651,145,140,141
3671,141,140,141
3689,137,140,140
3707,134,139,140
3727,139,139,140
3745,144,139,140
3764,142,140,141
3782,138,140,140
3802,135,140,140
3820,133,139,139
3838,140,138,139
3858,146,138,140
3876,140,139,140
3895,137,139,139
3913,134,138,138
3933,136,138,138
3951,142,138,139
3970,143,138,139
3989,139,139,139
4007,136,139,138
4026,133,138,138
4044,138,137,138
4064,144,138,138
4082,142,139,139
4101,138,139,139
4120,135,139,138
4139,134,138,138
4157,141,138,138
4175,147,139,139
4195,141,140,139
4213,138,140,139
4232,135,140,138
4250,138,139,138
4270,144,139,139
4288,145,140,139
4306,141,140,139
4326,137,141,139
4344,135,140,139
4363,141,139,139
4381,145,140,140
4401,145,141,140
4419,140,141,140
4438,137,141,140
4457,136,140,139
4475,143,140,140
4494,147,140,141
4512,143,141,141
4532,139,141,141
4550,136,141,140
4569,139,140,140
4588,144,140,141
4606,146,141,141
4625,141,141,141
4643,138,141,141
4663,135,140,140
4681,140,139,140
4700,145,140,141
4719,143,140,141
4738,139,140,141
4756,135,140,140
4774,134,139,139
4794,141,138,140
4812,146,139,140
4831,140,139,140
4849,137,139,140
4869,134,139,139
4887,136,138,139
4905,142,138,139
4925,144,138,139
4943,139,139,139
4962,135,139,139
4980,133,138,138
5000,138,137,138
5018,143,138,138
5037,142,138,139
5056,138,139,139
5074,135,139,138
5093,133,138,138
5111,140,137,138
5131,146,138,138
5149,141,139,139
5168,138,139,138
5187,134,139,138
5206,136,138,138
5224,143,138,138
5242,145,139,139
5262,141,139,139
5280,137,140,138
5299,135,139,138
5318,140,139,138
5337,145,139,139
5355,144,140,140
5373,140,141,140
5393,137,141,139
5411,136,140,139
5430,143,140,139
5448,147,140,140
5468,143,141,141
5486,139,141,140
5505,136,141,140
5524,138,140,140
5542,144,140,140
5561,146,141,141
5579,142,141,141
5599,138,141,140
5617,135,140,140
5636,140,140,140
5655,146,140,141
5673,144,141,141
5692,140,141,141
5710,136,141,140
5730,135,140,140
5748,142,139,140
5767,147,139,141
5786,142,140,141
5805,138,140,140
5823,134,139,140
5841,136,138,139
5861,142,138,140
5879,144,139,140
5898,139,139,140
5917,136,139,139
5936,133,138,139
5954,138,137,139
5972,144,138,139
5992,142,138,139
6010,138,139,139
6029,135,139,138
6047,133,138,138
6067,140,137,138
6085,145,138,139
6104,140,138,139
6123,137,138,138
6141,134,138,138
6160,136,137,137
6178,142,137,138
6198,144,138,138
6216,139,139,139
6235,136,139,138
6254,134,138,138
6273,139,138,138
6291,144,138,138
6309,143,139,139
6329,139,140,139
6347,136,140,138
6366,134,140,138
6385,142,139,139
6404,147,140,139
6422,143,141,140
6440,139,141,140
6460,136,140,139
6478,138,140,139
6497,144,140,140
6516,146,141,140
6535,142,141,140
6553,138,142,140
6572,135,141,139
6591,141,140,140
6609,146,140,140
6628,144,141,141
6646,140,141,141
6666,137,141,140
6684,136,140,140
6703,142,140,140
6722,147,140,141
6740,142,141,141
6759,139,141,140
6777,135,140,140
6797,138,139,140
6815,143,139,140
6834,145,140,140
6853,140,140,140
6872,136,140,140
6890,134,139,139
6908,139,138,139
6928,144,138,140
6946,142,139,140
6965,138,139,140
6984,135,139,139
7003,133,138,139
7021,140,138,139
7040,145,138,139
7059,140,139,139
7077,137,139,139
7096,133,138,138
7115,136,138,138
7134,142,138,138
7152,144,138,139
7171,139,139,139
7190,136,139,138
7208,133,138,137
7227,138,137,138
7245,143,138,138
7265,143,139,139
7283,138,139,138
7302,135,139,138
7321,133,139,138
7340,141,138,138
7358,147,139,139
7376,142,139,139
7396,138,140,139
7414,135,139,138
7433,138,139,138
7452,144,139,139
7471,146,140,140
7489,141,140,140
7507,138,141,139
7527,135,140,139
7545,140,139,139
7564,145,140,140
7583,144,141,140
7602,140,141,140
7620,137,141,140
7639,136,140,139
7658,142,140,140
7676,147,140,140
7695,143,141,141
7714,139,141,140
7733,136,141,140
7751,138,140,140
7770,144,140,140
7789,145,140,141
7808,141,140,141
7826,137,140,140
7844,134,139,140
7864,139,139,140
7882,144,139,140
7901,143,140,141
7920,139,140,140
7939,135,140,139
7957,134,139,139
7975,140,138,139
7995,146,139,139
8013,140,139,140
8032,137,139,139
8051,134,139,138
8070,136,138,138
8088,142,138,139
8107,144,138,139
8126,139,139,139
8144,136,139,138
8163,133,138,138
8182,138,137,138
8201,144,138,138
8219,142,138,139
8238,138,139,138
8257,135,139,138
8275,133,138,138
8294,141,137,138
8313,146,138,138
8332,141,139,139
8350,137,139,138
8369,134,139,138
8388,137,138,138
8407,143,138,138
8425,145,139,139
8443,140,140,139
8463,137,140,139
8481,134,139,138
8500,140,139,139
8519,145,140,139
8538,144,140,140
8556,140,141,140
8574,137,141,139
8594,136,140,139
8612,143,140,140
8631,147,140,140
8650,143,141,141
8669,139,141,140
8687,136,141,140
8706,139,140,140
8725,144,140,140
8743,147,140,141
8762,142,141,141
8781,138,141,140
8800,135,140,140
8818,140,140,140
8837,145,140,141
8856,144,140,141
8875,139,141,141
8893,136,141,140
8912,135,140,140
8931,141,139,140
8949,146,139,140
8968,141,140,141
8987,137,140,140
9006,134,139,139
9024,136,138,139
9042,142,138,139
9062,144,138,140
9080,139,139,140
9099,136,139,139
