Time,A0
5,112
11,115
16,118
21,115
27,115
32,117
38,118
44,114
50,116
55,119
60,117
66,115
71,117
77,119
82,117
89,116
94,120
99,118
105,116
110,117
116,121
121,119
131,119
140,119
149,118
158,120
168,116
178,121
187,119
196,120
205,121
215,118
224,122
233,119
243,120
252,120
262,119
271,122
280,119
289,121
299,120
309,119
318,121
327,117
336,122
346,119
355,119
364,120
374,117
384,121
393,118
402,119
411,119
420,118
430,120
440,116
449,120
458,118
467,117
477,119
486,116
495,119
505,116
515,117
524,118
533,116
542,118
551,114
561,116
571,116
580,115
589,118
599,114
608,116
617,115
626,114
636,117
646,113
655,115
664,112
673,113
683,115
692,113
702,114
711,112
720,113
730,113
739,112
748,114
757,112
768,113
777,112
786,112
795,114
804,112
814,113
823,112
832,113
842,114
851,112
861,114
870,112
879,113
888,114
898,112
908,115
917,112
926,114
935,114
945,114
954,116
963,114
973,115
983,113
992,115
1001,116
1011,118
1021,117
1032,117
1043,115
1053,115
1063,115
1074,115
1084,115
1094,117
1105,118
1116,119
1126,120
1136,119
1146,118
1157,117
1168,117
1178,116
1188,118
1199,119
1209,120
1219,121
1229,121
1241,121
1251,120
1261,119
1271,118
1282,117
1292,119
1303,120
1313,121
1324,121
1334,122
1344,123
1354,121
1364,120
1376,119
1386,118
1396,118
1406,120
1417,120
1427,120
1438,121
1448,122
1459,120
1469,119
1479,118
1489,117
1501,115
1511,118
1521,118
1531,119
1542,119
1552,119
1562,117
1573,117
1584,116
1594,115
1604,115
1614,114
1625,116
1636,117
1646,117
1656,116
1667,115
1677,114
1687,114
1697,114
1709,113
1719,113
1729,113
1739,114
1750,115
1760,114
1771,113
1781,113
1792,113
1802,112
1812,112
1822,112
1833,112
1844,113
1854,115
1864,114
1874,114
1885,113
1895,113
1906,113
1916,113
1927,113
1937,112
1947,114
1957,115
1969,116
1979,115
1989,114
1999,114
2010,114
2020,114
2030,114
2041,114
2052,116
2062,117
2072,118
2082,118
2093,117
2104,116
2114,116
2124,116
2135,116
2145,117
2155,117
2166,119
2177,119
2187,121
2197,120
2207,119
2217,118
2228,117
2239,116
2249,118
2259,119
2270,120
2280,121
2290,121
2301,121
2312,121
2322,120
2332,119
2342,118
2353,120
2364,120
2374,121
2384,121
2395,122
2405,123
2415,121
2425,120
2437,119
2447,118
2457,119
2467,119
2478,120
2488,120
2499,121
2509,121
2520,120
2530,119
2540,118
2550,117
2561,116
2572,117
2582,118
2592,119
2603,119
2613,118
2623,118
2634,117
2644,116
2655,115
2665,115
2675,113
2685,116
2696,116
2707,117
2717,116
2727,116
2738,115
2748,114
2758,114
2769,113
2780,113
2790,113
2800,115
2810,116
2821,115
2832,114
2842,114
2852,113
2863,113
2873,112
2883,112
2893,112
2905,113
2915,115
2925,114
2935,114
2946,113
2956,113
2967,113
2977,113
2988,113
2998,112
3008,114
3018,115
3028,116
3040,115
3050,115
3060,115
3070,114
3081,114
3091,114
3102,114
3112,116
3123,117
3133,118
3143,118
3153,117
3165,117
3175,116
3185,116
3195,116
3206,117
3216,118
3226,119
3237,120
3248,121
3258,120
3268,119
3278,118
3289,118
3300,117
3310,119
3320,119
3331,121
3341,121
3351,122
3361,123
3373,121
3383,120
3393,119
3403,118
3414,120
3424,120
3435,121
3445,122
3456,122
3466,122
3476,121
3486,120
3497,119
3508,118
3518,118
3528,120
3538,120
3549,121
3559,121
3570,121
3580,120
3591,118
3601,117
3611,117
3621,116
3633,117
3643,118
3653,118
3663,119
3674,119
3684,117
3694,117
3705,115
3716,115
3726,115
3736,113
3746,115
3757,116
3768,117
3778,116
3788,115
3799,114
3809,114
3819,114
3830,113
3841,113
3851,113
3861,114
3871,116
3881,115
3892,114
3903,114
3913,113
3923,113
3934,113
3944,112
3954,111
3965,114
3976,116
3986,115
3996,114
4006,114
4017,114
4027,113
4038,113
4048,113
4059,112
4069,114
4079,116
4089,116
4101,116
4111,115
4121,115
4131,115
