Time,A0
13,111
15,112
16,113
18,113
26,113
34,114
43,114
51,115
59,115
67,115
75,116
83,116
93,116
101,116
110,116
119,116
129,116
138,116
147,116
157,116
166,116
176,116
185,117
194,117
203,117
212,117
222,117
232,117
241,118
250,118
260,118
269,118
278,118
287,118
297,118
307,118
316,118
325,118
334,118
344,118
353,118
363,118
372,118
381,118
391,118
400,118
409,117
418,117
429,117
438,117
447,117
456,117
465,117
475,117
484,116
494,116
503,116
513,116
522,116
531,116
540,115
549,115
560,115
569,115
578,115
587,115
596,114
606,114
615,114
625,113
634,113
644,113
653,113
662,113
671,112
680,112
691,112
700,112
709,112
718,112
728,112
737,112
746,111
756,111
765,111
775,111
784,111
793,111
802,111
812,111
822,111
831,111
840,111
849,111
859,111
868,111
877,111
886,111
897,111
906,111
915,111
924,111
933,111
943,111
952,112
962,112
971,112
980,112
990,112
999,112
1008,113
1018,113
1030,113
1040,113
1050,113
1060,114
1071,114
1081,114
1092,114
1102,114
1113,115
1123,115
1133,115
1143,115
1155,116
1165,116
1175,116
1185,116
1196,116
1206,117
1216,117
1227,117
1238,117
1248,117
1258,117
1268,117
1278,117
1290,118
1300,118
1310,118
1320,118
1331,118
1341,118
1351,118
1362,118
1373,118
1383,118
1393,118
1403,118
1414,118
1425,118
1435,118
1445,118
1456,118
1466,117
1476,117
1487,117
1498,117
1508,117
1518,117
1528,117
1539,117
1549,116
1560,116
1570,116
1581,116
1591,115
1601,115
1611,115
1623,115
1633,115
1643,114
1653,114
1664,114
1674,114
1684,113
1695,113
1705,113
1716,113
1726,112
1736,112
1746,112
1758,112
1768,112
1778,111
1788,111
1799,111
1809,111
1820,111
1830,111
1841,111
1851,111
1861,111
1871,111
1882,111
1893,111
1903,111
1913,111
1924,111
1934,111
1944,111
1955,111
1966,111
1976,111
1986,112
1996,112
2007,112
2017,112
2028,112
2038,112
2049,112
2059,113
2069,113
2079,113
2091,113
2101,113
2111,113
2121,114
2131,114
2142,114
2152,114
2163,115
2173,115
2184,115
2194,115
2204,116
2214,116
2226,116
2236,116
2246,116
2256,117
2267,117
2277,117
2288,117
2298,117
2309,117
2319,118
2329,118
2339,118
2350,118
2361,118
2371,118
2381,118
2392,118
2402,118
2412,118
2423,118
2434,118
2444,118
2454,118
