Time,A0
10,70
11,70
13,71
14,71
16,72
17,72
20,72
28,72
35,73
43,73
50,73
57,73
64,73
71,74
78,74
86,74
94,74
101,74
109,74
117,74
125,74
134,74
142,75
150,76
159,77
167,77
176,78
184,78
192,77
200,77
208,76
217,76
226,76
234,76
242,76
250,77
259,77
267,78
275,78
283,78
292,78
301,78
309,77
317,77
325,76
333,76
342,76
350,76
359,77
367,77
375,78
384,78
392,78
400,77
408,77
416,76
425,75
434,74
442,74
450,74
458,75
466,75
475,76
483,76
492,76
500,76
508,75
517,74
525,74
533,73
541,72
549,72
559,72
567,72
575,73
583,73
591,73
600,73
608,73
616,72
625,71
633,71
642,70
650,70
658,70
666,70
674,70
683,70
692,71
700,71
708,70
716,70
724,70
733,69
741,69
749,69
758,69
766,68
775,68
783,69
791,69
799,69
807,70
816,69
825,69
833,69
841,69
849,68
858,68
866,68
874,68
882,68
891,69
900,70
908,70
916,71
924,71
932,70
941,70
949,70
958,70
966,70
974,70
983,70
991,71
999,71
1007,72
1016,72
1027,72
1036,72
1045,72
1054,72
1063,73
1073,73
1082,73
1092,73
1101,73
1111,73
1120,74
1129,74
1138,74
1147,75
1158,75
1167,75
1176,75
1185,76
1195,76
1204,76
1213,76
1223,76
1232,76
1242,76
1251,77
1260,77
1269,77
1278,77
1289,77
1298,77
1307,77
1316,77
1326,77
1335,77
1344,77
1353,77
1363,77
1373,77
1382,77
1391,77
1400,77
1410,77
1419,77
1429,77
1438,77
1447,77
1457,77
1466,76
1475,76
1484,76
1495,75
1504,75
1513,75
1522,75
1531,75
1541,75
1550,74
1560,74
1569,74
1579,74
1588,73
1597,73
1606,73
1615,73
1626,72
1635,72
1644,72
1653,72
1662,72
1672,72
1681,71
1691,71
1700,71
1710,71
1719,70
1728,70
1737,70
1746,70
1757,69
1766,69
1775,69
1784,69
1794,69
1803,69
1812,69
1822,69
1831,69
1841,68
1850,68
1859,68
1868,68
1878,68
1888,68
1897,68
1906,68
1915,69
1925,69
1934,69
1943,69
1952,69
1963,69
1972,69
1981,69
1990,69
1999,69
2009,70
2018,70
2028,71
2037,71
2046,71
2056,71
2065,71
2074,72
2083,72
2094,72
2103,72
2112,73
2121,73
2130,73
2140,73
2149,73
2159,74
2168,74
2178,74
2187,75
2196,75
2205,75
2214,75
2225,75
2234,76
2243,76
2252,76
2262,76
2271,77
2280,77
2290,77
2299,77
2309,77
2318,77
2327,77
2336,77
2345,77
2356,77
2365,78
2374,78
2383,78
2393,78
2402,77
2411,77
2421,77
2430,77
2440,77
2449,77
2458,77
2467,77
2477,77
2487,76
2496,76
2505,76
2514,76
2524,76
2533,76
2542,76
2551,76
2562,75
2571,75
2580,75
2589,75
2598,75
2608,74
2617,74
2627,73
2636,73
2646,73
2655,73
2664,73
