Time,Width1,Width5,Width10
68,162,156,146
84,161,159,150
101,159,161,153
118,168,162,155
137,173,164,158
154,165,165,161
172,172,168,163
189,176,171,166
207,169,172,167
225,176,172,168
242,178,174,170
261,171,174,171
278,177,174,172
295,179,176,174
313,172,176,174
331,177,175,174
349,178,176,175
366,169,175,175
384,175,174,175
402,176,175,175
419,166,173,174
437,171,172,174
454,172,172,174
473,161,170,172
490,166,168,171
507,168,168,171
526,156,165,169
543,160,162,167
561,162,163,167
578,152,160,164
596,155,157,163
614,158,157,162
631,147,155,159
649,150,151,157
667,153,152,156
685,143,150,153
702,145,146,151
719,150,147,150
738,140,145,148
755,143,143,147
773,147,144,146
791,138,143,144
808,142,141,143
826,147,142,143
843,139,141,141
862,142,141,141
879,148,142,142
897,141,142,141
914,145,142,141
932,151,144,142
950,143,145,142
967,149,145,143
985,155,148,144
1003,148,149,145
1021,153,150,147
1040,161,154,149
1059,162,156,150
1078,160,157,152
1096,159,159,153
1115,159,160,154
1134,167,161,157
1153,173,164,159
1171,172,166,161
1189,169,168,163
1209,166,169,164
1227,172,170,165
1246,177,171,167
1265,181,173,169
1284,177,175,171
1302,173,176,172
1320,172,176,172
1340,177,176,173
1358,180,176,174
1377,183,177,176
1396,175,177,176
1415,170,176,175
1433,171,175,175
1452,175,174,175
1471,177,173,175
1489,173,173,175
1508,167,173,174
1527,162,170,172
1546,163,168,171
1564,166,166,170
1583,167,165,169
1602,160,163,168
1620,155,162,166
1639,151,159,163
1658,153,157,161
1677,157,155,160
1695,152,154,158
1714,148,152,157
1733,144,151,154
1752,141,148,152
1770,145,146,151
1788,147,145,149
1808,143,144,148
1826,141,143,147
1845,139,143,145
1864,137,141,144
1883,145,141,143
1901,145,142,143
1920,143,142,143
1939,142,142,143
1957,141,143,142
1976,145,143,142
1995,153,144,143
2014,152,146,144
2032,150,147,145
2051,150,149,145
2070,149,150,146
2088,158,151,148
2107,165,154,150
2126,163,157,152
2145,161,159,154
2163,159,160,155
2182,164,161,156
2201,171,163,159
2220,176,166,161
2238,173,168,163
2257,169,170,165
2276,169,171,166
2294,175,172,167
2313,179,173,169
2332,183,175,171
2351,177,176,173
2369,172,176,173
2387,174,176,173
2407,178,176,174
2425,181,176,176
2444,179,176,176
2463,174,177,176
2482,168,176,176
2500,172,174,175
2519,174,173,175
2538,177,173,175
2556,170,172,174
2575,164,171,173
2594,158,168,171
2613,163,166,169
2631,166,165,169
2650,163,163,168
2669,157,162,166
2688,152,160,164
2706,148,157,161
2725,153,155,160
2744,155,153,158
2762,150,152,157
2781,146,150,155
2800,143,149,152
2819,139,146,150
2837,147,145,149
2856,145,144,148
2875,142,144,147
2893,140,143,146
2912,139,142,144
2931,139,141,143
2950,148,142,143
2968,145,142,142
2987,143,143,142
3006,142,143,142
3024,143,143,142
3043,148,144,143
3062,155,146,144
3081,152,148,145
3099,152,149,146
3118,151,151,146
3137,153,152,148
3155,162,154,150
3174,166,157,152
3193,163,159,154
3212,161,161,155
3230,160,162,156
3249,168,163,158
3268,174,165,161
3287,177,168,163
