Time,Width1,Width5,Width10
155,187,178,171
173,181,179,173
190,178,178,175
208,190,180,177
226,184,183,179
243,180,182,179
262,191,183,180
279,185,185,181
296,181,183,181
314,191,184,183
332,185,186,183
350,180,184,182
367,190,184,183
385,183,185,183
403,177,182,182
420,187,182,182
438,179,182,182
455,174,179,180
474,182,178,180
491,175,178,179
508,170,175,178
527,175,174,177
544,169,173,176
562,164,170,174
579,169,169,173
598,163,168,172
615,160,165,169
632,163,163,168
650,158,163,167
668,156,160,164
686,159,159,163
703,153,158,162
720,152,156,160
739,155,154,159
756,150,154,157
774,150,152,156
792,153,152,155
809,150,152,154
827,149,151,153
844,153,151,153
863,151,151,153
880,151,151,152
898,156,152,152
915,153,153,153
933,154,153,152
951,160,154,153
968,158,156,154
986,158,157,154
1004,165,158,156
1022,164,160,157
1041,163,161,157
1060,161,162,159
1079,170,165,161
1097,177,168,163
1116,176,170,165
1135,174,172,166
1154,171,173,167
1172,176,174,169
1191,182,175,172
1210,187,178,174
1228,184,180,176
1247,180,182,177
1266,179,183,178
1285,185,183,179
1303,188,183,181
1321,192,185,182
1341,186,186,183
1359,181,185,183
1378,181,185,183
1397,186,184,184
1416,188,184,185
1434,187,184,185
1453,180,184,185
1472,175,182,184
1490,177,181,183
1509,180,179,182
1528,183,178,182
1547,176,177,181
1565,170,176,179
1584,165,174,177
1603,167,171,175
1622,172,170,174
1640,168,168,173
1659,163,167,171
1678,158,166,169
1696,156,162,167
1715,158,160,165
1734,161,159,164
1753,156,157,162
1771,153,156,161
1790,151,156,159
1809,149,153,157
1827,154,153,156
1846,154,152,155
1865,152,152,154
1884,150,152,153
1902,149,152,152
1921,150,151,152
1940,159,152,152
1958,157,153,152
1977,155,154,153
1996,155,155,153
2015,154,155,153
2033,161,156,154
2052,169,158,155
2071,166,160,157
2089,164,162,158
2108,164,164,159
2127,166,165,160
2146,175,167,163
2164,180,170,165
2183,177,172,167
2202,174,174,168
2221,172,175,170
2239,179,176,171
2258,185,178,174
2277,189,180,176
2295,184,182,178
2314,179,183,178
2333,182,183,179
2352,187,183,180
2370,190,184,182
2390,190,185,183
2408,184,186,184
2426,178,185,184
2445,183,184,184
2464,186,184,184
2483,188,184,185
2501,183,184,185
2520,178,183,184
2539,172,182,183
2557,177,180,182
2576,180,178,182
2595,179,177,181
2614,172,177,180
2632,168,175,178
2651,162,172,176
2670,168,169,174
2689,171,168,173
2707,165,166,172
2726,160,165,170
2745,157,163,167
2763,152,161,165
2782,159,159,163
2801,158,158,162
2820,155,157,161
2838,152,156,159
2857,150,154,157
2876,149,152,156
2894,158,152,155
2913,153,152,154
2932,152,152,154
2951,150,152,153
2969,149,151,152
2989,153,151,152
3007,160,152,152
3025,157,154,153
3044,157,155,153
3063,156,156,153
3082,156,157,154
3100,165,158,156
3119,169,160,157
3138,167,162,159
3156,165,164,160
3175,164,165,161
3194,171,166,163
3213,178,169,165
3231,181,171,167
3250,177,174,169
3269,175,176,171
3288,176,177,172
3306,182,178,174
3325,187,180,176
3344,188,182,178
3362,183,183,179
3381,178,184,180
3400,184,184,180
3419,188,184,182
3437,191,185,183
3457,188,186,184
3475,182,186,184
3493,179,185,184
3512,183,184,184
3531,186,183,184
3550,189,183,185
3568,180,183,184
3588,175,182,183
3606,173,180,181
3624,177,178,180
3643,180,177,180
3662,175,176,179
3681,170,175,178
3699,164,173,175
3718,163,170,173
3737,167,168,172
3756,168,166,171
3774,162,165,170
3793,157,163,167
3812,154,161,165
3830,154,159,163
3849,160,157,161
3868,156,156,160
3887,152,155,159
3905,151,154,157
3924,148,153,155
3943,152,152,154
3961,155,152,154
3980,153,152,153
3999,151,152,153
4018,150,152,152
4036,150,151,151
4056,157,152,152
4074,160,154,153
4092,159,155,153
4111,157,156,154
4130,156,157,154
4149,161,158,155
4167,169,160,157
4187,170,163,159
4205,168,165,160
4224,166,167,161
4242,166,168,162
4261,174,169,164
4280,180,172,167
4298,181,174,169
4317,177,176,171
4336,175,177,172
4355,179,178,173
4373,185,179,175
4392,189,181,177
4411,186,183,179
4429,182,184,180
4448,180,184,180
4467,185,184,181
4486,189,184,183
4504,191,185,184
4524,185,186,184
4542,180,186,184
4560,180,184,184
4579,184,183,183
4598,186,183,184
4617,184,182,184
4635,177,182,183
4655,172,180,182
4673,173,178,181
4691,176,176,180
4710,179,175,179
4729,171,174,178
4748,166,173,176
4766,162,170,174
4786,163,167,172
4804,167,166,170
4823,164,164,169
4841,159,163,168
4860,155,161,165
4879,152,159,163
4897,155,156,161
4916,158,155,160
4935,154,155,159
4954,151,154,158
4972,149,153,156
4992,148,151,154
5010,154,151,154
5028,155,151,153
5047,152,152,153
5066,151,152,152
5085,151,152,151
5103,152,152,152
5123,161,153,152
5141,160,155,153
5159,159,156,154
