Time,Frequency,A0
1,0,716
2,0,669
3,0,640
4,0,632
5,0,598
6,0,575
7,0,579
8,0,551
9,0,554
10,0,550
11,0,538
12,0,534
13,0,512
14,0,507
15,0,520
16,0,499
17,0,513
18,0,511
19,0,491
20,0,508
21,0,490
22,0,488
23,0,506
24,0,487
25,0,502
26,0,500
27,0,481
28,0,499
29,0,482
30,0,481
31,0,498
32,0,483
33,0,496
34,0,498
35,0,480
36,0,495
37,0,497
38,0,481
39,0,497
40,0,483
41,0,479
42,0,495
43,0,495
44,0,495
45,0,481
46,0,480
47,0,497
48,0,483
49,0,497
50,0,496
51,0,477
52,0,496
53,0,478
54,0,480
55,0,498
56,0,479
57,0,497
58,0,495
59,0,477
60,0,495
61,0,496
62,0,493
63,0,496
64,0,495
65,0,494
66,0,492
67,0,475
68,0,493
69,0,494
70,0,478
71,0,496
72,0,478
73,0,494
74,0,494
75,0,479
76,0,478
77,0,476
78,0,477
79,0,493
80,0,492
81,0,493
82,0,493
83,0,479
84,0,477
85,0,477
86,0,480
87,0,492
88,0,494
89,0,478
90,0,496
91,0,478
92,0,478
93,0,481
94,0,480
95,0,497
96,0,497
97,0,479
98,0,497
99,0,480
100,10,470
101,10,553
102,10,640
103,10,709
104,10,765
105,10,811
106,10,848
107,10,878
108,10,903
109,10,924
110,10,940
111,10,954
112,10,965
113,10,913
114,10,854
115,10,756
116,10,788
117,10,676
118,10,674
119,10,655
120,10,585
121,10,648
122,10,555
123,10,570
124,10,570
125,10,512
126,10,588
127,10,505
128,10,525
129,10,534
130,10,479
131,10,562
132,10,483
133,10,507
134,10,519
135,10,463
136,10,551
137,10,474
138,10,495
139,10,512
140,10,456
141,10,545
142,10,470
143,10,490
144,10,509
145,10,452
146,10,544
147,10,469
148,10,488
149,10,509
150,10,449
151,10,544
152,10,469
153,10,486
154,10,508
155,10,448
156,10,544
157,10,469
158,10,484
159,10,510
160,10,447
161,10,544
162,10,470
163,10,483
164,10,510
165,10,446
166,10,526
167,10,471
168,10,482
169,10,510
170,10,444
171,10,525
172,10,471
173,10,482
174,10,510
175,10,444
176,10,522
177,10,472
178,10,480
179,10,512
180,10,444
181,10,523
182,10,474
183,10,479
184,10,512
185,10,443
186,10,523
187,10,475
188,10,478
189,10,514
190,10,441
191,10,521
192,10,476
193,10,477
194,10,514
195,10,441
196,10,520
197,10,476
198,10,477
199,10,516
200,20,438
201,20,527
202,20,618
203,20,692
204,20,751
205,20,800
206,20,839
207,20,871
208,20,897
209,20,792
210,20,645
211,20,524
212,20,424
213,20,342
214,20,277
215,20,224
