Time,A0
1,1012
2,1012
3,1011
4,0
5,0
6,0
7,0
8,1012
9,1011
10,1012
11,0
12,0
13,0
14,1012
15,1011
16,1012
17,1012
18,1012
19,1012
20,1011
21,1013
22,1011
23,0
24,0
25,0
26,1012
27,1012
28,1012
29,0
30,0
31,0
32,0
33,1012
34,1011
35,1011
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1012
46,1012
47,0
48,0
49,0
50,0
51,1011
52,1012
53,1012
54,0
55,0
56,0
57,0
58,1012
59,1013
60,1012
61,0
62,0
63,0
64,1012
65,1012
66,1013
67,1011
68,0
69,0
70,0
71,1012
72,1012
73,1012
74,0
75,0
76,0
77,0
78,1012
79,1012
80,1011
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1012
91,1011
92,1013
93,0
94,0
95,0
96,0
97,1011
98,1012
99,1012
100,0
101,0
102,0
103,1014
104,1012
105,1012
106,0
107,0
108,0
109,0
110,1012
111,1012
112,1011
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1012
123,1011
124,1012
125,0
126,0
127,0
128,1012
129,1012
130,1012
131,0
132,0
133,0
134,0
135,1012
136,1013
137,1012
138,0
139,0
140,0
141,1012
142,1012
143,1011
144,0
145,0
146,0
147,0
148,1011
149,1012
150,1012
151,0
152,0
153,1012
154,1013
155,1012
156,0
157,0
158,0
159,1012
160,1011
161,1012
162,1012
163,1012
164,1012
165,1012
166,1011
167,0
168,0
169,0
170,0
171,1011
172,1012
173,1011
174,0
175,0
176,0
177,1012
178,1011
179,1011
180,0
181,0
182,0
183,0
184,1012
185,1012
186,1011
187,0
188,0
189,0
190,0
191,1012
192,1011
193,0
194,0
195,0
196,1012
197,1012
198,1012
199,1012
200,1013
201,1012
202,1011
203,1012
204,0
205,0
206,0
207,0
208,1012
209,1012
210,1011
211,0
212,0
213,0
214,1011
215,1012
216,1012
217,0
218,0
219,0
220,0
221,1012
222,1011
223,1012
224,0
225,0
226,0
227,1011
228,1012
229,1012
230,0
231,0
232,0
233,0
234,1013
235,1012
236,1012
237,0
238,0
239,0
240,1012
241,1012
242,1012
243,0
244,0
245,0
246,0
247,1011
248,1012
249,1012
250,0
251,0
252,0
253,1012
254,1011
255,1011
256,0
257,0
258,0
259,0
260,1012
261,1012
262,0
263,0
264,0
265,1011
266,1011
267,0
268,0
269,0
270,1012
271,1011
272,1012
273,1012
274,0
275,0
276,0
277,1011
278,1011
279,1012
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1011
290,1013
291,1012
292,0
293,0
294,0
295,0
296,1011
297,1012
298,0
299,0
300,0
301,0
302,1011
303,1011
304,1011
305,0
306,0
307,0
308,1011
309,1012
310,1012
311,1011
312,1011
313,1012
314,1011
315,1012
316,0
317,0
318,0
319,0
320,1012
321,1011
322,1011
323,0
324,0
325,0
326,0
327,1011
328,1012
329,1013
330,1012
331,1012
332,1012
333,1012
334,0
335,0
336,0
337,0
338,1011
339,1011
340,1012
341,0
342,0
343,0
344,0
345,1011
346,1011
347,1011
348,0
349,0
350,0
351,1013
352,1012
353,0
354,0
355,0
356,0
357,1013
358,1011
359,1012
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1011
370,1013
371,1011
372,0
373,0
374,0
375,0
376,1011
377,1012
378,0
379,0
380,0
381,0
382,1011
383,1012
384,1012
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1012
395,1013
396,1011
397,0
398,0
399,0
400,1012
401,1012
402,1012
403,0
404,0
405,0
406,0
407,1011
408,1011
409,1011
410,0
411,0
412,0
413,0
414,1011
415,1011
416,1011
417,1012
418,1012
419,1013
420,1013
421,0
422,0
423,0
424,0
425,1012
426,1011
427,1012
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1012
438,1011
439,1011
440,0
441,0
442,0
443,1012
