Time,Frequency,A0
1,600,519
2,600,478
3,600,486
4,600,514
5,600,447
6,600,525
7,600,475
8,600,481
9,600,512
10,600,444
11,600,523
12,600,475
13,600,479
14,600,513
15,600,441
16,600,520
17,600,475
18,600,477
19,600,514
20,600,440
21,600,519
22,600,475
23,600,476
24,600,514
25,600,440
26,600,517
27,600,476
28,600,475
29,600,515
30,600,439
31,600,517
32,600,477
33,600,474
34,600,516
35,600,438
36,600,515
37,600,479
38,600,475
39,600,518
40,600,438
41,600,515
42,600,480
43,600,473
44,600,518
45,600,437
46,600,513
47,600,481
48,600,472
49,600,519
50,600,436
51,600,512
52,600,482
53,600,471
54,600,519
55,600,435
56,600,510
57,600,482
58,600,471
59,600,521
60,600,435
61,600,510
62,600,484
63,600,469
64,600,522
65,600,433
66,600,509
67,600,485
68,600,469
69,600,522
70,600,432
71,600,508
72,600,485
73,600,467
74,600,522
75,600,431
76,600,506
77,600,486
78,600,466
79,600,524
80,600,430
81,600,505
82,600,487
83,600,465
84,600,525
85,600,429
86,600,504
87,600,488
88,600,464
89,600,525
90,600,429
91,600,503
92,600,489
93,600,463
94,600,526
95,600,442
96,600,502
97,600,490
98,600,462
99,600,527
100,600,446
101,600,501
102,600,489
103,600,461
104,600,527
105,600,449
106,600,501
107,600,491
108,600,461
109,600,528
110,600,448
111,600,499
112,600,492
113,600,459
114,600,529
115,600,448
116,600,497
117,600,492
118,600,458
119,600,529
120,600,451
121,600,497
122,600,494
123,600,459
124,600,531
125,600,452
126,600,496
127,600,495
128,600,457
129,600,531
130,600,451
131,600,494
132,600,494
133,600,455
134,600,531
135,600,454
136,600,494
137,600,496
138,600,456
139,600,534
140,600,455
141,600,493
142,600,497
143,600,455
144,600,534
145,600,457
146,600,493
147,600,499
148,600,454
149,600,535
150,600,457
151,600,491
152,600,499
153,600,453
154,600,535
155,600,460
156,600,491
157,600,501
158,600,453
159,600,537
160,600,460
161,600,489
162,600,502
163,600,451
164,600,537
165,600,462
166,600,489
167,600,503
168,600,451
169,600,539
170,600,462
171,600,487
172,600,504
173,600,449
174,600,539
175,600,463
176,600,486
177,600,505
178,600,450
179,600,540
180,600,464
181,600,485
182,600,505
183,600,448
184,600,540
185,600,466
186,600,485
187,600,506
188,600,448
189,600,542
190,600,466
191,600,483
192,600,506
193,600,446
194,600,542
195,600,469
196,600,483
197,600,508
198,600,446
199,600,529
200,600,468
201,600,481
202,600,509
203,600,446
204,600,525
205,600,469
206,600,481
207,600,510
208,600,444
209,600,524
210,600,470
211,600,480
212,600,510
213,600,443
214,600,522
215,600,471
216,600,479
217,600,512
218,600,442
219,600,523
220,600,474
221,600,481
222,600,513
223,600,443
224,600,521
225,600,474
226,600,479
227,600,514
228,600,442
229,600,521
230,600,477
231,600,478
232,600,515
233,600,442
234,600,519
235,600,477
236,600,477
237,600,516
238,600,441
239,600,520
240,600,479
241,600,476
242,600,517
243,600,439
244,600,517
245,600,479
246,600,475
247,600,517
248,600,438
249,600,515
250,600,479
251,600,473
252,600,517
253,600,436
254,600,514
255,600,480
256,600,471
257,600,518
258,600,436
259,600,512
260,600,482
261,600,471
262,600,519
263,600,435
264,600,512
265,600,482
266,600,470
267,600,520
268,600,433
269,600,511
270,600,483
271,600,469
272,600,521
273,600,434
274,600,509
275,600,483
276,600,468
277,600,521
278,600,432
279,600,509
280,600,486
281,600,467
282,600,522
283,600,431
284,600,507
285,600,486
286,600,467
287,600,523
288,600,431
289,600,505
290,600,486
291,600,465
292,600,524
293,600,429
294,600,505
295,600,488
296,600,465
297,600,525
298,600,429
299,600,503
300,600,488
301,600,464
302,600,525
303,600,442
304,600,503
305,600,490
306,600,464
307,600,527
308,600,442
309,600,501
310,600,489
311,600,461
312,600,527
313,600,448
314,600,500
315,600,491
316,600,461
317,600,528
318,600,450
319,600,498
320,600,492
321,600,459
322,600,529
323,600,449
324,600,498
325,600,492
326,600,459
327,600,529
328,600,452
329,600,497
330,600,492
331,600,457
332,600,530
333,600,452
334,600,497
335,600,495
336,600,459
337,600,532
338,600,453
339,600,495
340,600,494
341,600,456
342,600,532
343,600,455
344,600,495
345,600,496
346,600,456
347,600,533
348,600,455
349,600,493
350,600,497
351,600,454
352,600,533
353,600,457
354,600,493
355,600,499
356,600,454
357,600,535
358,600,457
359,600,491
360,600,499
361,600,453
362,600,535
363,600,460
364,600,491
365,600,501
366,600,453
367,600,537
368,600,459
369,600,489
370,600,501
371,600,451
372,600,537
373,600,462
374,600,489
375,600,503
376,600,451
377,600,539
378,600,462
379,600,487
380,600,503
381,600,450
382,600,539
383,600,464
384,600,486
385,600,504
386,600,449
387,600,540
388,600,464
389,600,485
390,600,504
391,600,448
392,600,540
393,600,466
394,600,485
395,600,507
396,600,448
397,600,542
398,600,466
399,600,483
400,600,506
401,600,446
402,600,542
403,600,468
404,600,483
405,600,509
406,600,446
407,600,529
408,600,469
409,600,482
410,600,508
411,600,444
412,600,529
413,600,470
414,600,482
415,600,510
416,600,445
417,600,524
418,600,470
419,600,480
420,600,510
421,600,443
422,600,522
423,600,472
424,600,480
425,600,512
426,600,443
427,600,523
428,600,474
429,600,479
430,600,513
431,600,443
432,600,520
433,600,473
434,600,479
435,600,514
436,600,442
437,600,521
438,600,476
439,600,478
440,600,515
441,600,443
442,600,519
443,600,477
444,600,477
445,600,516
446,600,441
447,600,518
448,600,478
449,600,476
450,600,516
451,600,439
452,600,517
453,600,479
454,600,474
455,600,516
456,600,438
457,600,516
458,600,480
459,600,474
460,600,518
461,600,437
462,600,513
463,600,480
464,600,472
465,600,519
466,600,436
467,600,513
468,600,482
469,600,472
470,600,520
471,600,436
472,600,510
473,600,481
474,600,470
475,600,520
476,600,434
477,600,511
478,600,484
479,600,470
480,600,521
481,600,433
482,600,508
483,600,483
484,600,468
485,600,521
486,600,432
