Time,A0
1,0
2,0
3,0
4,343
5,343
6,344
7,343
8,343
9,342
10,343
11,342
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,344
21,344
22,344
23,343
24,343
25,343
26,342
27,342
28,344
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,343
38,343
39,343
40,342
41,342
42,343
43,342
44,342
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,346
54,343
55,343
56,342
57,342
58,342
59,342
60,343
61,342
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,343
71,343
72,342
73,342
74,343
75,343
76,342
77,342
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,343
88,343
89,342
90,343
91,343
92,342
93,342
94,342
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,344
104,343
105,343
106,342
107,342
108,342
109,343
110,342
111,343
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,343
121,342
122,342
123,342
124,342
125,342
126,342
127,342
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,343
138,342
139,342
140,342
141,342
142,342
143,342
144,342
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,343
154,343
155,342
156,342
157,342
158,343
159,343
160,342
161,342
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,343
171,343
172,343
173,343
174,342
175,342
176,342
177,342
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,343
188,342
189,343
190,342
191,343
192,342
193,342
194,342
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,343
204,343
205,342
206,342
207,343
208,342
209,342
210,342
211,344
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,342
221,342
222,343
223,343
224,342
225,342
226,342
227,342
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,342
238,343
239,343
240,343
241,342
242,342
243,343
244,342
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,343
254,342
255,342
256,342
257,342
258,342
259,342
260,342
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,343
271,342
272,342
273,342
274,342
275,342
276,342
277,342
278,0
279,0
280,0
