Time,Frequency,A0
1,60,368
2,60,474
3,60,570
4,60,649
5,60,715
6,60,768
7,60,813
8,60,849
9,60,772
10,60,625
11,60,506
12,60,408
13,60,330
14,60,265
15,60,214
16,60,172
17,60,179
18,60,332
19,60,453
20,60,554
21,60,636
22,60,704
23,60,760
24,60,805
25,60,843
26,60,701
27,60,567
28,60,457
29,60,370
30,60,298
31,60,241
32,60,194
33,60,156
34,60,235
35,60,376
36,60,489
37,60,584
38,60,661
39,60,725
40,60,777
41,60,820
42,60,803
43,60,649
44,60,524
45,60,425
46,60,342
47,60,277
48,60,222
49,60,180
50,60,145
51,60,290
52,60,419
53,60,526
54,60,613
55,60,685
56,60,745
57,60,793
58,60,833
59,60,744
60,60,601
61,60,487
62,60,392
63,60,317
64,60,256
65,60,206
66,60,167
67,60,192
68,60,339
69,60,461
70,60,559
71,60,641
72,60,708
73,60,763
74,60,809
75,60,846
76,60,690
77,60,557
78,60,451
79,60,363
80,60,294
81,60,237
82,60,191
83,60,154
84,60,250
85,60,385
86,60,499
87,60,590
88,60,667
89,60,729
90,60,781
91,60,822
92,60,791
93,60,639
94,60,517
95,60,417
96,60,336
97,60,272
98,60,219
99,60,177
100,60,142
101,60,302
102,60,429
103,60,534
104,60,620
105,60,691
106,60,749
107,60,797
108,60,837
109,60,732
110,60,592
111,60,478
112,60,386
113,60,312
114,60,252
115,60,203
116,60,164
117,60,203
118,60,350
119,60,468
120,60,566
121,60,646
122,60,713
123,60,767
124,60,812
125,60,848
126,60,678
127,60,549
128,60,442
129,60,358
130,60,288
131,60,233
132,60,188
133,60,152
134,60,262
135,60,396
136,60,507
137,60,598
138,60,673
139,60,734
140,60,785
141,60,826
142,60,776
143,60,627
144,60,508
145,60,410
146,60,331
147,60,267
148,60,216
149,60,174
150,60,155
151,60,313
152,60,438
153,60,542
154,60,627
155,60,697
156,60,754
157,60,801
158,60,839
159,60,719
160,60,581
161,60,470
162,60,379
163,60,306
164,60,247
165,60,200
166,60,161
167,60,217
168,60,360
169,60,477
170,60,574
171,60,653
172,60,718
173,60,771
174,60,816
175,60,827
176,60,667
177,60,539
178,60,436
179,60,352
180,60,284
181,60,229
182,60,185
183,60,150
184,60,272
185,60,405
186,60,514
187,60,603
188,60,677
189,60,738
190,60,788
191,60,829
192,60,763
193,60,617
194,60,499
195,60,403
196,60,325
197,60,263
198,60,212
199,60,172
200,60,171
201,60,325
202,60,448
203,60,549
204,60,632
205,60,702
206,60,758
207,60,804
208,60,842
209,60,707
210,60,572
211,60,462
212,60,373
213,60,301
214,60,243
215,60,196
216,60,158
217,60,230
218,60,371
219,60,486
220,60,581
221,60,659
222,60,723
223,60,776
224,60,819
225,60,811
226,60,655
227,60,530
228,60,427
229,60,345
230,60,279
231,60,225
232,60,181
233,60,147
234,60,285
